sync, uptime, seq, step, SWPMON, adc
0xEEEE, 73187776, 23420, 0001, 0.78974, 4.8631266
0xEEEE, 73190900, 23421, 0001, 0.78894, 4.8641184
0xEEEE, 73194042, 23422, 0000, 0.39245, 4.8514534
0xEEEE, 73197142, 23423, 0000, 0.39245, 4.8556497
0xEEEE, 73200267, 23424, 0000, 0.01128, 4.8606851
0xEEEE, 73203391, 23425, 0000, 0.01128, 4.8533608
0xEEEE, 73206516, 23426, 0001, 0.01209, 4.8642710
0xEEEE, 73209641, 23427, 0001, 0.38278, 4.8612192
0xEEEE, 73212766, 23428, 0002, 0.38842, 4.8519875
0xEEEE, 73215891, 23429, 0002, 0.39084, 4.8673991
0xEEEE, 73219060, 23430, 0003, 0.78168, 4.8569467
0xEEEE, 73222153, 23431, 0003, 0.79458, 4.8583963
0xEEEE, 73225278, 23432, 0004, 1.17253, 4.8630503
0xEEEE, 73228494, 23433, 0004, 1.14996, 4.8442817
0xEEEE, 73231528, 23434, 0005, 1.57868, 4.8567941
0xEEEE, 73234653, 23435, 0005, 1.97194, 4.8644236
0xEEEE, 73237778, 23436, 0006, 1.96066, 4.8523690
0xEEEE, 73240899, 23437, 0006, 1.97355, 4.8570993
0xEEEE, 73244033, 23438, 0007, 2.35473, 4.8553445
0xEEEE, 73247142, 23439, 0007, 2.36842, 4.8506142
0xEEEE, 73250267, 23440, 0007, 2.53685, 4.8651102
0xEEEE, 73253391, 23441, 0007, 2.55297, 4.8615244
0xEEEE, 73256516, 23442, 0006, 2.56425, 4.8500038
0xEEEE, 73259641, 23443, 0006, 2.36842, 4.8649577
0xEEEE, 73262771, 23444, 0005, 2.35553, 4.8562600
0xEEEE, 73265900, 23445, 0005, 2.36923, 4.8614481
0xEEEE, 73269056, 23446, 0004, 1.97114, 4.8702983
0xEEEE, 73272151, 23447, 0004, 1.97436, 4.8540475
0xEEEE, 73275275, 23448, 0003, 1.57949, 4.8608377
0xEEEE, 73278401, 23449, 0003, 1.57626, 4.8611429
0xEEEE, 73281525, 23450, 0002, 1.20799, 4.8532082
0xEEEE, 73284666, 23451, 0002, 0.78088, 4.8631266
0xEEEE, 73287776, 23452, 0001, 0.78813, 4.8543526
