sync, uptime, seq, step, SWPMON, adc
0xEEEE, 91190181, 29180, 0001, 0.78974, 4.8519112
0xEEEE, 91192984, 29181, 0001, 0.78813, 4.8580911
0xEEEE, 91196467, 29182, 0000, 0.39729, 4.8547341
0xEEEE, 91199433, 29183, 0000, 0.01209, 4.8513771
0xEEEE, 91202367, 29184, 0000, 0.01370, 4.8582437
0xEEEE, 91205485, 29185, 0000, 0.01209, 4.8561074
0xEEEE, 91208620, 29186, 0001, 0.01209, 4.8619821
0xEEEE, 91211723, 29187, 0001, 0.01209, 4.8555734
0xEEEE, 91214848, 29188, 0002, 0.39487, 4.8656443
0xEEEE, 91217973, 29189, 0002, 0.39245, 4.8566415
0xEEEE, 91221098, 29190, 0003, 0.78733, 4.8582437
0xEEEE, 91224424, 29191, 0003, 1.18542, 4.8474861
0xEEEE, 91227434, 29192, 0004, 1.18300, 4.8629740
0xEEEE, 91230473, 29193, 0004, 1.18381, 4.8519875
0xEEEE, 91233603, 29194, 0005, 1.57949, 4.8716716
0xEEEE, 91236732, 29195, 0005, 1.58029, 4.8550393
0xEEEE, 91239856, 29196, 0006, 1.97597, 4.8638895
0xEEEE, 91242982, 29197, 0006, 1.97678, 4.8566415
0xEEEE, 91246115, 29198, 0007, 2.37326, 4.8570993
0xEEEE, 91249232, 29199, 0007, 2.60374, 4.8554971
0xEEEE, 91252412, 29200, 0007, 2.55216, 4.8627451
0xEEEE, 91255473, 29201, 0007, 2.55297, 4.8584726
0xEEEE, 91258598, 29202, 0006, 2.55297, 4.8591592
0xEEEE, 91261723, 29203, 0006, 2.60293, 4.8528267
0xEEEE, 91264848, 29204, 0005, 2.36923, 4.8615244
0xEEEE, 91267995, 29205, 0005, 2.36842, 4.8483253
0xEEEE, 91271099, 29206, 0004, 1.97436, 4.8658732
0xEEEE, 91274223, 29207, 0004, 1.58029, 4.8519875
0xEEEE, 91277360, 29208, 0003, 1.58190, 4.8609140
0xEEEE, 91280485, 29209, 0003, 1.57707, 4.8558785
0xEEEE, 91283609, 29210, 0002, 1.18300, 4.8615244
0xEEEE, 91286735, 29211, 0002, 1.18462, 4.8531319
0xEEEE, 91289859, 29212, 0001, 0.78894, 4.8563363
0xEEEE, 91292995, 29213, 0001, 0.79700, 4.8570993
0xEEEE, 91296109, 29214, 0000, 0.39326, 4.8630503
0xEEEE, 91299223, 29215, 0000, 0.01128, 4.8543526
0xEEEE, 91302348, 29216, 0000, 0.01209, 4.8580911
0xEEEE, 91305482, 29217, 0000, 0.01128, 4.8472572
0xEEEE, 91308598, 29218, 0001, 0.01128, 4.8603037
0xEEEE, 91311723, 29219, 0001, 0.01209, 4.8513008
0xEEEE, 91314849, 29220, 0002, 0.39326, 4.8628214
0xEEEE, 91317973, 29221, 0002, 0.39245, 4.8559548
