sync, uptime, seq, step, SWPMON, adc
0xEEEE, 56534534, 18091, 0005, 1.57949, 4.8573281
0xEEEE, 56537653, 18092, 0006, 2.00740, 4.8493935
0xEEEE, 56540794, 18093, 0006, 1.97516, 4.8602274
0xEEEE, 56543904, 18094, 0007, 2.35634, 4.8552682
0xEEEE, 56547036, 18095, 0007, 2.36842, 4.8509957
0xEEEE, 56550141, 18096, 0007, 2.55700, 4.8637369
0xEEEE, 56553266, 18097, 0007, 2.55055, 4.8612192
0xEEEE, 56556391, 18098, 0006, 2.54088, 4.8467994
0xEEEE, 56559516, 18099, 0006, 2.54894, 4.8632029
0xEEEE, 56562642, 18100, 0005, 2.36762, 4.8535134
0xEEEE, 56565767, 18101, 0005, 2.37165, 4.8567941
0xEEEE, 56568895, 18102, 0004, 1.97436, 4.8650340
0xEEEE, 56575165, 18104, 0003, 1.59158, 4.8472572
0xEEEE, 56578275, 18105, 0003, 1.57949, 4.8618296
0xEEEE, 56581410, 18106, 0002, 1.18300, 4.8557259
0xEEEE, 56584525, 18107, 0002, 1.18381, 4.8615244
0xEEEE, 56587651, 18108, 0001, 0.79055, 4.8671702
0xEEEE, 56590767, 18109, 0001, 0.78330, 4.8612955
0xEEEE, 56593899, 18110, 0000, 0.38520, 4.8519112
0xEEEE, 56597024, 18111, 0000, 0.01128, 4.8637369
0xEEEE, 56600141, 18112, 0000, 0.01128, 4.8616007
0xEEEE, 56603266, 18113, 0000, 0.01128, 4.8591592
0xEEEE, 56606391, 18114, 0001, 0.01209, 4.8643473
0xEEEE, 56609516, 18115, 0001, 0.01209, 4.8474098
0xEEEE, 56612652, 18116, 0002, 0.39165, 4.8493172
0xEEEE, 56615793, 18117, 0002, 0.39165, 4.8658732
0xEEEE, 56618903, 18118, 0003, 0.78974, 4.8593881
0xEEEE, 56622036, 18119, 0003, 1.18220, 4.8527504
0xEEEE, 56625153, 18120, 0004, 1.17978, 4.8636606
0xEEEE, 56628278, 18121, 0004, 1.21040, 4.8513771
0xEEEE, 56631402, 18122, 0005, 1.57949, 4.8581674
0xEEEE, 56634516, 18123, 0005, 1.57707, 4.8582437
0xEEEE, 56637642, 18124, 0006, 1.93729, 4.8558785
0xEEEE, 56640778, 18125, 0006, 1.97436, 4.8586252
0xEEEE, 56643892, 18126, 0007, 2.36037, 4.8594644
0xEEEE, 56647024, 18127, 0007, 2.55216, 4.8583200
0xEEEE, 56650141, 18128, 0007, 2.56264, 4.8628214
0xEEEE, 56653266, 18129, 0007, 2.55216, 4.8651865
0xEEEE, 56656391, 18130, 0006, 2.53604, 4.8509957
0xEEEE, 56659524, 18131, 0006, 2.55377, 4.8578622
0xEEEE, 56662650, 18132, 0005, 2.36681, 4.8573281
0xEEEE, 56665782, 18133, 0005, 2.36762, 4.8551156
0xEEEE, 56668901, 18134, 0004, 1.97436, 4.8661784
0xEEEE, 56672053, 18135, 0004, 1.57626, 4.8586252
0xEEEE, 56675169, 18136, 0003, 1.57626, 4.8509957
0xEEEE, 56678283, 18137, 0003, 1.57949, 4.8607614
0xEEEE, 56681391, 18138, 0002, 1.18462, 4.8619821
0xEEEE, 56684516, 18139, 0002, 1.18381, 4.8518349
0xEEEE, 56687651, 18140, 0001, 0.78813, 4.8641947
0xEEEE, 56690767, 18141, 0001, 0.78491, 4.8533608
0xEEEE, 56693892, 18142, 0000, 0.39729, 4.8532845
0xEEEE, 56697025, 18143, 0000, 0.01209, 4.8638132
0xEEEE, 56700141, 18144, 0000, 0.01128, 4.8686198
0xEEEE, 56703276, 18145, 0000, 0.01128, 4.8522164
0xEEEE, 56706402, 18146, 0001, 0.01128, 4.8654917
0xEEEE, 56709527, 18147, 0001, 0.01209, 4.8638895
0xEEEE, 56712668, 18148, 0002, 0.39245, 4.8574807
0xEEEE, 56715779, 18149, 0002, 0.39487, 4.8682383
0xEEEE, 56718904, 18150, 0003, 0.78894, 4.8603037
0xEEEE, 56722036, 18151, 0003, 1.06535, 4.8543526
0xEEEE, 56725164, 18152, 0004, 1.18059, 4.8594644
0xEEEE, 56728266, 18153, 0004, 1.16447, 4.8564889
0xEEEE, 56731391, 18154, 0005, 1.57949, 4.8657206
0xEEEE, 56734516, 18155, 0005, 1.57949, 4.8644999
0xEEEE, 56737657, 18156, 0006, 1.99773, 4.8540475
0xEEEE, 56740767, 18157, 0006, 1.97436, 4.8513771
0xEEEE, 56743892, 18158, 0007, 2.36681, 4.8561837
0xEEEE, 56747030, 18159, 0007, 2.36681, 4.8573281
0xEEEE, 56750150, 18160, 0007, 2.55458, 4.8623636
0xEEEE, 56753275, 18161, 0007, 2.55216, 4.8670176
0xEEEE, 56756400, 18162, 0006, 2.55297, 4.8496223
0xEEEE, 56759525, 18163, 0006, 2.55216, 4.8581674
0xEEEE, 56762658, 18164, 0005, 2.36842, 4.8587015
0xEEEE, 56765776, 18165, 0005, 1.96872, 4.8577859
0xEEEE, 56768892, 18166, 0004, 1.97436, 4.8657206
0xEEEE, 56772053, 18167, 0004, 1.97355, 4.8631266
0xEEEE, 56775164, 18168, 0003, 1.58352, 4.8516823
0xEEEE, 56778266, 18169, 0003, 1.57868, 4.8608377
0xEEEE, 56781392, 18170, 0002, 1.18381, 4.8595407
0xEEEE, 56784516, 18171, 0002, 1.18542, 4.8560311
0xEEEE, 56787644, 18172, 0001, 0.79055, 4.8606851
0xEEEE, 56790773, 18173, 0001, 0.39568, 4.8591592
0xEEEE, 56793903, 18174, 0000, 0.39084, 4.8530556
0xEEEE, 56797035, 18175, 0000, 0.39004, 4.8640421
0xEEEE, 56800153, 18176, 0000, 0.01128, 4.8538186
0xEEEE, 56803278, 18177, 0000, 0.01209, 4.8548104
0xEEEE, 56806403, 18178, 0001, 0.01209, 4.8630503
0xEEEE, 56809539, 18179, 0001, 0.01209, 4.8500038
0xEEEE, 56812722, 18180, 0002, 0.39326, 4.8499275
0xEEEE, 56815767, 18181, 0002, 0.78813, 4.8664073
0xEEEE, 56818892, 18182, 0003, 0.78813, 4.8577096
0xEEEE, 56822024, 18183, 0003, 0.79055, 4.8551919
0xEEEE, 56825141, 18184, 0004, 1.18462, 4.8629740
0xEEEE, 56828266, 18185, 0004, 1.17092, 4.8564126
0xEEEE, 56831391, 18186, 0005, 1.57949, 4.8504616
0xEEEE, 56834517, 18187, 0005, 1.58029, 4.8711376
0xEEEE, 56837650, 18188, 0006, 1.97516, 4.8570230
0xEEEE, 56840775, 18189, 0006, 2.36762, 4.8496986
0xEEEE, 56843900, 18190, 0007, 2.36923, 4.8632029
0xEEEE, 56847037, 18191, 0007, 2.36762, 4.8591592
0xEEEE, 56850150, 18192, 0007, 2.57875, 4.8690776
0xEEEE, 56853275, 18193, 0007, 2.55297, 4.8652628
0xEEEE, 56856391, 18194, 0006, 2.55297, 4.8603799
0xEEEE, 56859516, 18195, 0006, 2.55216, 4.8481727
0xEEEE, 56862642, 18196, 0005, 2.36842, 4.8633555
0xEEEE, 56865767, 18197, 0005, 1.97597, 4.8514534
0xEEEE, 56868891, 18198, 0004, 1.95824, 4.8574044
0xEEEE, 56872044, 18199, 0004, 1.97355, 4.8690013
0xEEEE, 56875157, 18200, 0003, 1.59560, 4.8492409
0xEEEE, 56878267, 18201, 0003, 1.57949, 4.8604562
0xEEEE, 56881402, 18202, 0002, 1.18462, 4.8609140
0xEEEE, 56884543, 18203, 0002, 1.18381, 4.8600748
0xEEEE, 56887653, 18204, 0001, 0.78813, 4.8614481
0xEEEE, 56890779, 18205, 0001, 0.79136, 4.8573281
0xEEEE, 56893914, 18206, 0000, 0.39165, 4.8616770
0xEEEE, 56897036, 18207, 0000, 0.38923, 4.8587778
0xEEEE, 56900153, 18208, 0000, 0.01128, 4.8593118
0xEEEE, 56903266, 18209, 0000, 0.01209, 4.8538186
0xEEEE, 56906399, 18210, 0001, 0.01209, 4.8629740
0xEEEE, 56909516, 18211, 0001, 0.39245, 4.8618296
0xEEEE, 56912642, 18212, 0002, 0.39245, 4.8494697
0xEEEE, 56915767, 18213, 0002, 0.39245, 4.8643473
0xEEEE, 56918892, 18214, 0003, 0.78813, 4.8574044
0xEEEE, 56922025, 18215, 0003, 0.78974, 4.8505379
0xEEEE, 56925150, 18216, 0004, 1.18059, 4.8596933
0xEEEE, 56928275, 18217, 0004, 1.19106, 4.8529793
0xEEEE, 56931402, 18218, 0005, 1.57949, 4.8488594
0xEEEE, 56934525, 18219, 0005, 1.97355, 4.8679332
0xEEEE, 56937651, 18220, 0006, 1.96791, 4.8548867
0xEEEE, 56940776, 18221, 0006, 1.97436, 4.8480201
0xEEEE, 56943900, 18222, 0007, 2.36923, 4.8639658
0xEEEE, 56947024, 18223, 0007, 2.36842, 4.8551919
0xEEEE, 56950141, 18224, 0007, 2.53282, 4.8541238
0xEEEE, 56953292, 18225, 0007, 2.55297, 4.8698405
0xEEEE, 56956391, 18226, 0006, 2.57473, 4.8476387
0xEEEE, 56959516, 18227, 0006, 2.36520, 4.8538949
0xEEEE, 56962642, 18228, 0005, 2.33700, 4.8618296
0xEEEE, 56965767, 18229, 0005, 2.36842, 4.8643473
0xEEEE, 56968899, 18230, 0004, 1.98564, 4.8614481
0xEEEE, 56972055, 18231, 0004, 1.97355, 4.8619821
0xEEEE, 56975173, 18232, 0003, 1.58271, 4.8440528
0xEEEE, 56978286, 18233, 0003, 1.62623, 4.8522164
0xEEEE, 56981403, 18234, 0002, 1.18220, 4.8687724
0xEEEE, 56984543, 18235, 0002, 0.78813, 4.8592355
0xEEEE, 56987654, 18236, 0001, 0.78974, 4.8594644
0xEEEE, 56990787, 18237, 0001, 0.78733, 4.8635080
0xEEEE, 56993892, 18238, 0000, 0.39165, 4.8489357
0xEEEE, 56997024, 18239, 0000, 0.39245, 4.8588540
0xEEEE, 57000142, 18240, 0000, 0.01209, 4.8651865
0xEEEE, 57003266, 18241, 0000, 0.01209, 4.8621347
0xEEEE, 57006391, 18242, 0001, 0.01128, 4.8556497
0xEEEE, 57009516, 18243, 0001, 0.39245, 4.8608377
0xEEEE, 57012649, 18244, 0002, 0.39245, 4.8640421
0xEEEE, 57015775, 18245, 0002, 0.39245, 4.8606851
0xEEEE, 57018900, 18246, 0003, 0.78894, 4.8652628
0xEEEE, 57022034, 18247, 0003, 0.78813, 4.8561837
0xEEEE, 57025150, 18248, 0004, 1.18220, 4.8564889
0xEEEE, 57028276, 18249, 0004, 1.17897, 4.8571756
0xEEEE, 57031400, 18250, 0005, 1.58029, 4.8507668
0xEEEE, 57034516, 18251, 0005, 1.96791, 4.8664073
0xEEEE, 57037652, 18252, 0006, 1.97194, 4.8630503
0xEEEE, 57040766, 18253, 0006, 1.97436, 4.8458076
0xEEEE, 57043891, 18254, 0007, 2.37165, 4.8622873
0xEEEE, 57047024, 18255, 0007, 2.36681, 4.8602274
0xEEEE, 57050141, 18256, 0007, 2.56344, 4.8625925
0xEEEE, 57053282, 18257, 0007, 2.55216, 4.8667124
0xEEEE, 57056395, 18258, 0006, 2.56989, 4.8625925
0xEEEE, 57059527, 18259, 0006, 2.55377, 4.8528267
0xEEEE, 57062659, 18260, 0005, 2.37084, 4.8640421
0xEEEE, 57065779, 18261, 0005, 2.36681, 4.8651865
0xEEEE, 57068903, 18262, 0004, 1.97436, 4.8501564
0xEEEE, 57072056, 18263, 0004, 1.97436, 4.8645762
0xEEEE, 57075161, 18264, 0003, 1.57707, 4.8430610
0xEEEE, 57078266, 18265, 0003, 1.18462, 4.8511482
0xEEEE, 57081391, 18266, 0002, 1.18300, 4.8644236
0xEEEE, 57084516, 18267, 0002, 1.18462, 4.8575570
0xEEEE, 57087642, 18268, 0001, 0.78652, 4.8493935
0xEEEE, 57090767, 18269, 0001, 0.79136, 4.8636606
0xEEEE, 57093891, 18270, 0000, 0.39407, 4.8546578
0xEEEE, 57097024, 18271, 0000, 0.39487, 4.8556497
0xEEEE, 57100141, 18272, 0000, 0.01128, 4.8652628
0xEEEE, 57103274, 18273, 0000, 0.01209, 4.8645762
0xEEEE, 57106400, 18274, 0001, 0.01209, 4.8619059
0xEEEE, 57109524, 18275, 0001, 0.01209, 4.8644999
0xEEEE, 57112651, 18276, 0002, 0.39245, 4.8549630
0xEEEE, 57115776, 18277, 0002, 0.39165, 4.8636606
0xEEEE, 57118900, 18278, 0003, 0.78894, 4.8664073
0xEEEE, 57122045, 18279, 0003, 0.78894, 4.8471046
0xEEEE, 57125151, 18280, 0004, 1.18623, 4.8545815
0xEEEE, 57128266, 18281, 0004, 1.57949, 4.8616770
0xEEEE, 57131391, 18282, 0005, 1.59319, 4.8500801
0xEEEE, 57134516, 18283, 0005, 1.57868, 4.8611429
0xEEEE, 57137642, 18284, 0006, 1.97114, 4.8654154
0xEEEE, 57140767, 18285, 0006, 1.97355, 4.8457313
0xEEEE, 57143892, 18286, 0007, 2.37326, 4.8578622
0xEEEE, 57147036, 18287, 0007, 2.36762, 4.8649577
0xEEEE, 57150168, 18288, 0007, 2.55136, 4.8548867
0xEEEE, 57153277, 18289, 0007, 2.55538, 4.8627451
0xEEEE, 57156403, 18290, 0006, 2.56103, 4.8521401
0xEEEE, 57159536, 18291, 0006, 2.55136, 4.8467994
0xEEEE, 57162653, 18292, 0005, 2.36762, 4.8641184
0xEEEE, 57165778, 18293, 0005, 2.36842, 4.8641947
0xEEEE, 57168892, 18294, 0004, 1.97436, 4.8600748
0xEEEE, 57172056, 18295, 0004, 1.97436, 4.8665599
0xEEEE, 57175142, 18296, 0003, 1.57707, 4.8487068
0xEEEE, 57178266, 18297, 0003, 1.18300, 4.8487068
0xEEEE, 57181391, 18298, 0002, 1.18462, 4.8650340
0xEEEE, 57184516, 18299, 0002, 1.18300, 4.8546578
0xEEEE, 57187644, 18300, 0001, 0.78813, 4.8542763
0xEEEE, 57190773, 18301, 0001, 0.79055, 4.8638132
0xEEEE, 57193900, 18302, 0000, 0.38923, 4.8458076
0xEEEE, 57197033, 18303, 0000, 0.39568, 4.8525216
0xEEEE, 57200150, 18304, 0000, 0.01209, 4.8625162
0xEEEE, 57203275, 18305, 0000, 0.01128, 4.8561074
0xEEEE, 57206412, 18306, 0001, 0.01209, 4.8569467
0xEEEE, 57209525, 18307, 0001, 0.01209, 4.8641947
0xEEEE, 57212642, 18308, 0002, 0.39245, 4.8512245
0xEEEE, 57215767, 18309, 0002, 0.39165, 4.8548104
0xEEEE, 57218892, 18310, 0003, 0.78813, 4.8677043
0xEEEE, 57222024, 18311, 0003, 1.18462, 4.8508431
0xEEEE, 57225157, 18312, 0004, 1.18381, 4.8551156
0xEEEE, 57228266, 18313, 0004, 1.17897, 4.8617533
0xEEEE, 57231391, 18314, 0005, 1.61092, 4.8509957
0xEEEE, 57234522, 18315, 0005, 1.58029, 4.8599222
0xEEEE, 57237653, 18316, 0006, 1.96711, 4.8623636
0xEEEE, 57240778, 18317, 0006, 1.90425, 4.8534371
