uptime, sync, seq, step, SWPMON, temp1, adc
12518443, 0xAAAA, 0000, 0007, 0.01128, 1.92198, 0.0000000
12521524, 0xAAAA, 0001, 0007, 0.01128, 1.92198, 0.0000000
12524650, 0xAAAA, 0002, 0000, 0.01128, 1.92117, 0.0000000
12527788, 0xAAAA, 0003, 0000, 0.01128, 1.92037, 0.0000000
12530900, 0xAAAA, 0004, 0001, 0.37311, 1.92117, 0.0000000
12534044, 0xAAAA, 0005, 0001, 0.39407, 1.92117, 0.0000000
12537228, 0xAAAA, 0006, 0002, 0.78733, 1.92037, 0.0000000
12540283, 0xAAAA, 0007, 0002, 1.17978, 1.92037, 0.0000000
12543403, 0xAAAA, 0008, 0003, 1.17978, 1.91956, 0.0000000
12546551, 0xAAAA, 0009, 0003, 1.17978, 1.91875, 0.0000000
12549651, 0xAAAA, 0010, 0004, 1.57304, 1.91956, 0.0000000
12552778, 0xAAAA, 0011, 0004, 1.57546, 1.91956, 0.0000000
12555905, 0xAAAA, 0012, 0005, 1.96791, 1.91875, 0.0000000
12559047, 0xAAAA, 0013, 0005, 2.36117, 1.91875, 0.0000000
12562231, 0xAAAA, 0014, 0006, 2.36198, 1.92198, 0.0000000
12565299, 0xAAAA, 0015, 0006, 2.36198, 1.91795, 0.0000000
12568404, 0xAAAA, 0016, 0006, 2.55780, 1.91795, 0.0000000
12571527, 0xAAAA, 0017, 0006, 2.54571, 1.91795, 0.0000000
12574653, 0xAAAA, 0018, 0005, 2.54571, 1.91875, 0.0000000
12577781, 0xAAAA, 0019, 0005, 2.36198, 1.91875, 0.0000000
12580915, 0xAAAA, 0020, 0004, 2.37004, 1.91634, 0.0000000
12584059, 0xAAAA, 0021, 0004, 2.36037, 1.91956, 0.0000000
12587231, 0xAAAA, 0022, 0003, 1.96791, 1.91956, 0.0000000
12590300, 0xAAAA, 0023, 0003, 1.96791, 1.91875, 0.0000000
12593400, 0xAAAA, 0024, 0002, 1.57385, 1.91956, 0.0000000
12596525, 0xAAAA, 0025, 0002, 1.18059, 1.91956, 0.0000000
12599650, 0xAAAA, 0026, 0001, 1.18059, 1.91956, 0.0000000
12602775, 0xAAAA, 0027, 0001, 1.17897, 1.92117, 0.0000000
12605900, 0xAAAA, 0028, 0000, 0.75993, 1.92037, 0.0000000
12609059, 0xAAAA, 0029, 0000, 0.78813, 1.92037, 0.0000000
12612229, 0xAAAA, 0030, 0007, 0.39165, 1.92117, 0.0000000
12615300, 0xAAAA, 0031, 0007, 0.01128, 1.92117, 0.0000000
12618428, 0xAAAA, 0032, 0007, 0.01128, 1.92198, 0.0000000
12621527, 0xAAAA, 0033, 0007, 0.01128, 1.92278, 0.0000000
12624654, 0xAAAA, 0034, 0000, 0.01128, 1.92117, 0.0000000
12627790, 0xAAAA, 0035, 0000, 0.39165, 1.92198, 0.0000000
12630903, 0xAAAA, 0036, 0001, 0.42469, 1.92037, 0.0000000
12634048, 0xAAAA, 0037, 0001, 0.78491, 1.92117, 0.0000000
12637229, 0xAAAA, 0038, 0002, 0.78652, 1.92037, 0.0000000
12640287, 0xAAAA, 0039, 0002, 0.78652, 1.91875, 0.0000000
12643403, 0xAAAA, 0040, 0003, 1.17897, 1.91956, 0.0000000
12646540, 0xAAAA, 0041, 0003, 1.57385, 1.92037, 0.0000000
12649648, 0xAAAA, 0042, 0004, 1.57385, 1.91875, 0.0000000
12652774, 0xAAAA, 0043, 0004, 1.96791, 1.92117, 0.0000000
12655900, 0xAAAA, 0044, 0005, 1.96791, 1.91875, 0.0000000
12659044, 0xAAAA, 0045, 0005, 1.96872, 1.91714, 0.0000000
12662244, 0xAAAA, 0046, 0006, 2.35956, 1.91795, 0.0000000
12665285, 0xAAAA, 0047, 0006, 2.54974, 1.91875, 0.0000000
12668400, 0xAAAA, 0048, 0006, 2.54491, 1.91795, 0.0000000
12671524, 0xAAAA, 0049, 0006, 2.54571, 1.92359, 0.0000000
12674649, 0xAAAA, 0050, 0005, 2.54571, 1.91875, 0.0000000
12677781, 0xAAAA, 0051, 0005, 2.54088, 1.91795, 0.0000000
12680931, 0xAAAA, 0052, 0004, 2.33700, 1.91875, 0.0000000
12684060, 0xAAAA, 0053, 0004, 1.96872, 1.91875, 0.0000000
12687229, 0xAAAA, 0054, 0003, 1.96872, 1.91956, 0.0000000
12690298, 0xAAAA, 0055, 0003, 1.96791, 1.92037, 0.0000000
12693403, 0xAAAA, 0056, 0002, 1.57385, 1.91956, 0.0000000
12696528, 0xAAAA, 0057, 0002, 1.57546, 1.91956, 0.0000000
12699667, 0xAAAA, 0058, 0001, 1.18139, 1.92037, 0.0000000
12702778, 0xAAAA, 0059, 0001, 0.78491, 1.92037, 0.0000000
12705903, 0xAAAA, 0060, 0000, 0.78652, 1.92037, 0.0000000
12709060, 0xAAAA, 0061, 0000, 0.76557, 1.92117, 0.0000000
12712230, 0xAAAA, 0062, 0007, 0.39326, 1.92117, 0.0000000
12715300, 0xAAAA, 0063, 0007, 0.39084, 1.92117, 0.0000000
12718399, 0xAAAA, 0064, 0007, 0.01128, 1.92198, 0.0000000
12721524, 0xAAAA, 0065, 0007, 0.01128, 1.92198, 0.0000000
12724650, 0xAAAA, 0066, 0000, 0.01128, 1.91956, 0.0000000
12727785, 0xAAAA, 0067, 0000, 0.01128, 1.92037, 0.0000000
12730899, 0xAAAA, 0068, 0001, 0.39165, 1.92198, 0.0000000
12734045, 0xAAAA, 0069, 0001, 0.40696, 1.92117, 0.0000000
12737214, 0xAAAA, 0070, 0002, 0.78410, 1.91956, 0.0000000
12740283, 0xAAAA, 0071, 0002, 1.17978, 1.92037, 0.0000000
12743404, 0xAAAA, 0072, 0003, 1.17978, 1.92278, 0.0000000
12746540, 0xAAAA, 0073, 0003, 1.17978, 1.91795, 0.0000000
12749651, 0xAAAA, 0074, 0004, 1.57465, 1.91875, 0.0000000
12752807, 0xAAAA, 0075, 0004, 1.57385, 1.91956, 0.0000000
12755902, 0xAAAA, 0076, 0005, 1.96791, 1.91875, 0.0000000
12759047, 0xAAAA, 0077, 0005, 2.36198, 1.91875, 0.0000000
12762242, 0xAAAA, 0078, 0006, 2.35875, 1.91795, 0.0000000
12765288, 0xAAAA, 0079, 0006, 2.34505, 1.91795, 0.0000000
12768403, 0xAAAA, 0080, 0006, 2.54652, 1.91795, 0.0000000
12771544, 0xAAAA, 0081, 0006, 2.54571, 1.91795, 0.0000000
12774653, 0xAAAA, 0082, 0005, 2.54733, 1.91795, 0.0000000
12777783, 0xAAAA, 0083, 0005, 2.38696, 1.91875, 0.0000000
12780927, 0xAAAA, 0084, 0004, 2.36117, 1.91875, 0.0000000
12784059, 0xAAAA, 0085, 0004, 2.36117, 1.91956, 0.0000000
12787231, 0xAAAA, 0086, 0003, 1.96791, 1.91875, 0.0000000
12790294, 0xAAAA, 0087, 0003, 1.57465, 1.91956, 0.0000000
12793400, 0xAAAA, 0088, 0002, 1.57385, 1.91875, 0.0000000
12796526, 0xAAAA, 0089, 0002, 1.18059, 1.91956, 0.0000000
12799661, 0xAAAA, 0090, 0001, 1.17978, 1.92037, 0.0000000
12802775, 0xAAAA, 0091, 0001, 1.18139, 1.92117, 0.0000000
12805900, 0xAAAA, 0092, 0000, 0.78733, 1.92037, 0.0000000
12809044, 0xAAAA, 0093, 0000, 0.37875, 1.92117, 0.0000000
12812230, 0xAAAA, 0094, 0007, 0.39245, 1.92117, 0.0000000
12815300, 0xAAAA, 0095, 0007, 0.01692, 1.92601, 0.0000000
12818402, 0xAAAA, 0096, 0007, 0.01128, 1.92198, 0.0000000
12821527, 0xAAAA, 0097, 0007, 0.01128, 1.92198, 0.0000000
12824668, 0xAAAA, 0098, 0000, 0.01128, 1.92117, 0.0000000
12827779, 0xAAAA, 0099, 0000, 0.39084, 1.92117, 0.0000000
12830903, 0xAAAA, 0100, 0001, 0.39084, 1.92037, 0.0000000
12834047, 0xAAAA, 0101, 0001, 0.40535, 1.91956, 0.0000000
12837218, 0xAAAA, 0102, 0002, 0.79538, 1.91956, 0.0000000
12840286, 0xAAAA, 0103, 0002, 0.78410, 1.91956, 0.0000000
12843420, 0xAAAA, 0104, 0003, 1.17897, 1.91956, 0.0000000
12846540, 0xAAAA, 0105, 0003, 1.57465, 1.91956, 0.0000000
12849648, 0xAAAA, 0106, 0004, 1.57465, 1.91875, 0.0000000
12852786, 0xAAAA, 0107, 0004, 1.57465, 1.91795, 0.0000000
12855899, 0xAAAA, 0108, 0005, 1.96791, 1.91795, 0.0000000
12859044, 0xAAAA, 0109, 0005, 1.96711, 1.91875, 0.0000000
12862244, 0xAAAA, 0110, 0006, 2.37084, 1.91795, 0.0000000
12865285, 0xAAAA, 0111, 0006, 2.54733, 1.91875, 0.0000000
12868400, 0xAAAA, 0112, 0006, 2.54813, 1.91795, 0.0000000
12871536, 0xAAAA, 0113, 0006, 2.54571, 1.91795, 0.0000000
12874649, 0xAAAA, 0114, 0005, 2.55136, 1.91795, 0.0000000
12877783, 0xAAAA, 0115, 0005, 2.51348, 1.91875, 0.0000000
12880916, 0xAAAA, 0116, 0004, 2.36198, 1.91875, 0.0000000
12884060, 0xAAAA, 0117, 0004, 1.96791, 1.91875, 0.0000000
12887230, 0xAAAA, 0118, 0003, 1.96872, 1.91795, 0.0000000
