11-29-2023, 10:44:12:909, sync, seq, endMon, SWPMON, temp1, temp2, adc
11-29-2023, 10:44:35:420, 0xAAAA, 0449, 02.402, 0.5, 01.184, 01.513, 2.495
11-29-2023, 10:44:35:566, 0xAAAA, 0450, 02.402, 0.5, 01.177, 01.505, 2.495
11-29-2023, 10:44:35:683, 0xAAAA, 0451, 02.402, 0.5, 01.180, 01.503, 2.495
11-29-2023, 10:44:35:802, 0xAAAA, 0452, 02.401, 0.5, 01.176, 01.503, 2.495
11-29-2023, 10:44:35:919, 0xAAAA, 0453, 02.402, 0.5, 01.177, 01.500, 2.495
11-29-2023, 10:44:36:65, 0xAAAA, 0454, 02.398, 0.5, 01.155, 01.500, 2.495
11-29-2023, 10:44:36:181, 0xAAAA, 0455, 02.399, 0.9, 01.301, 01.514, 2.495
11-29-2023, 10:44:36:298, 0xAAAA, 0456, 02.401, 0.9, 01.344, 01.560, 2.495
11-29-2023, 10:44:36:445, 0xAAAA, 0457, 02.398, 0.9, 01.362, 01.582, 2.495
11-29-2023, 10:44:36:561, 0xAAAA, 0458, 02.401, 0.9, 01.363, 01.594, 2.495
11-29-2023, 10:44:36:678, 0xAAAA, 0459, 02.400, 0.9, 01.365, 01.599, 2.495
11-29-2023, 10:44:36:795, 0xAAAA, 0460, 02.400, 0.9, 01.363, 01.603, 2.495
11-29-2023, 10:44:36:942, 0xAAAA, 0461, 02.401, 0.9, 01.365, 01.600, 2.495
11-29-2023, 10:44:37:29, 0xAAAA, 0462, 02.402, 0.9, 01.358, 01.597, 2.495
11-29-2023, 10:44:37:176, 0xAAAA, 0463, 02.399, 0.9, 01.360, 01.597, 2.495
11-29-2023, 10:44:37:293, 0xAAAA, 0464, 02.401, 0.9, 01.362, 01.590, 2.495
