uptime, sync, seq, step, SWPMON, adc
95021327, 0xAAAA, 30406, 0003, 0.79861, 4.8557259
95024452, 0xAAAA, 30407, 0003, 0.79941, 4.8523690
95027577, 0xAAAA, 30408, 0004, 1.19912, 4.8498512
95030702, 0xAAAA, 30409, 0004, 1.20073, 4.8626688
95033827, 0xAAAA, 30410, 0005, 1.59963, 4.8402380
95036957, 0xAAAA, 30411, 0005, 1.59883, 4.8538949
95040093, 0xAAAA, 30412, 0006, 1.99853, 4.8500801
95043220, 0xAAAA, 30413, 0006, 2.40388, 4.8400092
95046338, 0xAAAA, 30414, 0007, 2.39341, 4.8575570
95049471, 0xAAAA, 30415, 0007, 2.39502, 4.8503853
95052589, 0xAAAA, 30416, 0007, 2.58117, 4.8393225
95055713, 0xAAAA, 30417, 0007, 2.58117, 4.8538949
95058827, 0xAAAA, 30418, 0006, 2.58037, 4.8411536
95061952, 0xAAAA, 30419, 0006, 2.57956, 4.8644999
95065083, 0xAAAA, 30420, 0005, 2.40872, 4.8449683
95068209, 0xAAAA, 30421, 0005, 1.99128, 4.8318456
95071327, 0xAAAA, 30422, 0004, 1.99612, 4.8458076
95074452, 0xAAAA, 30423, 0004, 1.99773, 4.8410010
95077577, 0xAAAA, 30424, 0003, 1.59802, 4.8583200
95080703, 0xAAAA, 30425, 0003, 1.59883, 4.8425269
95083836, 0xAAAA, 30426, 0002, 1.19993, 4.8336004
95086961, 0xAAAA, 30427, 0002, 1.20315, 4.8534371
95090092, 0xAAAA, 30428, 0001, 0.80103, 4.8458839
95093218, 0xAAAA, 30429, 0001, 0.80183, 4.8629740
95096347, 0xAAAA, 30430, 0000, 0.40293, 4.8435950
95099460, 0xAAAA, 30431, 0000, 0.40212, 4.8456550
95102607, 0xAAAA, 30432, 0000, 0.01853, 4.8554971
95105702, 0xAAAA, 30433, 0000, 0.01934, 4.8362707
95108835, 0xAAAA, 30434, 0001, 0.02337, 4.8657206
95111952, 0xAAAA, 30435, 0001, 0.40293, 4.8398566
95115082, 0xAAAA, 30436, 0002, 0.40293, 4.8606851
95118209, 0xAAAA, 30437, 0002, 0.40293, 4.8544289
95121327, 0xAAAA, 30438, 0003, 0.80264, 4.8368811
95124454, 0xAAAA, 30439, 0003, 0.80344, 4.8599985
95127588, 0xAAAA, 30440, 0004, 1.20154, 4.8427558
95130713, 0xAAAA, 30441, 0004, 1.19912, 4.8499275
95133842, 0xAAAA, 30442, 0005, 1.59802, 4.8548104
95136963, 0xAAAA, 30443, 0005, 1.99773, 4.8313878
95140094, 0xAAAA, 30444, 0006, 1.99773, 4.8673228
95143219, 0xAAAA, 30445, 0006, 1.99692, 4.8500801
95146338, 0xAAAA, 30446, 0007, 2.39663, 4.8386358
95149452, 0xAAAA, 30447, 0007, 2.39582, 4.8515297
95152577, 0xAAAA, 30448, 0007, 2.57714, 4.8503090
95155702, 0xAAAA, 30449, 0007, 2.58278, 4.8679332
95158827, 0xAAAA, 30450, 0006, 2.58198, 4.8417639
95161952, 0xAAAA, 30451, 0006, 2.39421, 4.8455787
95165082, 0xAAAA, 30452, 0005, 2.39421, 4.8540475
95168209, 0xAAAA, 30453, 0005, 2.39582, 4.8480201
95171336, 0xAAAA, 30454, 0004, 1.99692, 4.8605325
95174461, 0xAAAA, 30455, 0004, 1.99370, 4.8416876
95177586, 0xAAAA, 30456, 0003, 1.59722, 4.8465705
95180720, 0xAAAA, 30457, 0003, 1.59802, 4.8555734
95183836, 0xAAAA, 30458, 0002, 1.19993, 4.8356603
95186961, 0xAAAA, 30459, 0002, 0.80022, 4.8688487
95190092, 0xAAAA, 30460, 0001, 0.80022, 4.8472572
95193226, 0xAAAA, 30461, 0001, 0.80183, 4.8451209
95196327, 0xAAAA, 30462, 0000, 0.40212, 4.8586252
95199452, 0xAAAA, 30463, 0000, 0.40051, 4.8433661
95202598, 0xAAAA, 30464, 0000, 0.01853, 4.8602274
95205702, 0xAAAA, 30465, 0000, 0.01853, 4.8401617
95208827, 0xAAAA, 30466, 0001, 0.01853, 4.8531319
95211952, 0xAAAA, 30467, 0001, 0.40615, 4.8589303
95215090, 0xAAAA, 30468, 0002, 0.40293, 4.8484779
95218219, 0xAAAA, 30469, 0002, 0.39810, 4.8632792
95221338, 0xAAAA, 30470, 0003, 0.80103, 4.8479438
95224464, 0xAAAA, 30471, 0003, 0.80183, 4.8481727
95227588, 0xAAAA, 30472, 0004, 1.20073, 4.8584726
95230713, 0xAAAA, 30473, 0004, 1.20073, 4.8375677
95233838, 0xAAAA, 30474, 0005, 1.60205, 4.8596170
95236952, 0xAAAA, 30475, 0005, 2.00256, 4.8456550
95240093, 0xAAAA, 30476, 0006, 1.99853, 4.8526741
95243209, 0xAAAA, 30477, 0006, 1.99773, 4.8619059
95246327, 0xAAAA, 30478, 0007, 2.39502, 4.8304723
