uptime, sync, seq, step, SWPMON, temp1, adc
45108401, 0xAAAA, 8420, 0002, 0.38923, 1.90425, 0.0000000
45111526, 0xAAAA, 8421, 0002, 0.39084, 1.90425, 0.0000000
45114668, 0xAAAA, 8422, 0003, 0.78733, 1.90425, 0.0000000
45117779, 0xAAAA, 8423, 0003, 1.17897, 1.90425, 0.0000000
45120917, 0xAAAA, 8424, 0004, 1.18300, 1.90344, 0.0000000
45124078, 0xAAAA, 8425, 0004, 1.18059, 1.90344, 0.0000000
45127231, 0xAAAA, 8426, 0005, 1.57626, 1.90425, 0.0000000
45130289, 0xAAAA, 8427, 0005, 1.57707, 1.90344, 0.0000000
45133418, 0xAAAA, 8428, 0006, 1.96952, 1.90425, 0.0000000
45136530, 0xAAAA, 8429, 0006, 2.36762, 1.90344, 0.0000000
45139655, 0xAAAA, 8430, 0007, 2.37326, 1.90425, 0.0000000
45142791, 0xAAAA, 8431, 0007, 2.40469, 1.90505, 0.0000000
45146288, 0xAAAA, 8432, 0007, 2.54974, 1.90425, 0.0000000
45149096, 0xAAAA, 8433, 0007, 2.54974, 1.90425, 0.0000000
45152230, 0xAAAA, 8434, 0006, 2.54652, 1.90344, 0.0000000
45155302, 0xAAAA, 8435, 0006, 2.35714, 1.90425, 0.0000000
45158401, 0xAAAA, 8436, 0005, 2.32813, 1.90667, 0.0000000
45161526, 0xAAAA, 8437, 0005, 2.36440, 1.90425, 0.0000000
45164651, 0xAAAA, 8438, 0004, 1.97194, 1.90425, 0.0000000
45167792, 0xAAAA, 8439, 0004, 1.97114, 1.90344, 0.0000000
45170902, 0xAAAA, 8440, 0003, 1.57626, 1.90425, 0.0000000
45174045, 0xAAAA, 8441, 0003, 1.18139, 1.90425, 0.0000000
45177226, 0xAAAA, 8442, 0002, 1.18139, 1.90425, 0.0000000
45180285, 0xAAAA, 8443, 0002, 1.23377, 1.90425, 0.0000000
45183402, 0xAAAA, 8444, 0001, 0.79297, 1.90425, 0.0000000
45186555, 0xAAAA, 8445, 0001, 0.78733, 1.90425, 0.0000000
45189667, 0xAAAA, 8446, 0000, 0.39245, 1.90425, 0.0000000
45192778, 0xAAAA, 8447, 0000, 0.01209, 1.90505, 0.0000000
45195916, 0xAAAA, 8448, 0000, 0.01128, 1.90505, 0.0000000
45199049, 0xAAAA, 8449, 0000, 0.01289, 1.90505, 0.0000000
45202231, 0xAAAA, 8450, 0001, 0.01048, 1.90505, 0.0000000
45205303, 0xAAAA, 8451, 0001, 0.39648, 1.90505, 0.0000000
45208716, 0xAAAA, 8452, 0002, 0.39165, 1.90183, 0.0000000
45211529, 0xAAAA, 8453, 0002, 0.78733, 1.90425, 0.0000000
45214668, 0xAAAA, 8454, 0003, 0.75751, 1.90425, 0.0000000
45217781, 0xAAAA, 8455, 0003, 0.78168, 1.90344, 0.0000000
45220917, 0xAAAA, 8456, 0004, 1.18220, 1.90344, 0.0000000
45224061, 0xAAAA, 8457, 0004, 1.57707, 1.90425, 0.0000000
45227231, 0xAAAA, 8458, 0005, 1.57626, 1.90344, 0.0000000
45230285, 0xAAAA, 8459, 0005, 1.97114, 1.90103, 0.0000000
45233411, 0xAAAA, 8460, 0006, 1.97114, 1.90344, 0.0000000
