uptime, sync, seq, step, SWPMON, temp1, adc
15227912, 0xAAAA, 0000, 0000, 0.08381, 0.00000, 0.0000000
15231036, 0xAAAA, 0001, 0000, 0.08462, 0.00000, 0.0000000
15234253, 0xAAAA, 0002, 0001, 0.08462, 0.00000, 0.0000000
15237266, 0xAAAA, 0003, 0001, 0.08864, 0.00000, 0.0000000
15240392, 0xAAAA, 0004, 0002, 0.08864, 0.00000, 0.0000000
15243517, 0xAAAA, 0005, 0002, 0.08864, 0.00242, 0.0000000
15246653, 0xAAAA, 0006, 0003, 0.08945, 0.00000, 0.0000000
15249784, 0xAAAA, 0007, 0003, 0.08945, 0.00000, 0.0000000
15252923, 0xAAAA, 0008, 0004, 0.08945, 0.00000, 0.0000000
15256052, 0xAAAA, 0009, 0004, 0.08945, 0.00000, 0.0000000
15259239, 0xAAAA, 0010, 0005, 0.08945, 0.00000, 0.0000000
15262283, 0xAAAA, 0011, 0005, 0.08945, 0.00000, 0.0000000
15265396, 0xAAAA, 0012, 0006, 0.08945, 0.00000, 0.0000000
15268519, 0xAAAA, 0013, 0006, 0.09026, 0.00000, 0.0000000
15271661, 0xAAAA, 0014, 0007, 0.08945, 0.00000, 0.0000000
15274770, 0xAAAA, 0015, 0007, 0.09026, 0.00000, 0.0000000
15277896, 0xAAAA, 0016, 0007, 0.09026, 0.00000, 0.0000000
15281076, 0xAAAA, 0017, 0007, 0.09026, 0.00000, 0.0000000
15284237, 0xAAAA, 0018, 0006, 0.09026, 0.00000, 0.0000000
15287266, 0xAAAA, 0019, 0006, 0.09026, 0.00000, 0.0000000
15290398, 0xAAAA, 0020, 0005, 0.09026, 0.00000, 0.0000000
15293516, 0xAAAA, 0021, 0005, 0.09187, 0.00000, 0.0000000
15296641, 0xAAAA, 0022, 0004, 0.08945, 0.00000, 0.0000000
15299778, 0xAAAA, 0023, 0004, 0.08945, 0.00000, 0.0000000
15302891, 0xAAAA, 0024, 0003, 0.08945, 0.00000, 0.0000000
15306036, 0xAAAA, 0025, 0003, 0.08945, 0.00000, 0.0000000
15309220, 0xAAAA, 0026, 0002, 0.08945, 0.00081, 0.0000000
15312278, 0xAAAA, 0027, 0002, 0.08945, 0.00000, 0.0000000
15315409, 0xAAAA, 0028, 0001, 0.08945, 0.00242, 0.0000000
15318519, 0xAAAA, 0029, 0001, 0.08945, 0.00000, 0.0000000
15321645, 0xAAAA, 0030, 0000, 0.08864, 0.00000, 0.0000000
15324785, 0xAAAA, 0031, 0000, 0.08864, 0.00000, 0.0000000
15327895, 0xAAAA, 0032, 0000, 0.08381, 0.00000, 0.0000000
