uptime, sync, seq, step, SWPMON, adc
001646, 0xEEEE, 0000, 0000, 0.01128, 0.0000000
004771, 0xEEEE, 0001, 0000, 0.01128, 5.0000000
007896, 0xEEEE, 0002, 0001, 0.01128, 5.0000000
011026, 0xEEEE, 0003, 0001, 0.01128, 1.1671626
014145, 0xEEEE, 0004, 0002, 0.43275, 0.0000000
017270, 0xEEEE, 0005, 0002, 0.78733, 4.1123064
020403, 0xEEEE, 0006, 0003, 0.79538, 5.0000000
023530, 0xEEEE, 0007, 0003, 0.78491, 5.0000000
026655, 0xEEEE, 0008, 0004, 1.18462, 3.8909743
029780, 0xEEEE, 0009, 0004, 1.17897, 0.1987488
032905, 0xEEEE, 0010, 0005, 1.57626, 1.9953460
036045, 0xEEEE, 0011, 0005, 1.57304, 5.0000000
039145, 0xEEEE, 0012, 0006, 1.96791, 5.0000000
042270, 0xEEEE, 0013, 0006, 2.36278, 5.0000000
045395, 0xEEEE, 0014, 0007, 2.34425, 0.3649195
048521, 0xEEEE, 0015, 0007, 2.41275, 0.0000000
051645, 0xEEEE, 0016, 0007, 2.54813, 5.0000000
054770, 0xEEEE, 0017, 0007, 2.54733, 5.0000000
057896, 0xEEEE, 0018, 0006, 2.55458, 5.0000000
061026, 0xEEEE, 0019, 0006, 2.54652, 1.3067063
064148, 0xEEEE, 0020, 0005, 2.36198, 0.0000000
067277, 0xEEEE, 0021, 0005, 1.96952, 4.2555123
070402, 0xEEEE, 0022, 0004, 1.99612, 5.0000000
073534, 0xEEEE, 0023, 0004, 1.95824, 5.0000000
076653, 0xEEEE, 0024, 0003, 1.57465, 3.9223316
079778, 0xEEEE, 0025, 0003, 1.57465, 0.3038834
082895, 0xEEEE, 0026, 0002, 1.17575, 2.0807202
086027, 0xEEEE, 0027, 0002, 1.18220, 5.0000000
089145, 0xEEEE, 0028, 0001, 0.78088, 5.0000000
092271, 0xEEEE, 0029, 0001, 0.39245, 5.0000000
095416, 0xEEEE, 0030, 0000, 0.39165, 0.4122225
098521, 0xEEEE, 0031, 0000, 0.39245, 0.0000000
101645, 0xEEEE, 0032, 0000, 0.01209, 5.0000000
104770, 0xEEEE, 0033, 0000, 0.01128, 5.0000000
107897, 0xEEEE, 0034, 0001, 0.01128, 5.0000000
111035, 0xEEEE, 0035, 0001, 0.01209, 1.3537041
114155, 0xEEEE, 0036, 0002, 0.39165, 0.0000000
