date, time, sync, seq, endMon, SWPMON, temp1, temp2, adc
05-30-2024, 13:18:44:596, , , , , , , 
05-30-2024, 13:18:44:596, 0xAAAA, 42146, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42147, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42148, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42149, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42150, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42151, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42152, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42153, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42154, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:596, 0xAAAA, 42155, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:624, 0xAAAA, 42156, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:624, 0xAAAA, 42157, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:624, 0xAAAA, 42158, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:624, 0xAAAA, 42159, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:624, 0xAAAA, 42160, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42161, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42172, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42173, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42174, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42175, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42176, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42177, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42178, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42179, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:678, 0xAAAA, 42180, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:706, 0xAAAA, 42181, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:706, 0xAAAA, 42182, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:706, 0xAAAA, 42183, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:706, 0xAAAA, 42184, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:706, 0xAAAA, 42185, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42186, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42188, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42189, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42190, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42191, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42192, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42193, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42194, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42195, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:733, 0xAAAA, 42196, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:761, 0xAAAA, 42197, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:761, 0xAAAA, 42198, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:761, 0xAAAA, 42199, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:761, 0xAAAA, 42200, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:761, 0xAAAA, 42201, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:761, 0xAAAA, 42202, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:761, 0xAAAA, 42203, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:762, 0xAAAA, 42204, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:762, 0xAAAA, 42205, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:762, 0xAAAA, 42206, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:789, 0xAAAA, 42207, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:789, 0xAAAA, 42208, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42209, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42210, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42211, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42212, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42213, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42214, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42215, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:790, 0xAAAA, 42216, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:817, 0xAAAA, 42217, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:817, 0xAAAA, 42218, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:817, 0xAAAA, 42219, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:817, 0xAAAA, 42220, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:817, 0xAAAA, 42221, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42222, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42223, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42224, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42225, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42226, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42227, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42228, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42229, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42230, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42231, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:845, 0xAAAA, 42232, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:899, 0xAAAA, 42233, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:899, 0xAAAA, 42244, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:899, 0xAAAA, 42245, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:899, 0xAAAA, 42246, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:899, 0xAAAA, 42247, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:899, 0xAAAA, 42248, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:899, 0xAAAA, 42249, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:900, 0xAAAA, 42250, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:900, 0xAAAA, 42251, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:900, 0xAAAA, 42252, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:927, 0xAAAA, 42253, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
05-30-2024, 13:18:44:927, 0xAAAA, 42254, 0.2744335, 0.17436, 0.16190, 0.00000, 0.00000
