sync, uptime, seq, step, SWPMON, adc
0xEEEE, 12102277, 3872, 0000, 0.01209, 4.8573281
0xEEEE, 12105404, 3873, 0000, 0.01128, 4.8596933
0xEEEE, 12108549, 3874, 0001, 0.01209, 4.8583200
0xEEEE, 12111663, 3875, 0001, 0.01128, 4.8598459
0xEEEE, 12114788, 3876, 0002, 0.38842, 4.8534371
0xEEEE, 12117920, 3877, 0002, 0.39810, 4.8532082
0xEEEE, 12121074, 3878, 0003, 0.77524, 4.8612955
0xEEEE, 12124164, 3879, 0003, 0.78813, 4.8574807
0xEEEE, 12127278, 3880, 0004, 1.18300, 4.8458839
0xEEEE, 12130411, 3881, 0004, 1.16850, 4.8484779
0xEEEE, 12133536, 3882, 0005, 1.57868, 4.8583963
0xEEEE, 12136661, 3883, 0005, 1.57788, 4.8595407
0xEEEE, 12139787, 3884, 0006, 1.97355, 4.8477150
0xEEEE, 12142919, 3885, 0006, 1.97436, 4.8527504
0xEEEE, 12146052, 3886, 0007, 2.36601, 4.8576333
0xEEEE, 12149151, 3887, 0007, 2.55055, 4.8525978
0xEEEE, 12152276, 3888, 0007, 2.55216, 4.8532845
0xEEEE, 12155402, 3889, 0007, 2.55136, 4.8603037
0xEEEE, 12158527, 3890, 0006, 2.54007, 4.8590066
0xEEEE, 12161652, 3891, 0006, 2.55297, 4.8480201
0xEEEE, 12164777, 3892, 0005, 2.36278, 4.8473335
0xEEEE, 12167909, 3893, 0005, 2.30718, 4.8603799
0xEEEE, 12171037, 3894, 0004, 1.97355, 4.8607614
0xEEEE, 12174163, 3895, 0004, 1.57868, 4.8500801
0xEEEE, 12177288, 3896, 0003, 1.58110, 4.8515297
0xEEEE, 12180413, 3897, 0003, 1.57788, 4.8579385
0xEEEE, 12183539, 3898, 0002, 1.18300, 4.8569467
0xEEEE, 12186663, 3899, 0002, 1.19106, 4.8463416
0xEEEE, 12189789, 3900, 0001, 0.78813, 4.8536660
0xEEEE, 12192932, 3901, 0001, 0.78813, 4.8585489
0xEEEE, 12196054, 3902, 0000, 0.39245, 4.8467231
0xEEEE, 12199161, 3903, 0000, 0.01209, 4.8487068
0xEEEE, 12202286, 3904, 0000, 0.01209, 4.8648051
0xEEEE, 12205412, 3905, 0000, 0.01289, 4.8607614
0xEEEE, 12208536, 3906, 0001, 0.01209, 4.8542000
0xEEEE, 12211660, 3907, 0001, 0.01128, 4.8482490
0xEEEE, 12214786, 3908, 0002, 0.39568, 4.8587778
0xEEEE, 12217910, 3909, 0002, 0.38359, 4.8571756
0xEEEE, 12221063, 3910, 0003, 0.78813, 4.8513008
0xEEEE, 12224153, 3911, 0003, 1.18300, 4.8506142
0xEEEE, 12227276, 3912, 0004, 1.18220, 4.8560311
0xEEEE, 12230410, 3913, 0004, 1.17736, 4.8537423
0xEEEE, 12233527, 3914, 0005, 1.57868, 4.8484016
0xEEEE, 12236651, 3915, 0005, 1.58352, 4.8523690
0xEEEE, 12239785, 3916, 0006, 1.97275, 4.8659495
0xEEEE, 12242920, 3917, 0006, 1.97114, 4.8512245
0xEEEE, 12246045, 3918, 0007, 2.36601, 4.8517586
0xEEEE, 12249163, 3919, 0007, 2.55136, 4.8549630
0xEEEE, 12252289, 3920, 0007, 2.55055, 4.8597696
0xEEEE, 12255413, 3921, 0007, 2.55216, 4.8533608
0xEEEE, 12258538, 3922, 0006, 2.55136, 4.8456550
0xEEEE, 12261657, 3923, 0006, 2.53443, 4.8576333
0xEEEE, 12264786, 3924, 0005, 2.36601, 4.8549630
0xEEEE, 12267918, 3925, 0005, 2.36601, 4.8522164
0xEEEE, 12271043, 3926, 0004, 1.98161, 4.8524453
0xEEEE, 12274161, 3927, 0004, 1.97194, 4.8604562
0xEEEE, 12277297, 3928, 0003, 1.58352, 4.8531319
