uptime, sync, seq, step, SWPMON, adc
11296215, 0xAAAA, 0000, 0000, 0.00000, 4.9805447
11299678, 0xAAAA, 0001, 0000, 0.01209, 0.0000000
11302817, 0xAAAA, 0002, 0000, 0.01209, 0.0000000
11305932, 0xAAAA, 0003, 0001, 0.01128, 0.0000000
11309189, 0xAAAA, 0004, 0001, 0.01209, 0.0000000
11312220, 0xAAAA, 0005, 0002, 0.38923, 0.0000000
11315307, 0xAAAA, 0006, 0002, 0.78733, 0.0000000
11318430, 0xAAAA, 0007, 0003, 0.78491, 0.0000000
11321562, 0xAAAA, 0008, 0003, 0.78733, 0.0000000
11324693, 0xAAAA, 0009, 0004, 1.18381, 0.0000000
11327832, 0xAAAA, 0010, 0004, 1.17253, 0.0000000
11330926, 0xAAAA, 0011, 0005, 1.57707, 0.0000000
11334074, 0xAAAA, 0012, 0005, 1.97436, 0.0000000
11337266, 0xAAAA, 0013, 0006, 1.97275, 0.0000000
11340301, 0xAAAA, 0014, 0006, 1.99128, 0.0000000
11343427, 0xAAAA, 0015, 0007, 2.36359, 0.0000000
11346568, 0xAAAA, 0016, 0007, 2.36520, 0.0000000
11349676, 0xAAAA, 0017, 0007, 2.60051, 0.0000000
11352805, 0xAAAA, 0018, 0007, 2.55538, 0.0000000
11355955, 0xAAAA, 0019, 0006, 2.55136, 0.0000000
11359216, 0xAAAA, 0020, 0006, 2.55055, 0.0000000
11362228, 0xAAAA, 0021, 0005, 2.39421, 0.0000000
11365311, 0xAAAA, 0022, 0005, 1.97275, 0.0000000
11368431, 0xAAAA, 0023, 0004, 1.97275, 0.0000000
11371556, 0xAAAA, 0024, 0004, 1.57062, 0.0000000
11374693, 0xAAAA, 0025, 0003, 1.57707, 0.0000000
11377805, 0xAAAA, 0026, 0003, 1.59399, 0.0000000
11380930, 0xAAAA, 0027, 0002, 1.18220, 0.0000000
11384078, 0xAAAA, 0028, 0002, 0.78733, 0.0000000
11387252, 0xAAAA, 0029, 0001, 0.79136, 0.0000000
11390317, 0xAAAA, 0030, 0001, 0.43758, 0.0000000
11393427, 0xAAAA, 0031, 0000, 0.39245, 0.0000000
11396552, 0xAAAA, 0032, 0000, 0.39326, 0.0000000
11399691, 0xAAAA, 0033, 0000, 0.01209, 0.0000000
11402802, 0xAAAA, 0034, 0000, 0.01128, 0.0000000
11405928, 0xAAAA, 0035, 0001, 0.01128, 0.0000000
11409186, 0xAAAA, 0036, 0001, 0.01209, 0.0000000
11412218, 0xAAAA, 0037, 0002, 0.40374, 0.0000000
11415302, 0xAAAA, 0038, 0002, 0.39165, 0.0000000
11418443, 0xAAAA, 0039, 0003, 0.78813, 0.0000000
11421562, 0xAAAA, 0040, 0003, 1.18220, 0.0000000
11424693, 0xAAAA, 0041, 0004, 1.16205, 0.0000000
11427828, 0xAAAA, 0042, 0004, 1.18220, 0.0000000
11430930, 0xAAAA, 0043, 0005, 1.58755, 0.0000000
11434078, 0xAAAA, 0044, 0005, 1.57788, 0.0000000
11437270, 0xAAAA, 0045, 0006, 1.95582, 0.0000000
11440306, 0xAAAA, 0046, 0006, 2.36601, 0.0000000
11443430, 0xAAAA, 0047, 0007, 2.36520, 0.0000000
11446568, 0xAAAA, 0048, 0007, 2.35956, 0.0000000
11449678, 0xAAAA, 0049, 0007, 2.54733, 0.0000000
11452805, 0xAAAA, 0050, 0007, 2.55055, 0.0000000
11455943, 0xAAAA, 0051, 0006, 2.55136, 0.0000000
11459173, 0xAAAA, 0052, 0006, 2.38051, 0.0000000
11462226, 0xAAAA, 0053, 0005, 2.36681, 0.0000000
11465306, 0xAAAA, 0054, 0005, 2.36681, 0.0000000
11468427, 0xAAAA, 0055, 0004, 1.94454, 0.0000000
11471552, 0xAAAA, 0056, 0004, 1.97275, 0.0000000
11474678, 0xAAAA, 0057, 0003, 1.57949, 0.0000000
11477801, 0xAAAA, 0058, 0003, 1.18220, 0.0000000
11480926, 0xAAAA, 0059, 0002, 1.17172, 0.0000000
11484074, 0xAAAA, 0060, 0002, 1.18220, 0.0000000
11487251, 0xAAAA, 0061, 0001, 0.78733, 0.0000000
11490334, 0xAAAA, 0062, 0001, 0.71802, 0.0000000
