uptime, sync, seq, step, SWPMON, adc
14227660, 0xAAAA, 0096, 0000, 0.00000, 4.9805447
14230785, 0xAAAA, 0097, 0000, 0.00000, 4.9805447
14233926, 0xAAAA, 0098, 0000, 0.00000, 4.9805447
14237054, 0xAAAA, 0099, 0001, 0.00000, 4.9805447
14240465, 0xAAAA, 0100, 0001, 0.00000, 4.9805447
14243306, 0xAAAA, 0101, 0002, 0.00000, 4.9805447
14246426, 0xAAAA, 0102, 0002, 0.00000, 4.9805447
14249536, 0xAAAA, 0103, 0003, 0.00000, 4.9805447
14252663, 0xAAAA, 0104, 0003, 0.00000, 4.9805447
14255788, 0xAAAA, 0105, 0004, 0.00000, 4.9805447
14258913, 0xAAAA, 0106, 0004, 0.00000, 4.9805447
14262085, 0xAAAA, 0107, 0005, 0.00000, 4.9805447
14265222, 0xAAAA, 0108, 0005, 0.00000, 4.9805447
14268290, 0xAAAA, 0109, 0006, 0.00000, 4.9805447
14271413, 0xAAAA, 0110, 0006, 0.00000, 4.9805447
14274539, 0xAAAA, 0111, 0007, 0.00000, 4.9805447
14277672, 0xAAAA, 0112, 0007, 0.00000, 4.9805447
14280801, 0xAAAA, 0113, 0007, 0.00000, 4.9805447
14283909, 0xAAAA, 0114, 0007, 0.00000, 4.9805447
14287098, 0xAAAA, 0115, 0006, 0.00000, 4.9805447
14290236, 0xAAAA, 0116, 0006, 0.00000, 4.9805447
14293286, 0xAAAA, 0117, 0005, 0.00000, 4.9805447
14296411, 0xAAAA, 0118, 0005, 0.00000, 4.9805447
14299536, 0xAAAA, 0119, 0004, 0.00000, 4.9805447
14302894, 0xAAAA, 0120, 0004, 0.00000, 4.9805447
14305800, 0xAAAA, 0121, 0003, 0.00000, 4.9805447
14308914, 0xAAAA, 0122, 0003, 0.00000, 4.9805447
14312086, 0xAAAA, 0123, 0002, 0.00000, 4.9805447
14315248, 0xAAAA, 0124, 0002, 0.00000, 4.9805447
14318289, 0xAAAA, 0125, 0001, 0.00000, 4.9805447
14321413, 0xAAAA, 0126, 0001, 0.00000, 4.9805447
14324551, 0xAAAA, 0127, 0000, 0.00000, 4.9805447
14327663, 0xAAAA, 0128, 0000, 0.00000, 4.9805447
