date, time, sync, seq, SWPMON, temp1, adc
24-07-08, T17:20:15.276000Z, 0xAAAA, 1068, 0.00000, 0.49238, 0.0000000
24-07-08, T17:20:15.279100Z, 0xAAAA, 1069, 0.00000, 0.49158, 0.0000000
24-07-08, T17:20:15.282100Z, 0xAAAA, 1070, 0.00000, 0.50044, 0.0000000
24-07-08, T17:20:15.285200Z, 0xAAAA, 1071, 0.00000, 0.50366, 0.0000000
24-07-08, T17:20:15.288400Z, 0xAAAA, 1072, 0.00000, 0.49238, 0.0000000
24-07-08, T17:20:15.291500Z, 0xAAAA, 1073, 0.00000, 0.50205, 0.0000000
24-07-08, T17:20:15.294500Z, 0xAAAA, 1074, 0.00000, 0.50366, 0.0000000
24-07-08, T17:20:15.297600Z, 0xAAAA, 1075, 0.00000, 0.50366, 0.0000000
24-07-08, T17:20:15.300700Z, 0xAAAA, 1076, 0.00081, 0.49158, 0.0000000
24-07-08, T17:20:15.303800Z, 0xAAAA, 1077, 0.00000, 0.49883, 0.0000000
24-07-08, T17:20:15.306900Z, 0xAAAA, 1078, 0.00000, 0.50366, 0.0000000
24-07-08, T17:20:15.310000Z, 0xAAAA, 1079, 0.00000, 0.49077, 0.0000000
24-07-08, T17:20:15.313100Z, 0xAAAA, 1080, 0.00000, 0.48996, 0.0000000
24-07-08, T17:20:15.316200Z, 0xAAAA, 1081, 0.00000, 0.49883, 0.0000000
24-07-08, T17:20:15.319300Z, 0xAAAA, 1082, 0.00000, 0.50447, 0.0000000
24-07-08, T17:20:15.322400Z, 0xAAAA, 1083, 0.00000, 0.49077, 0.0000000
24-07-08, T17:20:15.325500Z, 0xAAAA, 1084, 0.00000, 0.49883, 0.0000000
24-07-08, T17:20:15.328600Z, 0xAAAA, 1085, 0.00081, 0.50286, 0.0000000
24-07-08, T17:20:15.331600Z, 0xAAAA, 1086, 0.00000, 0.50205, 0.0000000
24-07-08, T17:20:15.334700Z, 0xAAAA, 1087, 0.00000, 0.49158, 0.0000000
24-07-08, T17:20:15.337800Z, 0xAAAA, 1088, 0.00000, 0.49883, 0.0000000
24-07-08, T17:20:15.341000Z, 0xAAAA, 1089, 0.00000, 0.50286, 0.0000000
24-07-08, T17:20:15.344000Z, 0xAAAA, 1090, 0.00000, 0.48916, 0.0000000
24-07-08, T17:20:15.347100Z, 0xAAAA, 1091, 0.00000, 0.49722, 0.0000000
24-07-08, T17:20:15.350200Z, 0xAAAA, 1092, 0.00000, 0.49722, 0.0000000
24-07-08, T17:20:15.353300Z, 0xAAAA, 1093, 0.00000, 0.50366, 0.0000000
24-07-08, T17:20:15.356400Z, 0xAAAA, 1094, 0.00000, 0.48916, 0.0000000
24-07-08, T17:20:15.359500Z, 0xAAAA, 1095, 0.00000, 0.49722, 0.0000000
24-07-08, T17:20:15.362600Z, 0xAAAA, 1096, 0.00000, 0.50366, 0.0000000
24-07-08, T17:20:15.365700Z, 0xAAAA, 1097, 0.00000, 0.48916, 0.0000000
24-07-08, T17:20:15.368800Z, 0xAAAA, 1098, 0.00000, 0.48996, 0.0000000
24-07-08, T17:20:15.371900Z, 0xAAAA, 1099, 0.00000, 0.49641, 0.0000000
24-07-08, T17:20:15.375000Z, 0xAAAA, 1100, 0.00000, 0.50286, 0.0000000
24-07-08, T17:20:15.381200Z, 0xAAAA, 1102, 0.00000, 0.49480, 0.0000000
24-07-08, T17:20:15.384300Z, 0xAAAA, 1103, 0.00081, 0.50286, 0.0000000
24-07-08, T17:20:15.387400Z, 0xAAAA, 1104, 0.00000, 0.50286, 0.0000000
24-07-08, T17:20:15.390500Z, 0xAAAA, 1105, 0.00000, 0.48835, 0.0000000
24-07-08, T17:20:15.393600Z, 0xAAAA, 1106, 0.00000, 0.49641, 0.0000000
24-07-08, T17:20:15.396600Z, 0xAAAA, 1107, 0.00000, 0.50366, 0.0000000
24-07-08, T17:20:15.399700Z, 0xAAAA, 1108, 0.00000, 0.49238, 0.0000000
24-07-08, T17:20:15.402800Z, 0xAAAA, 1109, 0.00000, 0.49480, 0.0000000
24-07-08, T17:20:15.405900Z, 0xAAAA, 1110, 0.00000, 0.49480, 0.0000000
24-07-08, T17:20:15.409000Z, 0xAAAA, 1111, 0.00000, 0.50205, 0.0000000
24-07-08, T17:20:15.412100Z, 0xAAAA, 1112, 0.00000, 0.49319, 0.0000000
24-07-08, T17:20:15.415200Z, 0xAAAA, 1113, 0.00000, 0.49480, 0.0000000
24-07-08, T17:20:15.418300Z, 0xAAAA, 1114, 0.00000, 0.50205, 0.0000000
24-07-08, T17:20:15.421400Z, 0xAAAA, 1115, 0.00000, 0.50527, 0.0000000
