unix, uptime, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, tmp1
1726235312, 000000, 0xDDDD, 0000, 26.63004, 1.22088, 23.06250, 23.00000, 23.31250, 23.18750, 1.33370, 0.03788, 2.49736, 1.18381, 3.00667, 3.19846, 0.00000, 3.04857, 3.00425, 2.69802, 2.55780, 13.13187
1726235312, 079533, 0xDDDD, 0001, 26.22712, 1.22088, 23.06250, 23.00000, 23.31250, 23.18750, 1.33289, 0.04593, 2.49817, 1.18059, 3.00586, 3.19685, 0.00000, 3.04857, 3.00505, 2.69802, 2.55216, 13.84818
1726235313, 179516, 0xDDDD, 0002, 26.22712, 1.22007, 23.06250, 23.00000, 23.31250, 23.25000, 1.33370, 0.03788, 2.49817, 1.18864, 3.00183, 3.19685, 0.00000, 3.04857, 3.00425, 2.69641, 2.56425, 14.02726
1726235313, 279526, 0xDDDD, 0003, 26.63004, 1.22088, 23.06250, 23.00000, 23.31250, 23.25000, 1.33370, 0.04432, 2.49897, 1.19026, 3.08484, 3.19685, 0.00000, 3.04535, 3.00586, 2.69802, 2.61179, 14.56450
1726235313, 379525, 0xDDDD, 0004, 26.63004, 1.22088, 23.12500, 23.00000, 23.31250, 23.25000, 1.33451, 0.03626, 2.49897, 1.19993, 3.07436, 3.19846, 0.00000, 3.04938, 3.00586, 2.69963, 2.55377, 14.92266
1726235313, 479519, 0xDDDD, 0005, 26.22712, 1.22088, 23.12500, 23.00000, 23.31250, 23.25000, 1.33451, 0.04432, 2.49978, 1.17978, 3.07275, 3.20168, 0.00000, 3.04938, 3.00586, 2.69802, 2.55700, 15.10173
1726235313, 579533, 0xDDDD, 0006, 26.63004, 1.22168, 23.06250, 23.00000, 23.31250, 23.25000, 1.33370, 0.03868, 2.49978, 1.18703, 3.07033, 3.20249, 0.00000, 3.04293, 3.00747, 2.69802, 2.55619, 15.45989
1726235313, 679539, 0xDDDD, 0007, 27.03297, 1.22007, 23.06250, 23.00000, 23.31250, 23.25000, 1.33451, 0.03626, 2.49978, 1.19187, 3.06469, 3.20330, 0.00000, 3.04293, 3.00586, 2.69802, 2.55861, 15.81808
1726235313, 779517, 0xDDDD, 0008, 26.63004, 1.22168, 23.06250, 23.00000, 23.31250, 23.25000, 1.33531, 0.03868, 2.49978, 1.19670, 3.06066, 3.19685, 0.00000, 3.04212, 3.00586, 2.69883, 2.55861, 15.81808
1726235313, 879540, 0xDDDD, 0009, 27.03297, 1.22168, 23.12500, 23.00000, 23.31250, 23.25000, 1.33451, 0.04190, 2.50059, 1.17817, 3.05582, 3.19927, 0.00000, 3.05018, 3.00667, 2.70044, 2.54007, 15.99716
