unix, uptime, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, tmp1
1728401604, 000000, 0xDDDD, 0000, 26.63004, 1.22088, 23.75000, 23.31250, 23.87500, 23.50000, 1.33451, 0.02015, 2.49575, 1.18703, 3.05179, 3.19443, 0.00000, 3.04777, 3.00425, 2.69722, 2.55377, 12.05739
1728401604, 029158, 0xDDDD, 0001, 27.43590, 1.22088, 23.75000, 23.31250, 23.87500, 23.50000, 1.33451, 0.03465, 2.49656, 1.19429, 3.07597, 3.18637, 0.00000, 3.04777, 3.00425, 2.69722, 2.51993, 12.59463
1728401604, 129186, 0xDDDD, 0002, 27.03297, 1.22088, 23.75000, 23.37500, 24.00000, 23.50000, 1.33370, 0.04110, 2.49656, 1.19267, 3.05502, 3.19282, 0.00000, 3.05099, 3.00425, 2.69722, 2.57070, 13.49002
1728401604, 229178, 0xDDDD, 0003, 27.03297, 1.22088, 23.75000, 23.37500, 24.00000, 23.56250, 1.33370, 0.03868, 2.49736, 1.19187, 3.00183, 3.20571, 0.00081, 3.04857, 3.00505, 2.69722, 2.55861, 14.02726
1728401604, 329185, 0xDDDD, 0004, 27.03297, 1.22168, 23.68750, 23.37500, 23.87500, 23.56250, 1.33370, 0.04432, 2.49817, 1.18542, 3.05905, 3.18718, 0.00000, 3.04938, 3.00505, 2.69722, 2.55861, 14.56450
1728401604, 429184, 0xDDDD, 0005, 27.03297, 1.22088, 23.68750, 23.37500, 23.87500, 23.56250, 1.33370, 0.02176, 2.49817, 1.18300, 3.03890, 3.20088, 0.00000, 3.04615, 3.00505, 2.69641, 2.55780, 14.92266
1728401604, 529194, 0xDDDD, 0006, 26.63004, 1.22088, 23.75000, 23.37500, 23.87500, 23.56250, 1.33370, 0.04593, 2.49897, 1.17978, 3.01875, 3.19201, 0.00000, 3.04938, 3.00505, 2.69802, 2.55861, 15.45989
1728401604, 629173, 0xDDDD, 0007, 27.03297, 1.22168, 23.75000, 23.37500, 23.93750, 23.56250, 1.33370, 0.04190, 2.49897, 1.17656, 3.08484, 3.20733, 0.00000, 3.04857, 3.00586, 2.69883, 2.55377, 15.81808
1728401604, 729189, 0xDDDD, 0008, 27.03297, 1.22088, 23.75000, 23.37500, 23.93750, 23.50000, 1.33451, 0.03788, 2.49897, 1.17414, 3.05824, 3.19766, 0.00000, 3.05018, 3.00586, 2.69883, 2.55377, 15.81808
1728401604, 829168, 0xDDDD, 0009, 27.83883, 1.22168, 23.75000, 23.37500, 23.87500, 23.50000, 1.33370, 0.03949, 2.49978, 1.19670, 3.03971, 3.19040, 0.00000, 3.04857, 3.00586, 2.69883, 2.55861, 16.17624
1728401604, 929171, 0xDDDD, 0010, 27.03297, 1.22168, 23.75000, 23.37500, 23.87500, 23.50000, 1.33451, 0.03546, 2.49978, 1.19267, 3.06549, 3.20571, 0.00000, 3.04938, 3.00586, 2.69963, 2.56022, 16.35531
1728401605, 1029177, 0xDDDD, 0011, 27.03297, 1.22168, 23.75000, 23.37500, 23.93750, 23.50000, 1.32000, 0.04271, 2.49978, 1.18864, 3.04938, 3.19201, 0.00000, 3.05018, 3.00667, 2.69802, 2.55619, 17.07163
1728401605, 1129184, 0xDDDD, 0012, 26.63004, 1.22168, 23.75000, 23.37500, 23.93750, 23.50000, 1.33451, 0.03949, 2.50059, 1.17817, 3.03165, 3.20894, 0.00000, 3.05018, 3.00667, 2.69883, 2.55941, 16.71347
1728401605, 1229168, 0xDDDD, 0013, 27.43590, 1.22168, 23.75000, 23.37500, 23.93750, 23.50000, 1.33451, 0.03949, 2.50059, 1.20073, 3.01553, 3.20168, 0.00000, 3.05018, 3.00667, 2.69883, 2.55780, 16.89255
1728401605, 1329175, 0xDDDD, 0014, 26.63004, 1.22168, 23.75000, 23.37500, 23.93750, 23.50000, 1.33451, 0.03626, 2.50059, 1.19429, 3.07919, 3.19443, 0.00000, 3.04938, 3.00667, 2.69802, 2.58359, 17.25071
