unix, uptime, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, tmp1
1725624698195, 000000, 0xDDDD, 0000, 1.22168, 0.61165, 22.56000, 22.43000, 22.68000, 22.68000, 1.03311, 0.07736, 2.49817, 1.19187, 3.06630, 3.19282, 0.00000, 3.04696, 3.00505, 2.69802, 2.56183, 12.05739
1725624698205, 008559, 0xDDDD, 0001, 1.22088, 0.61165, 22.56000, 22.43000, 22.68000, 22.68000, 1.33451, 0.03949, 2.49817, 1.18139, 3.01473, 3.20088, 0.00000, 3.04938, 3.00586, 2.69641, 2.56505, 12.59463
1725624698305, 108591, 0xDDDD, 0002, 1.22168, 0.61326, 22.56000, 22.43000, 22.87000, 22.68000, 1.33451, 0.04029, 2.49978, 1.18945, 3.06952, 3.20491, 0.00000, 3.05018, 3.00586, 2.69883, 2.55136, 13.13187
1725624698405, 208587, 0xDDDD, 0003, 1.22168, 0.61245, 22.56000, 22.50000, 22.87000, 22.68000, 1.33451, 0.03868, 2.49897, 1.18542, 3.04374, 3.18879, 0.00000, 3.04938, 3.00586, 2.69722, 2.55297, 13.66910
1725624698505, 308573, 0xDDDD, 0004, 1.22168, 0.61245, 22.56000, 22.50000, 22.87000, 22.68000, 1.33531, 0.03788, 2.49978, 1.18300, 3.02037, 3.19766, 0.00000, 3.04857, 3.00667, 2.69963, 2.55619, 14.02726
1725624698605, 408566, 0xDDDD, 0005, 1.22168, 0.61245, 22.56000, 22.50000, 22.81000, 22.68000, 1.33451, 0.04352, 2.49978, 1.17817, 3.07758, 3.20088, 0.00000, 3.05099, 3.00667, 2.69963, 2.55861, 14.38542
1725624698705, 508552, 0xDDDD, 0006, 1.22168, 0.61245, 22.56000, 22.43000, 22.81000, 22.68000, 1.33612, 0.04271, 2.50059, 1.17495, 3.05421, 3.20894, 0.00000, 3.05018, 3.00667, 2.69883, 2.55538, 14.38542
1725624698805, 608589, 0xDDDD, 0007, 1.22168, 0.61326, 22.56000, 22.43000, 22.81000, 22.68000, 1.33531, 0.03626, 2.50059, 1.19429, 3.03245, 3.19443, 0.00000, 3.05099, 3.00667, 2.69883, 2.55538, 14.74358
1725624698905, 708566, 0xDDDD, 0008, 1.22168, 0.61326, 22.56000, 22.43000, 22.81000, 22.68000, 1.33612, 0.03546, 2.50139, 1.18784, 3.01150, 3.20410, 0.00000, 3.05018, 3.00667, 2.70044, 2.59810, 15.10173
1725624699005, 808557, 0xDDDD, 0009, 1.22168, 0.61245, 22.56000, 22.43000, 22.81000, 22.68000, 1.33531, 0.04190, 2.50059, 1.18220, 3.06549, 3.19040, 0.00000, 3.05260, 3.00747, 2.70044, 2.58198, 15.10173
1725624699105, 908584, 0xDDDD, 0010, 1.22168, 0.61245, 22.50000, 22.43000, 22.81000, 22.68000, 1.33451, 0.04432, 2.50139, 1.19026, 3.04535, 3.20088, 0.00000, 3.05018, 3.00747, 2.70044, 2.55780, 15.45989
1725624699205, 1008582, 0xDDDD, 0011, 1.22168, 0.61326, 22.50000, 22.43000, 22.81000, 22.68000, 1.33531, 0.04029, 2.50139, 1.18300, 3.02117, 3.20733, 0.00000, 3.05099, 3.00747, 2.69963, 2.55458, 15.45989
1725624699305, 1108574, 0xDDDD, 0012, 1.22249, 0.61245, 22.50000, 22.43000, 22.81000, 22.68000, 1.33531, 0.03626, 2.50139, 1.17736, 3.08081, 3.19443, 0.00000, 3.05099, 3.00747, 2.70125, 2.55700, 15.63900
1725624699405, 1208570, 0xDDDD, 0013, 1.22168, 0.61245, 22.56000, 22.43000, 22.81000, 22.68000, 1.33692, 0.03788, 2.50220, 1.19429, 3.05744, 3.20410, 0.00000, 3.05341, 3.00828, 2.70044, 2.55941, 15.63900
1725624699505, 1308554, 0xDDDD, 0014, 1.22168, 0.61245, 22.56000, 22.43000, 22.81000, 22.68000, 1.33612, 0.03546, 2.50220, 1.18703, 3.03568, 3.19040, 0.00000, 3.05179, 3.00828, 2.70125, 2.56505, 15.99716
