date, time, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, tmp1
24-07-30, 11:55:17.087700, 0xCCCC, 0000, 1.22168, 0.61648, 25.37000, 25.25000, 25.37000, 25.43000, 0.67853, 0.10315, 2.49897, 1.18542, 3.04615, 3.19927, 0.00000, 1.22974, 3.10821, 2.25641, 1.95582, 14.02726
24-07-30, 11:55:17.097800, 0xCCCC, 0001, 1.22168, 0.61729, 25.37000, 25.25000, 25.37000, 25.43000, 0.65597, 0.07817, 2.49817, 1.18381, 3.05341, 3.19927, 0.00000, 0.77846, 2.56183, 2.29026, 2.02110, 14.20634
24-07-30, 11:55:17.107800, 0xCCCC, 0002, 1.49487, 0.75993, 25.37000, 25.25000, 25.37000, 25.43000, 0.55121, 0.16681, 2.60454, 1.47231, 3.24601, 3.30000, 0.00000, 0.65114, 3.13480, 3.28791, 2.65289, -77.66180
24-07-30, 11:55:17.117800, 0xCCCC, 0003, 1.22168, 0.61648, 25.37000, 25.25000, 25.37000, 25.43000, 0.70110, 0.08059, 2.49897, 1.18623, 3.03165, 3.20652, 0.00000, 0.97993, 1.96227, 2.28139, 2.14278, 14.38542
24-07-30, 11:55:17.128300, 0xCCCC, 0004, 1.22168, 0.61648, 25.37000, 25.25000, 25.37000, 25.43000, 0.58183, 0.06608, 2.49817, 1.19106, 3.03729, 3.20088, 0.00000, 0.65758, 2.06542, 2.26205, 2.23143, 14.56450
24-07-30, 11:55:17.137800, 0xCCCC, 0005, 1.22168, 0.61648, 25.37000, 25.25000, 25.37000, 25.43000, 0.63985, 0.12007, 2.49817, 1.18703, 3.03165, 3.19685, 0.00000, 0.60601, 2.85678, 2.29267, 2.27495, 15.28081
24-07-30, 11:55:17.147800, 0xCCCC, 0006, 1.22168, 0.61729, 25.37000, 25.25000, 25.37000, 25.43000, 0.66484, 0.07978, 2.49817, 1.18623, 3.04535, 3.19846, 0.00000, 0.70835, 2.67626, 2.36440, 2.31927, 13.84818
24-07-30, 11:55:17.157800, 0xCCCC, 0007, 1.39495, 0.70996, 25.37000, 25.25000, 25.37000, 25.43000, 0.56330, 0.05802, 3.16381, 1.33209, 3.30000, 3.29839, 0.00000, 1.64637, 3.21216, 3.00747, 2.84872, -98.79327
24-07-30, 11:55:17.167800, 0xCCCC, 0008, 1.22168, 0.61648, 25.37000, 25.25000, 25.37000, 25.43000, 0.71238, 0.09026, 2.49817, 1.18381, 3.04535, 3.20088, 0.00000, 0.87516, 1.60850, 2.44095, 2.40066, 14.74358
24-07-30, 11:55:17.178300, 0xCCCC, 0009, 1.22249, 0.61648, 25.37000, 25.25000, 25.37000, 25.43000, 0.60601, 0.07092, 2.49897, 1.18462, 3.03648, 3.18960, 0.00000, 0.67289, 2.20081, 2.45546, 2.46916, 14.74358
