sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD, 1730293360, 000000, 0000, 28.64468, 1.22088, 1.07824, 0.14425, 2.49656, , 3.04777, 3.20894, 0.00000, 3.04454, 3.00505, 2.69802, 2.57231, 25.50000, 25.43750, 25.37500, 25.43750, 14.56450
0xDDDD, 1730293360, 022288, 0001, 28.64468, 1.22088, 1.33451, 0.06366, 2.49656, , 3.07194, 3.20652, 0.00000, 3.04938, 3.00505, 2.69883, 2.56505, 25.50000, 25.43750, 25.37500, 25.43750, 14.74358
0xDDDD, 1730293360, 122287, 0002, 29.04761, 1.22088, 1.33370, 0.06527, 2.49736, , 3.03165, 3.21136, 0.00000, 3.04777, 3.00505, 2.69883, 2.56103, 25.50000, 25.43750, 25.37500, 25.43750, 15.99716
0xDDDD, 1730293360, 222289, 0003, 29.04761, 1.22168, 1.33451, 0.06769, 2.49736, , 3.07114, 3.21297, 0.00000, 3.04777, 3.00586, 2.69722, 2.55861, 25.50000, 25.43750, 25.68750, 25.50000, 16.17624
0xDDDD, 1730293360, 322283, 0004, 29.04761, 1.22168, 1.33451, 0.06689, 2.49817, , 3.03245, 3.21297, 0.00000, 3.04938, 3.00586, 2.69883, 2.54410, 25.43750, 25.43750, 25.68750, 25.50000, 16.89255
0xDDDD, 1730293360, 422299, 0005, 29.04761, 1.22168, 1.33451, 0.06205, 2.49897, , 3.07355, 3.21538, 0.00000, 3.05018, 3.00586, 2.69883, 2.46190, 25.43750, 25.43750, 25.68750, 25.50000, 17.25071
0xDDDD, 1730293360, 522282, 0006, 29.04761, 1.22168, 1.33370, 0.06930, 2.49897, , 3.03487, 3.19927, 0.00000, 3.04857, 3.00586, 2.69883, 2.55861, 25.43750, 25.37500, 25.62500, 25.43750, 17.60886
0xDDDD, 1730293360, 622280, 0007, 29.04761, 1.22168, 1.33451, 0.07414, 2.49978, , 3.06147, 3.20168, 0.00000, 3.04938, 3.00667, 2.69802, 2.55619, 25.43750, 25.37500, 25.62500, 25.43750, 17.96702
0xDDDD, 1730293361, 722289, 0008, 29.04761, 1.22168, 1.33451, 0.06608, 2.49978, , 3.02601, 3.20007, 0.00000, 3.04938, 3.00667, 2.69883, 2.55861, 25.43750, 25.43750, 25.62500, 25.43750, 18.14610
0xDDDD, 1730293361, 822280, 0009, 29.04761, 1.22249, 1.33451, 0.07897, 2.49978, , 3.06711, 3.20410, 0.00000, 3.05018, 3.00667, 2.70044, 2.55861, 25.43750, 25.43750, 25.62500, 25.43750, 18.50426
0xDDDD, 1730293361, 922283, 0010, 29.45053, 1.22249, 1.33451, 0.06286, 2.50059, , 3.03245, 3.20894, 0.00000, 3.05099, 3.00747, 2.69883, 2.55941, 25.43750, 25.43750, 25.62500, 25.50000, 18.68334
0xDDDD, 1730293361, 1022286, 0011, 29.45053, 1.22168, 1.33531, 0.06366, 2.50059, , 3.07678, 3.21377, 0.00000, 3.05179, 3.00667, 2.70044, 2.55619, 25.43750, 25.43750, 25.62500, 25.50000, 18.86242
0xDDDD, 1730293361, 1122284, 0012, 29.04761, 1.22168, 1.33370, 0.08220, 2.50139, , 3.04212, 3.20007, 0.00000, 3.04696, 3.00667, 2.70044, 2.56183, 25.43750, 25.43750, 25.62500, 25.50000, 19.22060
0xDDDD, 1730293361, 1222278, 0013, 29.45053, 1.22249, 1.33451, 0.07736, 2.50059, , 3.07033, 3.20652, 0.00000, 3.05099, 3.00747, 2.69963, 2.56183, 25.50000, 25.43750, 25.62500, 25.43750, 19.39968
0xDDDD, 1730293361, 1322270, 0014, 29.85349, 1.22249, 1.33531, 0.07414, 2.50059, , 3.03487, 3.20410, 0.00000, 3.05018, 3.00747, 2.70044, 2.55941, 25.50000, 25.43750, 25.62500, 25.43750, 19.39968
0xDDDD, 1730293361, 1422290, 0015, 29.04761, 1.22249, 1.33531, 0.06125, 2.50139, , 3.07919, 3.20974, 0.00000, 3.05179, 3.00747, 2.70044, 2.56183, 25.50000, 25.43750, 25.68750, 25.43750, 19.57876
0xDDDD, 1730293361, 1522262, 0016, 29.04761, 1.22249, 1.34901, 0.06769, 2.50139, , 3.04212, 3.21780, 0.00000, 3.05018, 3.00747, 2.70044, 2.56344, 25.50000, 25.43750, 25.68750, 25.43750, 19.75784
0xDDDD, 1730293361, 1622282, 0017, 29.45053, 1.22249, 1.33370, 0.05963, 2.50139, , 3.00828, 3.20571, 0.00000, 3.05018, 3.00747, 2.70044, 2.59407, 25.50000, 25.43750, 25.68750, 25.43750, 19.75784
0xDDDD, 1730293362, 1722291, 0018, 29.04761, 1.22249, 1.33531, 0.06608, 2.50139, , 3.04938, 3.21136, 0.00000, 3.05179, 3.00747, 2.70044, 2.59165, 25.43750, 25.43750, 25.62500, 25.43750, 20.11600
0xDDDD, 1730293362, 1822285, 0019, 29.45053, 1.22249, 1.33451, 0.07575, 2.50139, , 3.07597, 3.21861, 0.00000, 3.04615, 3.00747, 2.70044, 2.56183, 25.43750, 25.43750, 25.62500, 25.43750, 20.11600
0xDDDD, 1730293362, 1922274, 0020, 29.04761, 1.22249, 1.33531, 0.06689, 2.50220, , 3.04051, 3.20571, 0.00000, 3.05018, 3.00747, 2.70044, 2.56103, 25.43750, 25.43750, 25.62500, 25.43750, 20.29507
0xDDDD, 1730293362, 2022285, 0021, 29.04761, 1.22249, 1.33531, 0.07656, 2.50220, , 3.00505, 3.20652, 0.00000, 3.05018, 3.00828, 2.70044, 2.55861, 25.43750, 25.43750, 25.62500, 25.43750, 20.47415
0xDDDD, 1730293362, 2122277, 0022, 29.45053, 1.22249, 1.33612, 0.06366, 2.50139, , 3.04938, 3.21377, 0.00000, 3.05099, 3.00828, 2.70125, 2.55780, 25.43750, 25.43750, 25.62500, 25.43750, 20.29507
0xDDDD, 1730293362, 2222275, 0023, 29.04761, 1.22249, 1.33451, 0.06850, 2.50059, , 3.01553, 3.20088, 0.00000, 3.05099, 3.00828, 2.69963, 2.58037, 25.43750, 25.43750, 25.62500, 25.43750, 20.47415
0xDDDD, 1730293362, 2322294, 0024, 29.04761, 1.22249, 1.33451, 0.06769, 2.50220, , 3.05905, 3.20733, 0.00000, 3.05179, 3.00747, 2.70125, 2.52154, 25.43750, 25.43750, 25.62500, 25.43750, 20.83231
0xDDDD, 1730293362, 2422289, 0025, 29.45053, 1.22249, 1.33531, 0.07011, 2.50220, , 3.02359, 3.21458, 0.00000, 3.05260, 3.00828, 2.70125, 2.56022, 25.43750, 25.43750, 25.62500, 25.43750, 20.83231
0xDDDD, 1730293362, 2522269, 0026, 29.45053, 1.22249, 1.33531, 0.07253, 2.50220, , 3.05502, 3.20168, 0.00000, 3.05179, 3.00747, 2.69963, 2.55941, 25.43750, 25.43750, 25.62500, 25.43750, 20.83231
0xDDDD, 1730293362, 2622280, 0027, 29.04761, 1.22249, 1.33370, 0.07172, 2.50220, , 3.01956, 3.20410, 0.00000, 3.05099, 3.00828, 2.70286, 2.55780, 25.43750, 25.43750, 25.62500, 25.43750, 20.83231
0xDDDD, 1730293363, 2722271, 0028, 29.04761, 1.22249, 1.33451, 0.07575, 2.50220, , 3.06147, 3.20974, 0.00000, 3.05260, 3.00828, 2.70044, 2.55861, 25.43750, 25.43750, 25.62500, 25.43750, 21.01139
0xDDDD, 1730293363, 2822291, 0029, 29.04761, 1.22249, 1.33370, 0.08542, 2.50139, , 3.02842, 3.21780, 0.00000, 3.04696, 3.00747, 2.70205, 2.55619, 25.43750, 25.43750, 25.62500, 25.43750, 21.19047
0xDDDD, 1730293363, 2922275, 0030, 29.04761, 1.22249, 1.33451, 0.06769, 2.50220, , 3.07033, 3.20491, 0.00000, 3.05099, 3.00828, 2.70205, 2.55619, 25.43750, 25.43750, 25.68750, 25.43750, 21.19047
0xDDDD, 1730293363, 3022276, 0031, 29.04761, 1.22249, 1.33531, 0.07495, 2.50139, , 3.03568, 3.21297, 0.00000, 3.05179, 3.00828, 2.70044, 2.54249, 25.43750, 25.43750, 25.68750, 25.43750, 21.19047
0xDDDD, 1730293363, 3122267, 0032, 29.45053, 1.22249, 1.33451, 0.08784, 2.50220, , 3.06549, 3.20249, 0.00000, 3.05099, 3.00828, 2.70044, 2.56344, 25.43750, 25.43750, 25.62500, 25.43750, 21.36955
