date, time, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon
24-07-02, T16:25:36.10376Z, 0xCCCC, 0158, 1.21604, 0.61568, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 2.40227, 3.30000, 0.03223, 0.39971, 0.10234, 2.46110, 0.61810, 0.00886, 1.10322, 0.04271, 0.00806
24-07-02, T16:25:37.44869Z, 0xCCCC, 0159, 1.21363, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.52711, 3.30000, 0.04916, 0.39568, 0.10154, 2.46110, 0.61810, 0.00725, 0.93480, 0.03465, 0.00967
24-07-02, T16:25:37.13768Z, 0xCCCC, 0160, 1.21524, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 2.36601, 3.30000, 0.04271, 0.39648, 0.09832, 2.46513, 0.61648, 0.01048, 1.21282, 0.04755, 0.01048
24-07-02, T16:25:37.48257Z, 0xCCCC, 0161, 1.21524, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.94930, 3.27421, 0.05399, 0.39568, 0.09590, 2.44256, 0.61648, 0.00725, 0.76718, 0.03949, 0.00806
24-07-02, T16:25:37.200Z, 0xCCCC, 0162, 1.21363, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.30000, 0.04029, 0.39890, 0.10234, 2.45304, 0.61729, 0.00725, 0.72769, 0.03949, 0.00725
24-07-02, T16:25:37.34668Z, 0xCCCC, 0163, 1.21604, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.30000, 0.03143, 0.38037, 0.10879, 2.48044, 0.62051, 0.00725, 0.68337, 0.04271, 0.00886
24-07-02, T16:25:37.3592Z, 0xCCCC, 0164, 1.21604, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.64960, 3.27341, 0.02095, 0.37875, 0.09348, 2.45788, 0.61890, 0.01048, 1.06454, 0.03546, 0.01128
24-07-02, T16:25:37.38058Z, 0xCCCC, 0165, 1.21524, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.30000, 0.04593, 0.39407, 0.10154, 2.47238, 0.61729, 0.00806, 0.70835, 0.03143, 0.01048
24-07-02, T16:25:37.7012Z, 0xCCCC, 0166, 1.21524, 0.61487, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.64960, 3.28791, 0.03707, 0.38601, 0.10315, 2.45707, 0.61568, 0.00645, 0.92190, 0.03062, 0.01048
24-07-02, T16:25:37.41448Z, 0xCCCC, 0167, 1.21604, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.12015, 3.30000, 0.01853, 0.39810, 0.09993, 2.46916, 0.61810, 0.00886, 0.95253, 0.03949, 0.01048
24-07-02, T16:25:37.10388Z, 0xCCCC, 0168, 1.21524, 0.61568, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.80513, 3.29194, 0.04432, 0.37795, 0.10315, 2.46029, 0.61890, 0.00725, 0.91223, 0.03788, 0.00967
24-07-02, T16:25:38.13798Z, 0xCCCC, 0170, 1.21524, 0.61487, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.87839, 3.27824, 0.03707, 0.37311, 0.10476, 2.45626, 0.61890, 0.01048, 0.69143, 0.04674, 0.01048
24-07-02, T16:25:38.48234Z, 0xCCCC, 0171, 1.21524, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.79538, 3.28308, 0.04110, 0.40051, 0.09993, 2.46996, 0.61810, 0.00806, 0.50608, 0.04271, 0.00967
24-07-02, T16:25:38.212Z, 0xCCCC, 0172, 1.21524, 0.61487, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.28308, 0.02256, 0.39971, 0.09670, 2.45626, 0.61729, 0.01209, 0.81231, 0.03465, 0.00967
24-07-02, T16:25:38.34664Z, 0xCCCC, 0173, 1.21604, 0.61487, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.79538, 3.27582, 0.02579, 0.37875, 0.09832, 2.45062, 0.61971, 0.00725, 0.62535, 0.03546, 0.00725
24-07-02, T16:25:38.3604Z, 0xCCCC, 0174, 1.21524, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.89773, 3.30000, 0.02256, 0.39648, 0.10396, 2.47480, 0.61729, 0.01209, 0.60359, 0.03465, 0.01128
24-07-02, T16:25:38.38057Z, 0xCCCC, 0175, 1.21524, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.29919, 0.03546, 0.39648, 0.11040, 2.45385, 0.61729, 0.00725, 0.88725, 0.04190, 0.01048
24-07-02, T16:25:38.6994Z, 0xCCCC, 0176, 1.21604, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.98718, 3.27582, 0.02418, 0.36989, 0.09832, 2.45788, 0.61890, 0.01209, 0.71802, 0.02659, 0.00886
24-07-02, T16:25:38.41460Z, 0xCCCC, 0177, 1.21524, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 2.38696, 3.30000, 0.03385, 0.37311, 0.10879, 2.47319, 0.61971, 0.00967, 0.77604, 0.04432, 0.00967
24-07-02, T16:25:38.10376Z, 0xCCCC, 0178, 1.21363, 0.61568, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.28227, 0.04916, 0.39890, 0.11363, 2.45465, 0.61810, 0.01128, 0.59473, 0.03949, 0.00725
24-07-02, T16:25:38.44852Z, 0xCCCC, 0179, 1.21604, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.83971, 3.29839, 0.04835, 0.36828, 0.10476, 2.46432, 0.61971, 0.00806, 0.60520, 0.03385, 0.00725
24-07-02, T16:25:39.13768Z, 0xCCCC, 0180, 1.21443, 0.61407, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.30000, 0.04271, 0.39971, 0.10315, 2.46593, 0.61810, 0.00806, 0.79216, 0.03949, 0.00806
24-07-02, T16:25:39.48248Z, 0xCCCC, 0181, 1.21524, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 2.35956, 3.28066, 0.03949, 0.37311, 0.09267, 2.45949, 0.61971, 0.00806, 1.28454, 0.03788, 0.01048
24-07-02, T16:25:39.200Z, 0xCCCC, 0182, 1.21524, 0.61326, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 1.65040, 3.30000, 0.04916, 0.39810, 0.10315, 2.46432, 0.61810, 0.00967, 0.83084, 0.03062, 0.00725
24-07-02, T16:25:39.34677Z, 0xCCCC, 0183, 1.21443, 0.61487, 3968.12000, 3968.12000, 3968.12000, 3968.12000, 0.93963, 3.30000, 0.02095, 0.40051, 0.11040, 2.46593, 0.61729, 0.00806, 0.86227, 0.02740, 0.01128
