sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD,  946684846, 7925970, 0080, 30.25642, 1.22249, 1.33451, 0.06447, 2.50220, 1.17414, 3.07678, 3.20974, 0.00000, 3.05179, 3.00828, 2.70044, 2.56425, 26.43750, 26.43750, 26.62500, 26.56250, 24.59299
0xDDDD,  946684846, 8026109, 0081, 30.25642, 1.22249, 1.33370, 0.08139, 2.50220, 1.17897, 3.05260, 3.20652, 0.00000, 3.04696, 3.00828, 2.70125, 2.56103, 26.43750, 26.43750, 26.68750, 26.56250, 24.59299
0xDDDD,  946684846, 8326077, 0084, 30.65935, 1.22249, 1.33451, 0.07817, 2.50300, 1.18703, 3.05985, 3.21538, 0.00000, 3.04857, 3.00989, 2.70044, 2.56344, 26.43750, 26.37500, 26.62500, 26.56250, 24.41391
0xDDDD,  946684846, 8425954, 0085, 30.25642, 1.22330, 1.33451, 0.07495, 2.50139, 1.17011, 3.01392, 3.21136, 0.00000, 3.05099, 3.00908, 2.70205, 2.56183, 26.43750, 26.37500, 26.62500, 26.56250, 24.59299
0xDDDD,  946684846, 8626068, 0087, 30.65935, 1.22249, 1.34579, 0.07978, 2.50220, 1.17575, 3.04938, 3.21619, 0.00000, 3.05179, 3.00908, 2.70044, 2.56103, 26.43750, 26.43750, 26.68750, 26.56250, 24.77207
0xDDDD,  946684846, 8725968, 0088, 30.65935, 1.22249, 1.33612, 0.07736, 2.50220, 1.17817, 3.02359, 3.21216, 0.00000, 3.05179, 3.00828, 2.70205, 2.56103, 26.43750, 26.43750, 26.68750, 26.56250, 24.59299
0xDDDD,  946684847, 8926079, 0090, 30.65935, 1.22249, 1.33451, 0.07092, 2.50300, 1.18381, 3.05502, 3.20571, 0.00000, 3.05260, 3.00828, 2.70044, 2.55297, 26.43750, 26.43750, 26.68750, 26.56250, 24.59299
0xDDDD,  946684847, 9025954, 0091, 30.65935, 1.22249, 1.33531, 0.06447, 2.50300, 1.18623, 3.03084, 3.20168, 0.00000, 3.04857, 3.00828, 2.70044, 2.55941, 26.43750, 26.37500, 26.62500, 26.56250, 24.77207
0xDDDD,  946684847, 9226102, 0093, 30.65935, 1.22249, 1.33531, 0.07253, 2.50300, 1.19026, 3.03810, 3.20813, 0.00000, 3.04938, 3.00828, 2.70125, 2.56022, 26.43750, 26.43750, 26.68750, 26.56250, 24.77207
0xDDDD,  946684847, 9425957, 0095, 30.25642, 1.22249, 1.33531, 0.07897, 2.50300, 1.17333, 3.07275, 3.20249, 0.00000, 3.05018, 3.00828, 2.70125, 2.56103, 26.43750, 26.43750, 26.68750, 26.56250, 24.77207
0xDDDD,  946684847, 9526091, 0096, 30.25642, 1.22249, 1.33531, 0.07656, 2.50300, 1.17414, 3.05099, 3.21780, 0.00000, 3.04857, 3.00828, 2.70205, 2.54733, 26.43750, 26.43750, 26.68750, 26.56250, 24.59299
0xDDDD,  946684847, 9826107, 0099, 30.65935, 1.22249, 1.33451, 0.07253, 2.50220, 1.17817, 3.04051, 3.20168, 0.00000, 3.05018, 3.00828, 2.70205, 2.56103, 26.43750, 26.43750, 26.68750, 26.56250, 24.77207
0xDDDD,  946684848, 9925973, 0100, 30.65935, 1.22249, 1.33451, 0.06205, 2.50300, 1.17978, 3.01553, 3.21861, 0.00000, 3.05099, 3.00828, 2.70286, 2.55941, 26.43750, 26.37500, 26.68750, 26.56250, 24.95115
0xDDDD,  946684848, 10126091, 0102, 30.65935, 1.22330, 1.33612, 0.06608, 2.50220, 1.18623, 3.05018, 3.21136, 0.00000, 3.05099, 3.00828, 2.70044, 2.55216, 26.43750, 26.37500, 26.68750, 26.56250, 24.77207
0xDDDD,  946684848, 10225941, 0103, 30.65935, 1.22330, 1.33531, 0.07817, 2.50300, 1.18945, 3.02520, 3.20813, 0.00000, 3.05179, 3.00828, 2.70044, 2.56908, 26.43750, 26.43750, 26.68750, 26.56250, 24.95115
0xDDDD,  946684848, 10426116, 0105, 30.65935, 1.22249, 1.33531, 0.06366, 2.50300, 1.17333, 3.04051, 3.21458, 0.00000, 3.05099, 3.00908, 2.70044, 2.56022, 26.50000, 26.37500, 26.68750, 26.56250, 24.77207
0xDDDD,  946684848, 10525963, 0106, 30.65935, 1.22249, 1.33612, 0.07495, 2.50220, 1.17736, 3.01473, 3.21055, 0.00000, 3.04777, 3.00828, 2.70205, 2.56103, 26.50000, 26.37500, 26.68750, 26.56250, 24.77207
0xDDDD,  946684848, 10726089, 0108, 30.25642, 1.22249, 1.33531, 0.07092, 2.50220, 1.18300, 3.04696, 3.20491, 0.00000, 3.05260, 3.00828, 2.70125, 2.54571, 26.50000, 26.43750, 26.68750, 26.56250, 24.95115
0xDDDD,  946684849, 10925961, 0110, 30.65935, 1.22249, 1.33531, 0.06447, 2.50381, 1.19106, 3.08081, 3.21780, 0.00000, 3.05179, 3.00828, 2.70205, 2.56022, 26.50000, 26.43750, 26.68750, 26.56250, 24.95115
0xDDDD,  946684849, 11026094, 0111, 30.65935, 1.22249, 1.33531, 0.07817, 2.50220, 1.17172, 3.03407, 3.20733, 0.00000, 3.05179, 3.00828, 2.70205, 2.56344, 26.43750, 26.43750, 26.68750, 26.56250, 24.95115
0xDDDD,  946684849, 11326094, 0114, 30.25642, 1.22249, 1.33451, 0.07253, 2.50220, 1.17978, 3.04454, 3.21538, 0.00000, 3.05099, 3.00828, 2.70286, 2.64564, 26.43750, 26.43750, 26.75000, 26.56250, 24.95115
0xDDDD,  946684849, 11425957, 0115, 29.85349, 1.22249, 1.33531, 0.07575, 2.50220, 1.18300, 3.02037, 3.21297, 0.00000, 3.05099, 3.00828, 2.70125, 2.55861, 26.43750, 26.37500, 26.68750, 26.56250, 25.13023
0xDDDD,  946684849, 11626078, 0117, 30.65935, 1.22249, 1.33531, 0.06689, 2.50220, 1.18784, 3.03165, 3.20491, 0.00000, 3.04938, 3.00828, 2.70044, 2.56022, 26.43750, 26.43750, 26.68750, 26.56250, 25.13023
0xDDDD,  946684849, 11725978, 0118, 30.65935, 1.22249, 1.33451, 0.06447, 2.50220, 1.17092, 3.00747, 3.21297, 0.00000, 3.05260, 3.00828, 2.70125, 2.56264, 26.50000, 26.43750, 26.68750, 26.56250, 25.13023
0xDDDD,  946684850, 11926097, 0120, 30.65935, 1.22249, 1.33451, 0.07011, 2.50300, 1.17495, 3.04051, 3.20813, 0.00000, 3.05099, 3.00828, 2.70125, 2.55941, 26.50000, 26.43750, 26.68750, 26.56250, 25.13023
0xDDDD,  946684850, 12025952, 0121, 30.25642, 1.22249, 1.33531, 0.06527, 2.50220, 1.17897, 3.01553, 3.20330, 0.00000, 3.05099, 3.00828, 2.70044, 2.56183, 26.50000, 26.43750, 26.68750, 26.56250, 25.13023
0xDDDD,  946684850, 12226085, 0123, 30.65935, 1.22249, 1.33612, 0.06447, 2.50300, 1.18462, 3.02520, 3.21619, 0.00000, 3.05260, 3.00828, 2.70044, 2.56103, 26.50000, 26.43750, 26.75000, 26.56250, 25.13023
0xDDDD,  946684850, 12425963, 0125, 30.25642, 1.22249, 1.33531, 0.05560, 2.50300, 1.19429, 3.05421, 3.20168, 0.00000, 3.05179, 3.00828, 2.70205, 2.56344, 26.50000, 26.43750, 26.68750, 26.56250, 25.13023
0xDDDD,  946684850, 12526091, 0126, 30.65935, 1.22330, 1.33531, 0.07656, 2.50220, 1.17092, 3.02923, 3.21700, 0.00000, 3.05018, 3.00828, 2.69963, 2.56022, 26.50000, 26.43750, 26.68750, 26.56250, 25.13023
0xDDDD,  946684850, 12826092, 0129, 30.65935, 1.22330, 1.33451, 0.06930, 2.50220, 1.18139, 3.01311, 3.20733, 0.00000, 3.05179, 3.00828, 2.70125, 2.56022, 26.43750, 26.43750, 26.75000, 26.56250, 25.13023
0xDDDD,  946684851, 12925949, 0130, 30.25642, 1.22249, 1.33531, 0.07656, 2.50300, 1.18542, 3.07033, 3.20330, 0.00000, 3.05018, 3.00828, 2.70125, 2.56103, 26.43750, 26.43750, 26.75000, 26.56250, 25.30931
0xDDDD,  946684851, 13126085, 0132, 30.65935, 1.22249, 1.36513, 0.06689, 2.50220, 1.19026, 3.02117, 3.21216, 0.00000, 3.05099, 3.00828, 2.69883, 2.56103, 26.50000, 26.43750, 26.75000, 26.56250, 25.30931
0xDDDD,  946684851, 13225962, 0133, 30.65935, 1.22330, 1.33531, 0.06044, 2.50220, 1.17092, 3.08000, 3.20733, 0.00000, 3.05099, 3.00828, 2.70044, 2.56264, 26.50000, 26.43750, 26.75000, 26.62500, 25.30931
0xDDDD,  946684851, 13426071, 0135, 30.65935, 1.22249, 1.33531, 0.07897, 2.50220, 1.17253, 3.02278, 3.20168, 0.00081, 3.05018, 3.00828, 2.70125, 2.56264, 26.43750, 26.43750, 26.68750, 26.56250, 25.30931
0xDDDD,  946684851, 13525963, 0136, 30.65935, 1.22249, 1.33451, 0.06689, 2.50220, 1.17333, 3.05744, 3.21780, 0.00000, 3.05018, 3.00828, 2.70044, 2.56344, 26.43750, 26.43750, 26.68750, 26.56250, 25.30931
0xDDDD,  946684851, 13726101, 0138, 30.65935, 1.22249, 1.33531, 0.06769, 2.50220, 1.17817, 3.00425, 3.20410, 0.00000, 3.04938, 3.00828, 2.70044, 2.56264, 26.43750, 26.43750, 26.68750, 26.56250, 25.30931
0xDDDD,  946684852, 13925961, 0140, 30.65935, 1.22249, 1.33451, 0.07092, 2.50220, 1.18059, 3.03729, 3.19927, 0.00000, 3.04938, 3.00828, 2.70044, 2.52960, 26.50000, 26.43750, 26.68750, 26.56250, 25.13023
0xDDDD,  946684852, 14026086, 0141, 30.65935, 1.22249, 1.33451, 0.07172, 2.50220, 1.18139, 3.01231, 3.21619, 0.00000, 3.05179, 3.00828, 2.70044, 2.55941, 26.50000, 26.37500, 26.68750, 26.56250, 25.30931
0xDDDD,  946684852, 14326099, 0144, 30.65935, 1.22249, 1.33451, 0.07092, 2.50139, 1.18703, 3.07839, 3.19927, 0.00000, 3.05018, 3.00828, 2.70044, 2.56103, 26.50000, 26.43750, 26.68750, 26.56250, 25.30931
0xDDDD,  946684852, 14425954, 0145, 30.25642, 1.22249, 1.34015, 0.06527, 2.50220, 1.19026, 3.04938, 3.21619, 0.00000, 3.05179, 3.00828, 2.70044, 2.56183, 26.43750, 26.43750, 26.68750, 26.56250, 25.30931
0xDDDD,  946684852, 14626086, 0147, 30.65935, 1.22249, 1.33531, 0.06850, 2.50220, 1.17092, 3.07597, 3.21055, 0.00000, 3.05099, 3.00828, 2.70044, 2.55700, 26.43750, 26.43750, 26.75000, 26.56250, 25.30931
0xDDDD,  946684852, 14725946, 0148, 30.65935, 1.22249, 1.33612, 0.06205, 2.50220, 1.17333, 3.05018, 3.20733, 0.00000, 3.05099, 3.00828, 2.70044, 2.55941, 26.50000, 26.43750, 26.75000, 26.56250, 25.30931
0xDDDD,  946684853, 14926075, 0150, 30.65935, 1.22249, 1.36110, 0.09267, 2.50220, 1.17495, 3.05744, 3.21377, 0.00000, 3.05099, 3.00908, 2.70125, 2.56183, 26.43750, 26.43750, 26.75000, 26.56250, 25.30931
0xDDDD,  946684853, 15025975, 0151, 30.65935, 1.22249, 1.33531, 0.07817, 2.50220, 1.17978, 3.02923, 3.21136, 0.00000, 3.04857, 3.00828, 2.70125, 2.55941, 26.43750, 26.43750, 26.68750, 26.56250, 25.30931
0xDDDD,  946684853, 15226081, 0153, 30.25642, 1.22249, 1.33531, 0.07817, 2.50300, 1.18623, 3.05018, 3.20491, 0.00000, 3.04454, 3.00828, 2.70044, 2.56183, 26.50000, 26.43750, 26.75000, 26.56250, 25.48839
