sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD, 1729166015, 5165266, 0052, 28.24175, 1.22249, 1.33451, 0.04593, 2.50300, 1.17736, 3.02278, 3.19040, 0.00000, 3.05179, 3.00828, 2.70044, 2.56022, 24.62500, 24.50000, 24.75000, 24.56250, 21.19047
0xDDDD, 1729166015, 5265261, 0053, 28.24175, 1.22249, 1.33612, 0.05319, 2.50220, 1.18542, 3.06952, 3.20168, 0.00000, 3.04938, 3.00828, 2.70044, 2.55941, 24.62500, 24.50000, 24.81250, 24.56250, 21.36955
0xDDDD, 1729166015, 5365261, 0054, 28.24175, 1.22249, 1.32806, 0.04352, 2.50220, 1.18462, 3.03810, 3.21216, 0.00000, 3.05260, 3.00747, 2.70044, 2.55861, 24.62500, 24.50000, 24.81250, 24.56250, 21.19047
0xDDDD, 1729166015, 5465261, 0055, 28.24175, 1.22249, 1.33531, 0.03788, 2.50220, 1.19106, 3.07919, 3.20007, 0.00000, 3.05018, 3.00828, 2.69963, 2.55136, 24.62500, 24.50000, 24.81250, 24.56250, 21.36955
0xDDDD, 1729166015, 5565259, 0056, 28.64468, 1.22249, 1.33531, 0.04513, 2.50300, 1.19670, 3.05099, 3.21216, 0.00000, 3.05260, 3.00828, 2.70044, 2.55619, 24.62500, 24.50000, 24.81250, 24.56250, 21.36955
0xDDDD, 1729166015, 5665260, 0057, 28.24175, 1.22249, 1.33451, 0.04110, 2.50220, 1.17575, 3.06066, 3.19927, 0.00000, 3.05179, 3.00828, 2.70044, 2.56022, 24.62500, 24.50000, 24.81250, 24.62500, 21.54863
0xDDDD, 1729166015, 5765265, 0058, 28.64468, 1.22249, 1.33451, 0.04352, 2.50300, 1.18059, 3.03165, 3.18718, 0.00000, 3.05179, 3.00828, 2.70044, 2.56022, 24.62500, 24.50000, 24.81250, 24.62500, 21.54863
0xDDDD, 1729166015, 5865269, 0059, 28.24175, 1.22249, 1.33451, 0.04755, 2.50139, 1.18542, 3.08161, 3.19201, 0.00000, 3.05099, 3.00828, 2.70125, 2.55538, 24.62500, 24.50000, 24.81250, 24.62500, 21.54863
0xDDDD, 1729166016, 5965264, 0060, 28.24175, 1.22249, 1.33612, 0.03626, 2.50300, 1.19187, 3.04696, 3.20168, 0.00000, 3.05018, 3.00828, 2.69883, 2.56344, 24.62500, 24.50000, 24.81250, 24.56250, 21.54863
0xDDDD, 1729166016, 6065262, 0061, 28.24175, 1.22249, 1.33531, 0.03868, 2.50220, 1.19509, 3.01553, 3.18960, 0.00000, 3.05018, 3.00828, 2.70044, 2.55136, 24.62500, 24.50000, 24.81250, 24.56250, 21.54863
0xDDDD, 1729166016, 6165275, 0062, 28.24175, 1.22249, 1.33531, 0.03707, 2.50220, 1.19267, 3.05824, 3.20168, 0.00000, 3.05018, 3.00828, 2.70044, 2.60615, 24.62500, 24.50000, 24.75000, 24.56250, 21.54863
0xDDDD, 1729166016, 6265265, 0063, 28.24175, 1.22249, 1.33451, 0.03868, 2.50220, 1.19670, 3.02842, 3.19040, 0.00000, 3.05099, 3.00828, 2.70044, 2.55861, 24.56250, 24.50000, 24.75000, 24.56250, 21.54863
0xDDDD, 1729166016, 6365259, 0064, 28.24175, 1.22249, 1.33531, 0.04190, 2.50220, 1.17575, 3.03245, 3.20168, 0.00000, 3.05341, 3.00828, 2.69963, 2.56103, 24.56250, 24.50000, 24.75000, 24.56250, 21.72771
0xDDDD, 1729166016, 6465264, 0065, 28.24175, 1.22249, 1.33531, 0.04755, 2.50220, 1.18059, 3.07919, 3.20571, 0.00000, 3.05018, 3.00828, 2.69963, 2.55780, 24.62500, 24.50000, 24.81250, 24.56250, 21.72771
0xDDDD, 1729166016, 6565269, 0066, 28.24175, 1.22249, 1.33612, 0.03626, 2.50220, 1.18462, 3.04777, 3.19604, 0.00000, 3.05260, 3.00747, 2.70044, 2.56022, 24.62500, 24.50000, 24.81250, 24.56250, 21.54863
0xDDDD, 1729166016, 6665271, 0067, 28.24175, 1.22249, 1.33451, 0.04110, 2.50220, 1.18864, 3.01714, 3.20813, 0.00081, 3.04938, 3.00828, 2.70044, 2.55941, 24.62500, 24.50000, 24.81250, 24.56250, 21.72771
0xDDDD, 1729166016, 6765268, 0068, 28.24175, 1.22249, 1.33531, 0.04110, 2.50220, 1.19348, 3.06388, 3.19685, 0.00000, 3.05179, 3.00828, 2.70125, 2.55458, 24.62500, 24.50000, 24.81250, 24.56250, 21.72771
0xDDDD, 1729166016, 6865264, 0069, 28.64468, 1.22249, 1.33531, 0.03788, 2.50220, 1.19187, 3.03165, 3.20894, 0.00000, 3.05179, 3.00828, 2.69963, 2.55941, 24.62500, 24.50000, 24.81250, 24.56250, 21.90678
0xDDDD, 1729166017, 6965250, 0070, 28.24175, 1.22249, 1.33451, 0.04110, 2.50220, 1.19590, 3.03810, 3.19685, 0.00000, 3.04857, 3.00828, 2.70044, 2.56183, 24.62500, 24.50000, 24.81250, 24.56250, 21.72771
0xDDDD, 1729166017, 7065276, 0071, 28.24175, 1.22249, 1.33531, 0.04190, 2.50300, 1.17575, 3.00828, 3.20168, 0.00000, 3.05179, 3.00828, 2.70125, 2.55941, 24.62500, 24.50000, 24.81250, 24.56250, 21.90678
0xDDDD, 1729166017, 7165271, 0072, 27.83883, 1.22249, 1.33612, 0.03707, 2.50300, 1.17897, 3.05260, 3.18960, 0.00000, 3.04857, 3.00828, 2.70125, 2.56264, 24.62500, 24.50000, 24.81250, 24.56250, 21.72771
0xDDDD, 1729166017, 7265262, 0073, 28.64468, 1.22249, 1.33531, 0.03707, 2.50220, 1.18300, 3.02278, 3.20249, 0.00000, 3.05341, 3.00828, 2.70044, 2.56103, 24.62500, 24.50000, 24.81250, 24.56250, 21.90678
0xDDDD, 1729166017, 7365254, 0074, 28.24175, 1.22249, 1.33531, 0.03949, 2.50220, 1.18623, 3.06952, 3.19121, 0.00000, 3.05179, 3.00828, 2.70044, 2.56264, 24.62500, 24.43750, 24.81250, 24.56250, 21.72771
0xDDDD, 1729166017, 7465278, 0075, 28.64468, 1.22249, 1.33531, 0.03546, 2.50381, 1.19026, 3.03568, 3.20410, 0.00000, 3.05179, 3.00828, 2.69963, 2.54007, 24.56250, 24.43750, 24.81250, 24.56250, 21.90678
0xDDDD, 1729166017, 7565268, 0076, 28.24175, 1.22249, 1.33531, 0.04110, 2.50220, 1.19267, 3.04293, 3.19201, 0.00000, 3.05179, 3.00828, 2.70044, 2.55941, 24.56250, 24.43750, 24.81250, 24.56250, 21.90678
0xDDDD, 1729166017, 7665275, 0077, 28.64468, 1.22168, 1.33451, 0.04835, 2.50220, 1.19106, 3.00989, 3.19766, 0.00000, 3.05018, 3.00828, 2.70044, 2.55619, 24.62500, 24.43750, 24.81250, 24.56250, 22.08586
0xDDDD, 1729166017, 7765262, 0078, 28.64468, 1.22168, 1.33612, 0.04432, 2.50220, 1.19348, 3.05421, 3.20813, 0.00000, 3.04938, 3.00828, 2.69883, 2.56183, 24.62500, 24.43750, 24.81250, 24.56250, 21.90678
0xDDDD, 1729166017, 7865249, 0079, 28.24175, 1.22249, 1.35949, 0.04674, 2.50220, 1.19590, 3.02440, 3.19685, 0.00000, 3.05260, 3.00828, 2.70044, 2.56022, 24.62500, 24.50000, 24.81250, 24.62500, 22.08586
