date, time, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, tmp1
24-07-30, 12:02:43.423300, 0xCCCC, 0000, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04513, 2.49736, 1.19348, 3.03084, 3.20571, 0.00000, 3.04696, 3.00425, 2.69641, 2.55297, 18.86242
24-07-30, 12:02:43.433300, 0xCCCC, 0001, 1.22007, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03626, 2.49656, 1.18945, 3.00908, 3.20733, 0.00000, 3.04696, 3.00425, 2.69722, 2.55538, 18.86242
24-07-30, 12:02:43.443400, 0xCCCC, 0002, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04513, 2.49736, 1.17817, 3.06791, 3.18476, 0.00000, 3.04777, 3.00425, 2.69641, 2.55780, 18.86242
24-07-30, 12:02:43.453400, 0xCCCC, 0003, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03788, 2.49736, 1.17495, 3.03648, 3.19040, 0.00000, 3.04696, 3.00425, 2.69802, 2.55297, 19.57876
24-07-30, 12:02:43.463800, 0xCCCC, 0004, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03788, 2.49736, 1.17414, 3.01473, 3.19121, 0.00000, 3.04615, 3.00425, 2.69722, 2.55538, 19.22060
24-07-30, 12:02:43.473300, 0xCCCC, 0005, 1.22007, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04352, 2.49736, 1.18864, 3.07275, 3.18879, 0.00000, 3.04615, 3.00425, 2.69641, 2.55458, 19.22060
24-07-30, 12:02:43.483400, 0xCCCC, 0006, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03707, 2.49736, 1.18945, 3.04938, 3.19604, 0.00000, 3.04535, 3.00425, 2.69802, 2.55377, 19.22060
24-07-30, 12:02:43.493300, 0xCCCC, 0007, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04110, 2.49736, 1.19187, 3.02520, 3.18879, 0.00000, 3.04696, 3.00425, 2.69802, 2.55700, 19.22060
24-07-30, 12:02:43.503300, 0xCCCC, 0008, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03546, 2.49736, 1.18945, 3.00425, 3.19443, 0.00000, 3.04696, 3.00425, 2.69802, 2.55297, 19.39968
24-07-30, 12:02:43.513800, 0xCCCC, 0009, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04513, 2.49736, 1.17333, 3.06227, 3.19524, 0.00000, 3.04615, 3.00425, 2.69802, 2.55700, 19.22060
24-07-30, 12:02:43.523400, 0xCCCC, 0010, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03546, 2.49736, 1.19832, 3.03084, 3.19443, 0.00000, 3.04696, 3.00505, 2.69722, 2.55216, 19.39968
24-07-30, 12:02:43.533300, 0xCCCC, 0011, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.03949, 2.49736, 1.18300, 3.00747, 3.19604, 0.00000, 3.04454, 3.00425, 2.69802, 2.55538, 19.22060
24-07-30, 12:02:43.543300, 0xCCCC, 0012, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04271, 2.49817, 1.17333, 3.07678, 3.18879, 0.00000, 3.04535, 3.00425, 2.69722, 2.55619, 19.39968
24-07-30, 12:02:43.553300, 0xCCCC, 0013, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04029, 2.49817, 1.19026, 3.04454, 3.19604, 0.00000, 3.04454, 3.00425, 2.69802, 2.55377, 19.57876
24-07-30, 12:02:43.563800, 0xCCCC, 0014, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04593, 2.49736, 1.19106, 3.02117, 3.19604, 0.00000, 3.04938, 3.00425, 2.69802, 2.55619, 19.75784
24-07-30, 12:02:43.573400, 0xCCCC, 0015, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33612, 0.03788, 2.49817, 1.17978, 3.00828, 3.19604, 0.00000, 3.04454, 3.00505, 2.69802, 2.55297, 19.57876
24-07-30, 12:02:43.583400, 0xCCCC, 0016, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04593, 2.49736, 1.17978, 3.05663, 3.19685, 0.00000, 3.04535, 3.00505, 2.69722, 2.55861, 19.57876
24-07-30, 12:02:43.593300, 0xCCCC, 0017, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03949, 2.49736, 1.18300, 3.03326, 3.19685, 0.00000, 3.04454, 3.00586, 2.69802, 2.55136, 19.57876
24-07-30, 12:02:43.603400, 0xCCCC, 0018, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04593, 2.49817, 1.18139, 3.00989, 3.19685, 0.00000, 3.04535, 3.00505, 2.69722, 2.55619, 19.57876
24-07-30, 12:02:43.613800, 0xCCCC, 0019, 1.22168, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03788, 2.49817, 1.19187, 3.06872, 3.19766, 0.00000, 3.04696, 3.00425, 2.69722, 2.55700, 19.57876
24-07-30, 12:02:43.623400, 0xCCCC, 0020, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04593, 2.49817, 1.18784, 3.04535, 3.19846, 0.00000, 3.04615, 3.00425, 2.69722, 2.55216, 19.75784
24-07-30, 12:02:43.633300, 0xCCCC, 0021, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03626, 2.49817, 1.17495, 3.02278, 3.19927, 0.00000, 3.04293, 3.00505, 2.69802, 2.55780, 19.75784
24-07-30, 12:02:43.643400, 0xCCCC, 0022, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04513, 2.49817, 1.18945, 3.00103, 3.19927, 0.00000, 3.04777, 3.00505, 2.69883, 2.55619, 19.75784
24-07-30, 12:02:43.653300, 0xCCCC, 0023, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33612, 0.03868, 2.49817, 1.18300, 3.05985, 3.19927, 0.00000, 3.04696, 3.00505, 2.69883, 2.55619, 19.75784
24-07-30, 12:02:43.663800, 0xCCCC, 0024, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04029, 2.49817, 1.18300, 3.03729, 3.19846, 0.00000, 3.04696, 3.00505, 2.69722, 2.55458, 19.93692
24-07-30, 12:02:43.673600, 0xCCCC, 0025, 1.22168, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04593, 2.49817, 1.19832, 3.01311, 3.20007, 0.00000, 3.04696, 3.00425, 2.69722, 2.55377, 19.93692
24-07-30, 12:02:43.683400, 0xCCCC, 0026, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04190, 2.49817, 1.20154, 3.07194, 3.20007, 0.00000, 3.04777, 3.00505, 2.69802, 2.55377, 19.93692
24-07-30, 12:02:43.693300, 0xCCCC, 0027, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03546, 2.49897, 1.17495, 3.04777, 3.19927, 0.00000, 3.04696, 3.00425, 2.69641, 2.55780, 19.22060
24-07-30, 12:02:43.703300, 0xCCCC, 0028, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04029, 2.49817, 1.17736, 3.02440, 3.18476, 0.00000, 3.04132, 3.00505, 2.69802, 2.55538, 19.93692
24-07-30, 12:02:43.713800, 0xCCCC, 0029, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04029, 2.49897, 1.18220, 3.00183, 3.18476, 0.00000, 3.04535, 3.00505, 2.69963, 2.55700, 19.93692
24-07-30, 12:02:43.723400, 0xCCCC, 0030, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04190, 2.49817, 1.17978, 3.05905, 3.18557, 0.00000, 3.04212, 3.00505, 2.69883, 2.55619, 19.93692
24-07-30, 12:02:43.733300, 0xCCCC, 0031, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03465, 2.49817, 1.19187, 3.03729, 3.18718, 0.00000, 3.04857, 3.00505, 2.69802, 2.55458, 19.93692
24-07-30, 12:02:43.743300, 0xCCCC, 0032, 1.22168, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03788, 2.49817, 1.17978, 3.01473, 3.20410, 0.00000, 3.04777, 3.00505, 2.69883, 2.55458, 20.11600
24-07-30, 12:02:43.753300, 0xCCCC, 0033, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03788, 2.49817, 1.17333, 3.06469, 3.18799, 0.00000, 3.04615, 3.00505, 2.69883, 2.55297, 20.11600
24-07-30, 12:02:43.763800, 0xCCCC, 0034, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04674, 2.49817, 1.17414, 3.04212, 3.18799, 0.00000, 3.04857, 3.00505, 2.69802, 2.55700, 20.29507
24-07-30, 12:02:43.773300, 0xCCCC, 0035, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04432, 2.49897, 1.18784, 3.02037, 3.18799, 0.00000, 3.04857, 3.00505, 2.69883, 2.55780, 20.11600
24-07-30, 12:02:43.783400, 0xCCCC, 0036, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04190, 2.49897, 1.18784, 3.07839, 3.18879, 0.00000, 3.04696, 3.00586, 2.69883, 2.55538, 20.29507
24-07-30, 12:02:43.793400, 0xCCCC, 0037, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04029, 2.49817, 1.19026, 3.06227, 3.18960, 0.00000, 3.04777, 3.00505, 2.69802, 2.55780, 19.57876
24-07-30, 12:02:43.803400, 0xCCCC, 0038, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04029, 2.49817, 1.18864, 3.03165, 3.19121, 0.00000, 3.04777, 3.00505, 2.69802, 2.55619, 20.29507
24-07-30, 12:02:43.813800, 0xCCCC, 0039, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03707, 2.49817, 1.17333, 3.00747, 3.19201, 0.00000, 3.04615, 3.00505, 2.69883, 2.55458, 20.29507
24-07-30, 12:02:43.823300, 0xCCCC, 0040, 1.22168, 0.61971, 26.25000, 26.60000, 26.50000, 26.62000, 1.33451, 0.04029, 2.49897, 1.19509, 3.06711, 3.19201, 0.00000, 3.04454, 3.00505, 2.69883, 2.55377, 20.29507
24-07-30, 12:02:43.833300, 0xCCCC, 0041, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.04029, 2.49897, 1.18220, 3.04374, 3.19443, 0.00000, 3.04696, 3.00505, 2.69963, 2.55619, 20.11600
24-07-30, 12:02:43.843400, 0xCCCC, 0042, 1.22088, 0.61810, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03868, 2.49897, 1.19670, 3.02198, 3.19524, 0.00000, 3.04777, 3.00505, 2.69802, 2.55619, 20.29507
24-07-30, 12:02:43.853300, 0xCCCC, 0043, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03465, 2.49897, 1.19026, 3.01070, 3.19604, 0.00000, 3.04696, 3.00505, 2.69883, 2.55377, 20.47415
24-07-30, 12:02:43.863800, 0xCCCC, 0044, 1.22088, 0.61890, 26.25000, 26.60000, 26.50000, 26.62000, 1.33531, 0.03546, 2.49817, 1.18945, 3.05744, 3.19685, 0.00000, 3.04938, 3.00505, 2.69802, 2.55941, 20.65323
