sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD,  946684879, 73219982, 0733, 29.85349, 26.40725, 0.02901, 0.06608, 2.50300, 29.91275, 1.47311, 3.20410, 0.00000, 18.98125, 0.02901, 0.00000, 0.00000, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684880, 73319974, 0734, 30.25642, 1.22249, 1.33451, 0.07736, 2.50220, 29.91275, 1.47311, 3.21538, 0.00000, 18.98125, 0.02901, 2.70125, 2.56183, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684880, 73420121, 0735, 30.25642, 19.00784, 0.02901, 0.06527, 2.50220, 29.91275, 1.47311, 3.20652, 0.00000, 18.98125, 0.02901, 0.00000, 0.00000, -2047.93750, 2.25000, -1392.06250, 114.25000, -179.55841
0xDDDD,  946684880, 73520108, 0736, 30.25642, 0.20630, 0.00000, 29.91275, 1.47311, 7.74513, 1.47311, 0.41260, 0.00322, 3.14608, 0.02901, 0.00000, 0.00000, 16.00000, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684880, 73620109, 0737, 30.65935, 26.40725, 0.02901, 0.07495, 2.50220, 29.91275, 1.47311, 3.20088, 0.00000, 18.98125, 0.02901, 2.69963, 0.00000, -2047.93750, 2.25000, -1392.06250, 114.25000, 4435.87549
0xDDDD,  946684880, 73720015, 0738, 29.85349, 1.22249, 0.02901, 0.06850, 2.50220, 29.91275, 1.47311, 3.21055, 0.00000, 18.98125, 0.02901, 2.70125, 2.53524, -2047.93750, 2.25000, -1392.06250, 114.25000, 1089.22473
0xDDDD,  946684880, 73819992, 0739, 30.25642, 26.40725, 0.02901, 0.06205, 2.50220, 29.91275, 1.47311, 3.20088, 0.00000, 18.98125, 0.02901, 2.70044, 2.54733, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684880, 73919984, 0740, 29.85349, 1.22249, 1.33451, 0.07172, 2.50220, 29.91275, 1.47311, 3.21136, 0.00000, 18.98125, 0.02901, 2.70044, 2.56264, -2047.93750, 2.25000, -1392.06250, 114.25000, -179.55841
0xDDDD,  946684880, 74020096, 0741, 30.25642, 1.22249, 0.02901, 0.07897, 2.50220, 9.94755, 1.47311, 3.20168, 0.00322, 18.98125, 0.02901, 0.00000, 0.00000, -2047.93750, 2.25000, -1392.06250, 114.25000, -179.55841
0xDDDD,  946684880, 74120122, 0742, 29.85349, 1.22330, 0.02901, 0.07011, 2.50300, 29.91275, 1.47311, 3.20571, 0.00000, 18.98125, 0.02901, 0.20630, 0.00000, -2047.93750, -1022.87500, 240.00000, 2.00000, 5581.80908
0xDDDD,  946684880, 74220110, 0743, 30.25642, 26.40725, 0.02901, 0.06930, 2.50220, 29.91275, 1.47311, 3.21619, 0.00000, 18.98125, 0.02901, 2.70125, 2.56264, 245.12500, 0.00000, -636.68750, 2.25000, -179.55841
0xDDDD,  946684881, 74319991, 0744, 29.85349, 1.22249, 0.02901, 0.06447, 2.50300, 29.91275, 1.47311, 3.20733, 0.00000, 18.98125, 0.02901, 2.70044, 2.56103, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684881, 74419992, 0745, 29.85349, 1.22249, 1.33451, 0.06689, 2.50220, 29.91275, 1.47311, 3.21780, 0.00000, 18.98125, 0.02901, 2.70125, 2.52073, -2047.93750, 2.25000, -1392.06250, 114.25000, -179.55841
