sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD,  946684927, 4397131, 0044, 31.86813, 1.22249, 0.02901, 0.05883, 2.50220, 1.17092, 3.09209, 3.20733, 0.00000, 3.05018, 3.00828, 2.70125, 2.56505, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684927, 4497130, 0045, 32.27106, 1.22249, 0.02901, 0.06447, 2.50300, 1.17978, 3.03407, 3.20088, 0.00000, 3.05099, 3.00828, 2.70205, 2.56103, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684927, 4597117, 0046, 31.86813, 1.22249, 1.33531, 0.07253, 2.50220, 1.19026, 3.06872, 3.21458, 0.00000, 3.04938, 3.00828, 0.00000, 0.00000, 129.00000, 20.00000, 16.00000, -1022.87500, 447.22223
0xDDDD,  946684927, 4697135, 0047, 31.86813, 1.22330, 0.02901, 0.07414, 2.50300, 1.17495, 3.01795, 3.20733, 0.00000, 3.05179, 3.00828, 2.70125, 2.56505, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684927, 4797110, 0048, 32.27106, 1.22330, 0.02901, 0.06608, 2.50220, 1.18623, 3.04938, 3.20007, 0.00000, 3.05179, 3.00908, 2.70205, 2.56344, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684927, 4897120, 0049, 32.27106, 1.22249, 0.02901, 0.06608, 2.50300, 1.17333, 3.05260, 3.21458, 0.00000, 3.04696, 3.00828, 2.70125, 2.56022, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684927, 4997131, 0050, 32.27106, 1.22249, 1.33451, 0.07495, 2.50300, 1.17978, 3.00505, 3.19927, 0.00000, 3.05018, 3.00828, 2.70125, 2.56103, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5097124, 0051, 31.86813, 1.22330, 0.02901, 0.06527, 2.50220, 1.18945, 3.03648, 3.21216, 0.00000, 3.05018, 3.00828, 2.70125, 2.56103, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5197114, 0052, 31.86813, 1.22249, 0.02901, 0.07817, 2.50300, 1.17414, 3.06630, 3.20652, 0.00000, 3.05099, 3.00828, 2.70044, 2.56103, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5297126, 0053, 32.27106, 1.22330, 0.02901, 0.06125, 2.50220, 1.18139, 3.01875, 3.20088, 0.00000, 3.05099, 3.00828, 2.70205, 2.58117, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5397125, 0054, 31.86813, 1.22249, 1.33531, 0.06447, 2.50220, 1.18703, 3.05018, 3.21538, 0.00000, 3.05260, 3.00828, 0.00000, 0.00000, 129.00000, 20.00000, 16.00000, -1022.87500, 447.22223
0xDDDD,  946684928, 5497119, 0055, 31.86813, 1.22330, 0.02901, 0.07575, 2.50220, 1.17172, 3.05421, 3.21055, 0.00000, 3.05260, 3.00828, 2.70125, 2.56344, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5597126, 0056, 32.27106, 1.22330, 0.02901, 0.07172, 2.50220, 1.17897, 3.00667, 3.20410, 0.00000, 3.05018, 3.00828, 2.70125, 2.56103, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5697026, 0057, 31.86813, 1.22330, 1.33612, 0.00000, 0.00000, 25.60462, 0.02901, 0.00000, 0.01289, 1.01619, 0.18051, 3.32418, 0.02901, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5797118, 0058, 32.27106, 1.22249, 1.33773, 0.07253, 2.50300, 1.17092, 3.06791, 3.20571, 0.00000, 3.04454, 3.00828, 2.70125, 2.55861, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
0xDDDD,  946684928, 5897125, 0059, 31.86813, 1.22249, 1.33612, 0.06608, 2.50300, 1.17897, 3.01714, 3.20088, 0.00000, 3.05018, 3.00828, 2.70125, 2.52799, 16.00000, 513.12500, 129.00000, 20.00000, 447.22223
