sync, unix, uptime, seq, vsense, vrefint, busvmon, busimon, 2v5mon, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon, temp1, temp2, temp3, temp4, tmp1
0xDDDD,  946684859, 56573094, 0566, 30.25642, 26.40725, 0.02901, 0.06769, 2.50220, 29.91275, 1.47311, 3.20491, 0.00000, 18.98125, 0.02901, 2.70205, 2.57150, -2047.93750, 2.25000, -1392.06250, 114.25000, 5581.80908
0xDDDD,  946684859, 56673079, 0567, 30.25642, 1.22168, 1.33451, 0.07575, 2.50220, 29.91275, 1.47311, 3.20652, 0.00000, 18.98125, 0.02901, 2.70044, 2.56183, -2047.93750, 2.25000, -636.68750, 114.25000, 2296.58325
0xDDDD,  946684859, 56773105, 0568, 30.25642, 1.22168, 1.33451, 0.06930, 2.50220, 29.91275, 1.47311, 3.20813, 0.00000, 44.60359, 0.02901, 0.20630, 0.00000, 16.00000, -1022.87500, 240.00000, 114.25000, -179.55841
0xDDDD,  946684859, 56873064, 0569, 29.85349, 43.76308, 0.02901, 0.06447, 2.50220, 29.91275, 1.47311, 3.20249, 0.00000, 44.60359, 0.02901, 0.20630, 0.00000, 962.18750, 2.25000, 240.00000, 114.25000, -179.55841
0xDDDD,  946684859, 56972991, 0570, 29.85349, 1.22330, 1.33451, 0.07495, 1.47311, 29.91275, 1.47311, 0.41260, 0.00000, 9.94755, 0.05158, 0.00000, 0.00000, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684859, 57072976, 0571, 30.25642, 26.40725, 0.02901, 0.07736, 2.50220, 29.91275, 1.47311, 3.20571, 0.00000, 18.98125, 0.02901, 0.00000, 0.00000, -2047.93750, 2.25000, -1392.06250, 114.25000, -179.55841
0xDDDD,  946684859, 57172999, 0572, 30.25642, 19.00784, 0.02901, 0.06366, 2.50139, 29.91275, 1.47311, 3.20652, 0.00000, 18.98125, 0.02901, 0.00000, 0.00000, -2047.93750, 2.25000, -1392.06250, 114.25000, -179.55841
0xDDDD,  946684859, 57272991, 0573, 30.25642, 26.40725, 0.02901, 0.07333, 2.50220, 29.91275, 1.47311, 3.20894, 0.00000, 18.98125, 0.02901, 2.70125, 2.56264, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684859, 57373017, 0574, 30.25642, 26.40725, 0.02901, 0.07092, 2.50220, 29.91275, 1.47311, 3.21055, 0.00000, 18.98125, 0.02901, 2.70044, 2.55941, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
0xDDDD,  946684860, 57473117, 0575, 30.25642, 1.22249, 1.33451, 0.05883, 2.50220, 29.91275, 1.47311, 3.20491, 0.00000, 18.98125, 0.02901, 2.70125, 2.56022, -2047.93750, 2.25000, -1392.06250, 114.25000, 2296.58325
