sync, uptime, seq, adc
0xFFFF, 5187201, 0083, 3.2063020
0xFFFF, 5249653, 0084, 3.2064546
0xFFFF, 5312202, 0085, 3.2063020
0xFFFF, 5374654, 0086, 3.2061494
0xFFFF, 5437199, 0087, 3.2063783
0xFFFF, 5499654, 0088, 3.2063783
0xFFFF, 5562202, 0089, 3.2063020
0xFFFF, 5624661, 0090, 3.2066072
0xFFFF, 5687200, 0091, 3.2062257
0xFFFF, 5749664, 0092, 3.2063783
0xFFFF, 5812206, 0093, 3.2062257
0xFFFF, 5874654, 0094, 3.2062257
0xFFFF, 5937202, 0095, 3.2063783
0xFFFF, 5999654, 0096, 3.2064546
0xFFFF, 6062199, 0097, 3.2064546
0xFFFF, 6124653, 0098, 3.2062257
0xFFFF, 6187203, 0099, 3.2062257
0xFFFF, 6249662, 0100, 3.2063783
0xFFFF, 6312200, 0101, 3.2065309
0xFFFF, 6374666, 0102, 3.2063020
0xFFFF, 6437210, 0103, 3.2062257
0xFFFF, 6499662, 0104, 3.2063783
0xFFFF, 6562202, 0105, 3.2063020
0xFFFF, 6624653, 0106, 3.2062257
0xFFFF, 6687201, 0107, 3.2061494
0xFFFF, 6749653, 0108, 3.2064546
0xFFFF, 6812202, 0109, 3.2061494
0xFFFF, 6874654, 0110, 3.2063783
0xFFFF, 6937200, 0111, 3.2065309
0xFFFF, 6999665, 0112, 3.2066835
0xFFFF, 7062219, 0113, 3.2061494
0xFFFF, 7124661, 0114, 3.2063783
0xFFFF, 7187208, 0115, 3.2063020
0xFFFF, 7249655, 0116, 3.2066072
0xFFFF, 7312200, 0117, 3.2063020
0xFFFF, 7374654, 0118, 3.2062257
0xFFFF, 7437203, 0119, 3.2063020
0xFFFF, 7499654, 0120, 3.2062257
0xFFFF, 7562199, 0121, 3.2062257
0xFFFF, 7624664, 0122, 3.2061494
0xFFFF, 7687213, 0123, 3.2063783
0xFFFF, 7749662, 0124, 3.2060731
0xFFFF, 7812210, 0125, 3.2062257
0xFFFF, 7874665, 0126, 3.2063783
0xFFFF, 7937200, 0127, 3.2063783
0xFFFF, 7999654, 0128, 3.2063783
0xFFFF, 8062202, 0129, 3.2063020
0xFFFF, 8124653, 0130, 3.2063020
0xFFFF, 8187200, 0131, 3.2063020
0xFFFF, 8249653, 0132, 3.2060731
0xFFFF, 8312213, 0133, 3.2062257
0xFFFF, 8374663, 0134, 3.2063783
0xFFFF, 8437199, 0135, 3.2063783
0xFFFF, 8499665, 0136, 3.2064546
0xFFFF, 8562206, 0137, 3.2062257
0xFFFF, 8624653, 0138, 3.2064546
0xFFFF, 8687203, 0139, 3.2065309
0xFFFF, 8749653, 0140, 3.2063020
0xFFFF, 8812199, 0141, 3.2062257
0xFFFF, 8874654, 0142, 3.2063783
0xFFFF, 8937211, 0143, 3.2065309
0xFFFF, 8999663, 0144, 3.2063020
0xFFFF, 9062200, 0145, 3.2063020
0xFFFF, 9124665, 0146, 3.2063783
0xFFFF, 9187210, 0147, 3.2065309
0xFFFF, 9249661, 0148, 3.2062257
0xFFFF, 9312202, 0149, 3.2062257
0xFFFF, 9374654, 0150, 3.2063020
0xFFFF, 9437199, 0151, 3.2062257
0xFFFF, 9499654, 0152, 3.2063783
0xFFFF, 9562212, 0153, 3.2064546
0xFFFF, 9624653, 0154, 3.2062257
0xFFFF, 9687201, 0155, 3.2066835
0xFFFF, 9749664, 0156, 3.2061494
0xFFFF, 9812202, 0157, 3.2063020
0xFFFF, 9874665, 0158, 3.2063020
0xFFFF, 9937207, 0159, 3.2062257
0xFFFF, 9999656, 0160, 3.2060731
0xFFFF, 10062200, 0161, 3.2060731
0xFFFF, 10124653, 0162, 3.2064546
0xFFFF, 10187213, 0163, 3.2060731
0xFFFF, 10249653, 0164, 3.2064546
0xFFFF, 10312200, 0165, 3.2062257
0xFFFF, 10374665, 0166, 3.2061494
0xFFFF, 10437203, 0167, 3.2062257
0xFFFF, 10499673, 0168, 3.2063020
0xFFFF, 10562211, 0169, 3.2062257
0xFFFF, 10624664, 0170, 3.2062257
0xFFFF, 10687201, 0171, 3.2062257
0xFFFF, 10749653, 0172, 3.2062257
0xFFFF, 10812211, 0173, 3.2064546
0xFFFF, 10874654, 0174, 3.2063020
0xFFFF, 10937199, 0175, 3.2063020
0xFFFF, 10999654, 0176, 3.2063020
0xFFFF, 11062202, 0177, 3.2063783
0xFFFF, 11124673, 0178, 3.2060731
0xFFFF, 11187218, 0179, 3.2063020
0xFFFF, 11249664, 0180, 3.2063020
0xFFFF, 11312206, 0181, 3.2061494
0xFFFF, 11374654, 0182, 3.2062257
0xFFFF, 11437212, 0183, 3.2061494
0xFFFF, 11499654, 0184, 3.2063783
0xFFFF, 11562199, 0185, 3.2061494
0xFFFF, 11624653, 0186, 3.2060731
0xFFFF, 11687203, 0187, 3.2063020
0xFFFF, 11749673, 0188, 3.2064546
0xFFFF, 11812208, 0189, 3.2062257
0xFFFF, 11874666, 0190, 3.2061494
0xFFFF, 11937209, 0191, 3.2065309
0xFFFF, 11999663, 0192, 3.2066835
0xFFFF, 12062213, 0193, 3.2059205
0xFFFF, 12124653, 0194, 3.2063020
0xFFFF, 12187200, 0195, 3.2063020
0xFFFF, 12249653, 0196, 3.2062257
0xFFFF, 12312201, 0197, 3.2062257
0xFFFF, 12374674, 0198, 3.2063020
0xFFFF, 12437207, 0199, 3.2065309
0xFFFF, 12499665, 0200, 3.2061494
0xFFFF, 12562202, 0201, 3.2061494
0xFFFF, 12624661, 0202, 3.2061494
0xFFFF, 12687219, 0203, 3.2063020
0xFFFF, 12749655, 0204, 3.2062257
0xFFFF, 12812200, 0205, 3.2063020
0xFFFF, 12874654, 0206, 3.2062257
