11-29-2023, 12:41:28:254, sync, seq, adc
11-29-2023, 12:41:47:809, , , 
11-29-2023, 12:41:47:898, 0xBBBB, 1871, 3.061
11-29-2023, 12:41:48:17, 0xBBBB, 1872, 3.061
11-29-2023, 12:41:48:108, 0xBBBB, 1873, 3.051
11-29-2023, 12:41:48:225, 0xBBBB, 1874, 3.051
11-29-2023, 12:41:48:316, 0xBBBB, 1875, 3.051
11-29-2023, 12:41:48:406, 0xBBBB, 1876, 3.051
11-29-2023, 12:41:48:526, 0xBBBB, 1877, 3.051
11-29-2023, 12:41:48:616, 0xBBBB, 1878, 3.051
11-29-2023, 12:41:48:707, 0xBBBB, 1879, 3.051
11-29-2023, 12:41:48:796, 0xBBBB, 1880, 3.051
11-29-2023, 12:41:48:917, 0xBBBB, 1881, 3.051
11-29-2023, 12:41:49:7, 0xBBBB, 1882, 3.051
11-29-2023, 12:41:49:98, 0xBBBB, 1883, 3.051
11-29-2023, 12:41:49:217, 0xBBBB, 1884, 3.051
11-29-2023, 12:41:49:307, 0xBBBB, 1885, 3.051
11-29-2023, 12:41:49:428, 0xBBBB, 1886, 3.051
11-29-2023, 12:41:49:516, 0xBBBB, 1887, 3.051
11-29-2023, 12:41:49:605, 0xBBBB, 1888, 3.051
11-29-2023, 12:41:49:696, 0xBBBB, 1889, 3.051
11-29-2023, 12:41:49:785, 0xBBBB, 1890, 3.051
11-29-2023, 12:41:49:905, 0xBBBB, 1891, 3.051
11-29-2023, 12:41:49:995, 0xBBBB, 1892, 3.051
11-29-2023, 12:41:50:116, 0xBBBB, 1893, 3.051
11-29-2023, 12:41:50:206, 0xBBBB, 1894, 3.051
11-29-2023, 12:41:50:298, 0xBBBB, 1895, 3.051
11-29-2023, 12:41:50:417, 0xBBBB, 1896, 3.051
11-29-2023, 12:41:50:505, 0xBBBB, 1897, 3.051
11-29-2023, 12:41:50:595, 0xBBBB, 1898, 3.051
11-29-2023, 12:41:50:685, 0xBBBB, 1899, 3.051
11-29-2023, 12:44:01:943, 0xBBBB, 1900, 3.051
11-29-2023, 12:44:02:65, 0xBBBB, 1901, 3.051
11-29-2023, 12:44:02:158, 0xBBBB, 1902, 3.061
11-29-2023, 12:44:02:250, 0xBBBB, 1903, 3.051
11-29-2023, 12:44:02:342, 0xBBBB, 1904, 3.051
11-29-2023, 12:44:02:463, 0xBBBB, 1905, 3.051
11-29-2023, 12:44:02:555, 0xBBBB, 1906, 3.051
11-29-2023, 12:44:02:645, 0xBBBB, 1907, 3.051
11-29-2023, 12:44:02:736, 0xBBBB, 1908, 3.051
11-29-2023, 12:44:02:861, 0xBBBB, 1909, 3.051
11-29-2023, 12:44:02:952, 0xBBBB, 1910, 3.051
11-29-2023, 12:44:03:44, 0xBBBB, 1911, 3.061
11-29-2023, 12:44:03:134, 0xBBBB, 1912, 3.051
11-29-2023, 12:44:03:223, 0xBBBB, 1913, 3.051
11-29-2023, 12:44:03:343, 0xBBBB, 1914, 3.051
11-29-2023, 12:44:03:435, 0xBBBB, 1915, 3.061
11-29-2023, 12:44:03:529, 0xBBBB, 1916, 3.051
11-29-2023, 12:44:03:620, 0xBBBB, 1917, 3.051
11-29-2023, 12:44:03:742, 0xBBBB, 1918, 3.061
11-29-2023, 12:44:03:832, 0xBBBB, 1919, 3.051
11-29-2023, 12:44:03:951, 0xBBBB, 1920, 3.051
11-29-2023, 12:44:04:41, 0xBBBB, 1921, 3.051
11-29-2023, 12:44:04:133, 0xBBBB, 1922, 3.061
11-29-2023, 12:44:04:258, 0xBBBB, 1923, 3.051
11-29-2023, 12:44:04:350, 0xBBBB, 1924, 3.051
11-29-2023, 12:44:04:442, 0xBBBB, 1925, 3.051
11-29-2023, 12:44:04:532, 0xBBBB, 1926, 3.051
11-29-2023, 12:44:04:653, 0xBBBB, 1927, 3.051
11-29-2023, 12:44:04:742, 0xBBBB, 1928, 3.051
11-29-2023, 12:44:04:833, 0xBBBB, 1929, 3.051
11-29-2023, 12:44:04:926, 0xBBBB, 1930, 3.051
11-29-2023, 12:44:05:138, 0xBBBB, 1931, 3.051
11-29-2023, 12:44:05:232, 0xBBBB, 1933, 3.061
11-29-2023, 12:44:05:322, 0xBBBB, 1934, 3.051
11-29-2023, 12:44:05:412, 0xBBBB, 1935, 3.051
11-29-2023, 12:44:05:535, 0xBBBB, 1936, 3.051
11-29-2023, 12:44:05:626, 0xBBBB, 1937, 3.051
11-29-2023, 12:44:05:718, 0xBBBB, 1938, 3.051
11-29-2023, 12:44:05:838, 0xBBBB, 1939, 3.051
11-29-2023, 12:44:05:930, 0xBBBB, 1940, 3.051
11-29-2023, 12:44:06:22, 0xBBBB, 1941, 3.051
11-29-2023, 12:44:06:116, 0xBBBB, 1942, 3.051
11-29-2023, 12:44:06:237, 0xBBBB, 1943, 3.051
11-29-2023, 12:44:06:329, 0xBBBB, 1944, 3.051
11-29-2023, 12:44:06:448, 0xBBBB, 1945, 3.051
11-29-2023, 12:44:06:539, 0xBBBB, 1946, 3.051
11-29-2023, 12:44:06:629, 0xBBBB, 1947, 3.051
11-29-2023, 12:44:06:720, 0xBBBB, 1948, 3.051
11-29-2023, 12:44:06:935, 0xBBBB, 1949, 3.051
11-29-2023, 12:44:07:25, 0xBBBB, 1951, 3.051
11-29-2023, 12:44:07:116, 0xBBBB, 1952, 3.051
11-29-2023, 12:44:07:206, 0xBBBB, 1953, 3.051
11-29-2023, 12:44:07:326, 0xBBBB, 1954, 3.051
