date, time, sync, seq, adc
24-07-08, T17:20:15.149600Z, 0xBBBB, 0063, 1.4062715
24-07-08, T17:20:15.211500Z, 0xBBBB, 0064, 3.2227054
24-07-08, T17:20:15.273400Z, 0xBBBB, 0065, 0.8398566
24-07-08, T17:20:15.335300Z, 0xBBBB, 0066, 3.2227054
24-07-08, T17:20:15.397100Z, 0xBBBB, 0067, 0.2929732
24-07-08, T17:20:15.459100Z, 0xBBBB, 0068, 3.2227054
24-07-08, T17:20:15.582800Z, 0xBBBB, 0070, 3.2227054
24-07-08, T17:20:15.644700Z, 0xBBBB, 0071, 4.1797513
24-07-08, T17:20:15.706600Z, 0xBBBB, 0072, 1.4453346
24-07-08, T17:20:15.768400Z, 0xBBBB, 0073, 3.6133364
24-07-08, T17:20:15.830400Z, 0xBBBB, 0074, 3.2227054
24-07-08, T17:20:15.892200Z, 0xBBBB, 0075, 3.0664530
24-07-08, T17:20:15.954100Z, 0xBBBB, 0076, 3.2227054
24-07-08, T17:20:16.015900Z, 0xBBBB, 0077, 1.2109560
24-07-08, T17:20:16.077700Z, 0xBBBB, 0078, 3.2227054
24-07-08, T17:20:16.139600Z, 0xBBBB, 0079, 0.6445411
24-07-08, T17:20:16.201500Z, 0xBBBB, 0080, 3.2227054
24-07-08, T17:20:16.263400Z, 0xBBBB, 0081, 0.0781262
24-07-08, T17:20:16.325300Z, 0xBBBB, 0082, 3.2227054
24-07-08, T17:20:16.387100Z, 0xBBBB, 0083, 4.5313191
24-07-08, T17:20:16.449100Z, 0xBBBB, 0084, 3.2227054
24-07-08, T17:20:16.572800Z, 0xBBBB, 0086, 3.2227054
24-07-08, T17:20:16.634700Z, 0xBBBB, 0087, 3.4180209
24-07-08, T17:20:16.696600Z, 0xBBBB, 0088, 3.2227054
24-07-08, T17:20:16.758400Z, 0xBBBB, 0089, 2.8516060
24-07-08, T17:20:16.820400Z, 0xBBBB, 0090, 3.2227054
24-07-08, T17:20:16.882200Z, 0xBBBB, 0091, 2.3047227
24-07-08, T17:20:16.944100Z, 0xBBBB, 0092, 3.2227054
24-07-08, T17:20:17.005900Z, 0xBBBB, 0093, 0.4492256
24-07-08, T17:20:17.067800Z, 0xBBBB, 0094, 3.2227054
24-07-08, T17:20:17.129600Z, 0xBBBB, 0095, 4.8828870
24-07-08, T17:20:17.191500Z, 0xBBBB, 0096, 3.2227054
24-07-08, T17:20:17.253400Z, 0xBBBB, 0097, 4.3164721
24-07-08, T17:20:17.315300Z, 0xBBBB, 0098, 3.2227054
24-07-08, T17:20:17.377200Z, 0xBBBB, 0099, 3.7695888
24-07-08, T17:20:17.439000Z, 0xBBBB, 0100, 1.4453346
24-07-08, T17:20:17.562800Z, 0xBBBB, 0102, 3.2227054
24-07-08, T17:20:17.624700Z, 0xBBBB, 0103, 2.6562905
24-07-08, T17:20:17.686600Z, 0xBBBB, 0104, 3.2227054
24-07-08, T17:20:17.748400Z, 0xBBBB, 0105, 2.0898756
24-07-08, T17:20:17.810400Z, 0xBBBB, 0106, 3.2227054
24-07-08, T17:20:17.872200Z, 0xBBBB, 0107, 1.5429923
24-07-08, T17:20:17.934100Z, 0xBBBB, 0108, 3.2227054
24-07-08, T17:20:17.996000Z, 0xBBBB, 0109, 0.9765774
24-07-08, T17:20:18.057700Z, 0xBBBB, 0110, 3.2227054
24-07-08, T17:20:18.119600Z, 0xBBBB, 0111, 4.1211566
24-07-08, T17:20:18.181500Z, 0xBBBB, 0112, 3.2227054
24-07-08, T17:20:18.243400Z, 0xBBBB, 0113, 3.5547417
24-07-08, T17:20:18.305300Z, 0xBBBB, 0114, 3.2227054
24-07-08, T17:20:18.367100Z, 0xBBBB, 0115, 2.9883268
24-07-08, T17:20:18.429000Z, 0xBBBB, 0116, 1.4453346
24-07-08, T17:20:18.552800Z, 0xBBBB, 0118, 3.2227054
24-07-08, T17:20:18.614700Z, 0xBBBB, 0119, 1.8945602
24-07-08, T17:20:18.676600Z, 0xBBBB, 0120, 3.2227054
24-07-08, T17:20:18.738400Z, 0xBBBB, 0121, 1.3281453
24-07-08, T17:20:18.800400Z, 0xBBBB, 0122, 3.2227054
24-07-08, T17:20:18.862200Z, 0xBBBB, 0123, 0.7617304
24-07-08, T17:20:18.924100Z, 0xBBBB, 0124, 3.2227054
24-07-08, T17:20:18.985900Z, 0xBBBB, 0125, 0.2148470
24-07-08, T17:20:19.047800Z, 0xBBBB, 0126, 3.2227054
24-07-08, T17:20:19.109600Z, 0xBBBB, 0127, 3.3594263
24-07-08, T17:20:19.171500Z, 0xBBBB, 0128, 3.2227054
24-07-08, T17:20:19.233400Z, 0xBBBB, 0129, 2.7930114
24-07-08, T17:20:19.295300Z, 0xBBBB, 0130, 3.2227054
24-07-08, T17:20:19.357100Z, 0xBBBB, 0131, 2.2265965
24-07-08, T17:20:19.419000Z, 0xBBBB, 0132, 3.2227054
24-07-08, T17:20:19.542800Z, 0xBBBB, 0134, 1.4453346
24-07-08, T17:20:19.604700Z, 0xBBBB, 0135, 1.1328298
24-07-08, T17:20:19.666600Z, 0xBBBB, 0136, 3.2227054
24-07-08, T17:20:19.728400Z, 0xBBBB, 0137, 0.5664149
24-07-08, T17:20:19.790300Z, 0xBBBB, 0138, 3.2227054
24-07-08, T17:20:19.852200Z, 0xBBBB, 0139, 0.0000000
24-07-08, T17:20:19.914100Z, 0xBBBB, 0140, 1.4453346
24-07-08, T17:20:19.976000Z, 0xBBBB, 0141, 4.4531930
24-07-08, T17:20:20.037800Z, 0xBBBB, 0142, 3.2227054
24-07-08, T17:20:20.099600Z, 0xBBBB, 0143, 2.5976959
24-07-08, T17:20:20.161500Z, 0xBBBB, 0144, 3.2227054
24-07-08, T17:20:20.223400Z, 0xBBBB, 0145, 2.0312810
24-07-08, T17:20:20.285300Z, 0xBBBB, 0146, 3.2227054
24-07-08, T17:20:20.347100Z, 0xBBBB, 0147, 1.4648661
24-07-08, T17:20:20.409000Z, 0xBBBB, 0148, 3.2227054
24-07-08, T17:20:20.532800Z, 0xBBBB, 0150, 3.2227054
24-07-08, T17:20:20.594700Z, 0xBBBB, 0151, 0.3710994
24-07-08, T17:20:20.656600Z, 0xBBBB, 0152, 3.2227054
24-07-08, T17:20:20.718400Z, 0xBBBB, 0153, 4.8047608
24-07-08, T17:20:20.780400Z, 0xBBBB, 0154, 1.4453346
24-07-08, T17:20:20.842200Z, 0xBBBB, 0155, 4.2383459
24-07-08, T17:20:20.904100Z, 0xBBBB, 0156, 3.2227054
24-07-08, T17:20:20.966000Z, 0xBBBB, 0157, 3.6914626
24-07-08, T17:20:21.027700Z, 0xBBBB, 0158, 3.2227054
24-07-08, T17:20:21.089600Z, 0xBBBB, 0159, 1.8359655
24-07-08, T17:20:21.151500Z, 0xBBBB, 0160, 3.2227054
24-07-08, T17:20:21.213400Z, 0xBBBB, 0161, 1.2695506
24-07-08, T17:20:21.275300Z, 0xBBBB, 0162, 3.2227054
24-07-08, T17:20:21.337100Z, 0xBBBB, 0163, 0.7031357
24-07-08, T17:20:21.399000Z, 0xBBBB, 0164, 3.2227054
24-07-08, T17:20:21.522800Z, 0xBBBB, 0166, 3.2227054
24-07-08, T17:20:21.584700Z, 0xBBBB, 0167, 4.5899138
24-07-08, T17:20:21.646500Z, 0xBBBB, 0168, 1.4453346
24-07-08, T17:20:21.708400Z, 0xBBBB, 0169, 4.0430304
24-07-08, T17:20:21.770400Z, 0xBBBB, 0170, 3.2227054
24-07-08, T17:20:21.832200Z, 0xBBBB, 0171, 3.4766155
24-07-08, T17:20:21.894100Z, 0xBBBB, 0172, 3.2227054
24-07-08, T17:20:21.955900Z, 0xBBBB, 0173, 2.9102007
24-07-08, T17:20:22.017700Z, 0xBBBB, 0174, 3.2227054
24-07-08, T17:20:22.079600Z, 0xBBBB, 0175, 1.0547036
24-07-08, T17:20:22.141500Z, 0xBBBB, 0176, 3.2227054
24-07-08, T17:20:22.203400Z, 0xBBBB, 0177, 0.5078202
24-07-08, T17:20:22.265300Z, 0xBBBB, 0178, 3.2227054
24-07-08, T17:20:22.327100Z, 0xBBBB, 0179, 4.9414817
24-07-08, T17:20:22.389000Z, 0xBBBB, 0180, 3.2227054
24-07-08, T17:20:22.512800Z, 0xBBBB, 0182, 3.2227054
24-07-08, T17:20:22.574700Z, 0xBBBB, 0183, 3.8281834
24-07-08, T17:20:22.636600Z, 0xBBBB, 0184, 3.2227054
24-07-08, T17:20:22.698400Z, 0xBBBB, 0185, 3.2813001
24-07-08, T17:20:22.760300Z, 0xBBBB, 0186, 3.2227054
24-07-08, T17:20:22.822200Z, 0xBBBB, 0187, 2.7148852
24-07-08, T17:20:22.884100Z, 0xBBBB, 0188, 3.2227054
24-07-08, T17:20:22.945900Z, 0xBBBB, 0189, 2.1484703
24-07-08, T17:20:23.007800Z, 0xBBBB, 0190, 3.2227054
24-07-08, T17:20:23.069600Z, 0xBBBB, 0191, 0.2929732
24-07-08, T17:20:23.131500Z, 0xBBBB, 0192, 3.2227054
24-07-08, T17:20:23.193400Z, 0xBBBB, 0193, 4.7461662
24-07-08, T17:20:23.255300Z, 0xBBBB, 0194, 3.2227054
24-07-08, T17:20:23.317100Z, 0xBBBB, 0195, 4.1797513
24-07-08, T17:20:23.379000Z, 0xBBBB, 0196, 3.2227054
24-07-08, T17:20:23.502800Z, 0xBBBB, 0198, 3.2227054
24-07-08, T17:20:23.564700Z, 0xBBBB, 0199, 3.0664530
24-07-08, T17:20:23.626600Z, 0xBBBB, 0200, 3.2227054
24-07-08, T17:20:23.688400Z, 0xBBBB, 0201, 2.5195697
24-07-08, T17:20:23.750300Z, 0xBBBB, 0202, 3.2227054
