uptime, sync, seq, adc
000000, 0xBBBB, 0000, 0.0000000
062138, 0xBBBB, 0001, 5.0000000
124625, 0xBBBB, 0002, 3.2359808
187152, 0xBBBB, 0003, 3.2357519
249625, 0xBBBB, 0004, 3.2356756
312137, 0xBBBB, 0005, 3.2355993
374635, 0xBBBB, 0006, 3.2356756
437130, 0xBBBB, 0007, 3.2356756
499644, 0xBBBB, 0008, 3.2355993
562129, 0xBBBB, 0009, 3.2358282
624635, 0xBBBB, 0010, 3.2358282
687137, 0xBBBB, 0011, 3.2356756
749625, 0xBBBB, 0012, 3.2355993
812151, 0xBBBB, 0013, 3.2358282
874623, 0xBBBB, 0014, 3.2359045
937139, 0xBBBB, 0015, 3.2356756
999624, 0xBBBB, 0016, 3.2359808
1062129, 0xBBBB, 0017, 3.2356756
1124644, 0xBBBB, 0018, 3.2357519
1187129, 0xBBBB, 0019, 3.2357519
1249635, 0xBBBB, 0020, 3.2358282
1312130, 0xBBBB, 0021, 3.2355993
1374623, 0xBBBB, 0022, 3.2356756
1437152, 0xBBBB, 0023, 3.2357519
1499623, 0xBBBB, 0024, 3.2357519
1562139, 0xBBBB, 0025, 3.2357519
1624625, 0xBBBB, 0026, 3.2357519
1687139, 0xBBBB, 0027, 3.2355993
1749644, 0xBBBB, 0028, 3.2353704
1812129, 0xBBBB, 0029, 3.2357519
1874637, 0xBBBB, 0030, 3.2355230
1937130, 0xBBBB, 0031, 3.2358282
1999634, 0xBBBB, 0032, 3.2357519
2062152, 0xBBBB, 0033, 3.2356756
2124625, 0xBBBB, 0034, 3.2356756
2187140, 0xBBBB, 0035, 3.2360571
2249625, 0xBBBB, 0036, 3.2355993
2312141, 0xBBBB, 0037, 3.2355993
2374634, 0xBBBB, 0038, 3.2357519
2437130, 0xBBBB, 0039, 3.2359808
2499635, 0xBBBB, 0040, 3.2357519
2562129, 0xBBBB, 0041, 3.2355993
2624633, 0xBBBB, 0042, 3.2355993
2687141, 0xBBBB, 0043, 3.2356756
2749626, 0xBBBB, 0044, 3.2357519
2812138, 0xBBBB, 0045, 3.2355230
2874623, 0xBBBB, 0046, 3.2356756
2937141, 0xBBBB, 0047, 3.2356756
2999634, 0xBBBB, 0048, 3.2356756
3062137, 0xBBBB, 0049, 3.2356756
3124635, 0xBBBB, 0050, 3.2355993
3187129, 0xBBBB, 0051, 3.2356756
3249634, 0xBBBB, 0052, 3.2357519
3312140, 0xBBBB, 0053, 3.2356756
3374636, 0xBBBB, 0054, 3.2354467
3437139, 0xBBBB, 0055, 3.2356756
3499624, 0xBBBB, 0056, 3.2358282
3562142, 0xBBBB, 0057, 3.2357519
3624625, 0xBBBB, 0058, 3.2357519
3687139, 0xBBBB, 0059, 3.2355230
3749625, 0xBBBB, 0060, 3.2359808
3812130, 0xBBBB, 0061, 3.2357519
3874633, 0xBBBB, 0062, 3.2355993
3937130, 0xBBBB, 0063, 3.2356756
3999636, 0xBBBB, 0064, 3.2356756
4062130, 0xBBBB, 0065, 3.2358282
4124625, 0xBBBB, 0066, 3.2356756
4187141, 0xBBBB, 0067, 3.2357519
4249625, 0xBBBB, 0068, 3.2355993
4312147, 0xBBBB, 0069, 3.2359045
4374624, 0xBBBB, 0070, 3.2356756
4437141, 0xBBBB, 0071, 3.2356756
4499633, 0xBBBB, 0072, 3.2356756
4562129, 0xBBBB, 0073, 3.2356756
4624644, 0xBBBB, 0074, 3.2357519
4687129, 0xBBBB, 0075, 3.2356756
4749634, 0xBBBB, 0076, 3.2356756
4812140, 0xBBBB, 0077, 3.2355993
4874624, 0xBBBB, 0078, 3.2359045
4937147, 0xBBBB, 0079, 3.2355993
4999623, 0xBBBB, 0080, 3.2355993
5062141, 0xBBBB, 0081, 3.2356756
5124625, 0xBBBB, 0082, 3.2356756
5187130, 0xBBBB, 0083, 3.2358282
5249645, 0xBBBB, 0084, 3.2356756
5312129, 0xBBBB, 0085, 3.2357519
5374633, 0xBBBB, 0086, 3.2355230
5437130, 0xBBBB, 0087, 3.2359045
5499625, 0xBBBB, 0088, 3.2358282
5562148, 0xBBBB, 0089, 3.2356756
5624625, 0xBBBB, 0090, 3.2356756
5687141, 0xBBBB, 0091, 3.2354467
5749625, 0xBBBB, 0092, 3.2356756
5812137, 0xBBBB, 0093, 3.2356756
5874645, 0xBBBB, 0094, 3.2355230
5937130, 0xBBBB, 0095, 3.2356756
5999635, 0xBBBB, 0096, 3.2359045
6062129, 0xBBBB, 0097, 3.2358282
6124636, 0xBBBB, 0098, 3.2358282
6187148, 0xBBBB, 0099, 3.2356756
6249625, 0xBBBB, 0100, 3.2361334
6312142, 0xBBBB, 0101, 3.2357519
6374623, 0xBBBB, 0102, 3.2356756
6437139, 0xBBBB, 0103, 3.2357519
6499632, 0xBBBB, 0104, 3.2359045
6562130, 0xBBBB, 0105, 3.2358282
6624634, 0xBBBB, 0106, 3.2357519
6687129, 0xBBBB, 0107, 3.2356756
6749635, 0xBBBB, 0108, 3.2356756
6812138, 0xBBBB, 0109, 3.2355993
6874623, 0xBBBB, 0110, 3.2356756
6937142, 0xBBBB, 0111, 3.2353704
6999623, 0xBBBB, 0112, 3.2356756
7062139, 0xBBBB, 0113, 3.2356756
7124633, 0xBBBB, 0114, 3.2360571
7187140, 0xBBBB, 0115, 3.2356756
7249633, 0xBBBB, 0116, 3.2355993
7312129, 0xBBBB, 0117, 3.2355993
7374637, 0xBBBB, 0118, 3.2355230
7437139, 0xBBBB, 0119, 3.2356756
7499634, 0xBBBB, 0120, 3.2359045
7562140, 0xBBBB, 0121, 3.2356756
7624625, 0xBBBB, 0122, 3.2356756
7687140, 0xBBBB, 0123, 3.2357519
7749625, 0xBBBB, 0124, 3.2355993
7812141, 0xBBBB, 0125, 3.2356756
7874623, 0xBBBB, 0126, 3.2355230
7937130, 0xBBBB, 0127, 3.2357519
7999635, 0xBBBB, 0128, 3.2355230
8062129, 0xBBBB, 0129, 3.2358282
8124633, 0xBBBB, 0130, 3.2355230
8187129, 0xBBBB, 0131, 3.2357519
8249626, 0xBBBB, 0132, 3.2356756
8312139, 0xBBBB, 0133, 3.2356756
8374623, 0xBBBB, 0134, 3.2355230
8437141, 0xBBBB, 0135, 3.2356756
8499624, 0xBBBB, 0136, 3.2357519
8562137, 0xBBBB, 0137, 3.2357519
8624635, 0xBBBB, 0138, 3.2355230
8687129, 0xBBBB, 0139, 3.2359045
8749634, 0xBBBB, 0140, 3.2358282
8812130, 0xBBBB, 0141, 3.2354467
8874636, 0xBBBB, 0142, 3.2355993
8937139, 0xBBBB, 0143, 3.2356756
8999623, 0xBBBB, 0144, 3.2357519
9062142, 0xBBBB, 0145, 3.2356756
9124625, 0xBBBB, 0146, 3.2355993
9187139, 0xBBBB, 0147, 3.2356756
9249625, 0xBBBB, 0148, 3.2355993
9312129, 0xBBBB, 0149, 3.2355993
9374633, 0xBBBB, 0150, 3.2355993
9437130, 0xBBBB, 0151, 3.2358282
9499636, 0xBBBB, 0152, 3.2356756
9562129, 0xBBBB, 0153, 3.2355230
9624625, 0xBBBB, 0154, 3.2356756
9687141, 0xBBBB, 0155, 3.2357519
9749625, 0xBBBB, 0156, 3.2355993
9812139, 0xBBBB, 0157, 3.2355993
9874624, 0xBBBB, 0158, 3.2355230
9937140, 0xBBBB, 0159, 3.2356756
9999632, 0xBBBB, 0160, 3.2355230
10062129, 0xBBBB, 0161, 3.2356756
10124636, 0xBBBB, 0162, 3.2355230
10187130, 0xBBBB, 0163, 3.2355230
10249633, 0xBBBB, 0164, 3.2352941
10312140, 0xBBBB, 0165, 3.2355230
10374623, 0xBBBB, 0166, 3.2355230
10437140, 0xBBBB, 0167, 3.2352178
10499623, 0xBBBB, 0168, 3.2355993
10562141, 0xBBBB, 0169, 3.2355230
10624625, 0xBBBB, 0170, 3.2355993
10687129, 0xBBBB, 0171, 3.2356756
10749637, 0xBBBB, 0172, 3.2356756
10812129, 0xBBBB, 0173, 3.2357519
10874634, 0xBBBB, 0174, 3.2355993
10937130, 0xBBBB, 0175, 3.2355993
10999626, 0xBBBB, 0176, 3.2355230
11062138, 0xBBBB, 0177, 3.2355993
11124625, 0xBBBB, 0178, 3.2354467
11187141, 0xBBBB, 0179, 3.2355993
11249625, 0xBBBB, 0180, 3.2354467
11312138, 0xBBBB, 0181, 3.2355230
11374634, 0xBBBB, 0182, 3.2355993
11437130, 0xBBBB, 0183, 3.2355993
11499635, 0xBBBB, 0184, 3.2355993
11562130, 0xBBBB, 0185, 3.2355993
11624635, 0xBBBB, 0186, 3.2361334
11687137, 0xBBBB, 0187, 3.2355993
11749625, 0xBBBB, 0188, 3.2355230
11812142, 0xBBBB, 0189, 3.2355230
11874623, 0xBBBB, 0190, 3.2358282
11937139, 0xBBBB, 0191, 3.2354467
11999623, 0xBBBB, 0192, 3.2355230
12062129, 0xBBBB, 0193, 3.2352941
12124635, 0xBBBB, 0194, 3.2356756
12187129, 0xBBBB, 0195, 3.2356756
12249635, 0xBBBB, 0196, 3.2355230
12312129, 0xBBBB, 0197, 3.2355993
12374624, 0xBBBB, 0198, 3.2356756
12437142, 0xBBBB, 0199, 3.2355230
12499623, 0xBBBB, 0200, 3.2355230
12562139, 0xBBBB, 0201, 3.2361334
12624625, 0xBBBB, 0202, 3.2350652
12687141, 0xBBBB, 0203, 3.2354467
12749633, 0xBBBB, 0204, 3.2355230
12812129, 0xBBBB, 0205, 3.2355993
12874637, 0xBBBB, 0206, 3.2357519
12937130, 0xBBBB, 0207, 3.2355993
12999634, 0xBBBB, 0208, 3.2355993
13062140, 0xBBBB, 0209, 3.2355993
13124625, 0xBBBB, 0210, 3.2355993
13187140, 0xBBBB, 0211, 3.2355230
13249625, 0xBBBB, 0212, 3.2356756
13312141, 0xBBBB, 0213, 3.2355993
13374623, 0xBBBB, 0214, 3.2353704
13437130, 0xBBBB, 0215, 3.2355230
13499635, 0xBBBB, 0216, 3.2355993
13562129, 0xBBBB, 0217, 3.2355993
13624633, 0xBBBB, 0218, 3.2355993
13687129, 0xBBBB, 0219, 3.2357519
13749627, 0xBBBB, 0220, 3.2355993
13812139, 0xBBBB, 0221, 3.2355993
13874623, 0xBBBB, 0222, 3.2355993
13937141, 0xBBBB, 0223, 3.2356756
13999624, 0xBBBB, 0224, 3.2355230
14062139, 0xBBBB, 0225, 3.2356756
14124635, 0xBBBB, 0226, 3.2355993
14187129, 0xBBBB, 0227, 3.2355230
14249634, 0xBBBB, 0228, 3.2355993
14312129, 0xBBBB, 0229, 3.2357519
14374636, 0xBBBB, 0230, 3.2355230
14437139, 0xBBBB, 0231, 3.2355230
14499624, 0xBBBB, 0232, 3.2358282
14562142, 0xBBBB, 0233, 3.2355993
14624625, 0xBBBB, 0234, 3.2355993
14687139, 0xBBBB, 0235, 3.2355230
14749625, 0xBBBB, 0236, 3.2355993
14812129, 0xBBBB, 0237, 3.2355993
14874633, 0xBBBB, 0238, 3.2354467
14937130, 0xBBBB, 0239, 3.2356756
14999638, 0xBBBB, 0240, 3.2355993
15062129, 0xBBBB, 0241, 3.2353704
15124625, 0xBBBB, 0242, 3.2358282
15187142, 0xBBBB, 0243, 3.2353704
15249625, 0xBBBB, 0244, 3.2355993
15312150, 0xBBBB, 0245, 3.2355993
15374624, 0xBBBB, 0246, 3.2355993
15437141, 0xBBBB, 0247, 3.2355993
15499632, 0xBBBB, 0248, 3.2359045
15562129, 0xBBBB, 0249, 3.2355230
15624645, 0xBBBB, 0250, 3.2355993
15687129, 0xBBBB, 0251, 3.2354467
15749634, 0xBBBB, 0252, 3.2355993
15812129, 0xBBBB, 0253, 3.2355230
