uptime, sync, seq, adc
91812879, 0xBBBB, 0000, 4.0430304
92019836, 0xBBBB, 0001, 0.0000000
92063477, 0xBBBB, 0002, 0.0000000
92249643, 0xBBBB, 0003, 0.0000000
92314091, 0xBBBB, 0004, 0.0000000
92499641, 0xBBBB, 0005, 0.0000000
92707801, 0xBBBB, 0006, 0.0000000
92750494, 0xBBBB, 0007, 0.0000000
92957507, 0xBBBB, 0008, 0.0000000
93001164, 0xBBBB, 0009, 2.0898756
93187196, 0xBBBB, 0010, 2.1094072
93251272, 0xBBBB, 0011, 0.0000000
93394866, 0xBBBB, 0012, 0.0000000
93437909, 0xBBBB, 0013, 0.0000000
93645602, 0xBBBB, 0014, 0.0000000
93688492, 0xBBBB, 0015, 0.0000000
93875181, 0xBBBB, 0016, 2.1484703
93939038, 0xBBBB, 0017, 0.0000000
94125180, 0xBBBB, 0018, 2.1680018
94332791, 0xBBBB, 0019, 0.0000000
94375488, 0xBBBB, 0020, 0.0000000
94582501, 0xBBBB, 0021, 0.0000000
94625624, 0xBBBB, 0022, 0.0000000
94812174, 0xBBBB, 0023, 2.2265965
94876364, 0xBBBB, 0024, 0.0000000
95062796, 0xBBBB, 0025, 0.0000000
95126725, 0xBBBB, 0026, 0.0000000
95269842, 0xBBBB, 0027, 0.0000000
95312929, 0xBBBB, 0028, 0.0000000
95520615, 0xBBBB, 0029, 0.0000000
95563540, 0xBBBB, 0030, 0.0000000
95749509, 0xBBBB, 0031, 0.0000000
95814150, 0xBBBB, 0032, 2.3047227
96000182, 0xBBBB, 0033, 2.3242542
96064044, 0xBBBB, 0034, 0.0000000
96250481, 0xBBBB, 0035, 0.0000000
96314486, 0xBBBB, 0036, 0.0000000
96457775, 0xBBBB, 0037, 0.0000000
96500512, 0xBBBB, 0038, 0.0000000
96687236, 0xBBBB, 0039, 0.0000000
96751369, 0xBBBB, 0040, 0.0000000
96937826, 0xBBBB, 0041, 0.0000000
97144845, 0xBBBB, 0042, 0.0000000
97187819, 0xBBBB, 0043, 0.0000000
97374465, 0xBBBB, 0044, 0.0000000
97439064, 0xBBBB, 0045, 0.0000000
97624716, 0xBBBB, 0046, 0.0000000
97832823, 0xBBBB, 0047, 0.0000000
97875493, 0xBBBB, 0048, 0.0000000
98082501, 0xBBBB, 0049, 0.0000000
98126171, 0xBBBB, 0050, 2.4805066
98312185, 0xBBBB, 0051, 2.5000381
98376376, 0xBBBB, 0052, 0.0000000
98562174, 0xBBBB, 0053, 2.5195697
98626583, 0xBBBB, 0054, 0.0000000
98812182, 0xBBBB, 0055, 2.5195697
98876350, 0xBBBB, 0056, 0.0000000
99062793, 0xBBBB, 0057, 0.0000000
99269837, 0xBBBB, 0058, 0.0000000
99312877, 0xBBBB, 0059, 0.0000000
99499088, 0xBBBB, 0060, 0.0000000
99564087, 0xBBBB, 0061, 0.0000000
99750081, 0xBBBB, 0062, 0.0000000
99814254, 0xBBBB, 0063, 0.0000000
99957743, 0xBBBB, 0064, 0.0000000
100000495, 0xBBBB, 0065, 0.0000000
100187195, 0xBBBB, 0066, 2.6367590
100251293, 0xBBBB, 0067, 0.0000000
100394841, 0xBBBB, 0068, 0.0000000
100438320, 0xBBBB, 0069, 0.0000000
100645647, 0xBBBB, 0070, 0.0000000
100689050, 0xBBBB, 0071, 0.0000000
100874186, 0xBBBB, 0072, 2.6953536
100939055, 0xBBBB, 0073, 0.0000000
101125174, 0xBBBB, 0074, 2.7148852
101189293, 0xBBBB, 0075, 0.0000000
101332782, 0xBBBB, 0076, 0.0000000
101375621, 0xBBBB, 0077, 0.0000000
101562345, 0xBBBB, 0078, 0.0000000
101626770, 0xBBBB, 0079, 0.0000000
101769296, 0xBBBB, 0080, 0.0000000
101813088, 0xBBBB, 0081, 0.0000000
102019846, 0xBBBB, 0082, 0.0000000
102062869, 0xBBBB, 0083, 0.0000000
102249486, 0xBBBB, 0084, 0.0000000
102314032, 0xBBBB, 0085, 0.0000000
102499667, 0xBBBB, 0086, 0.0000000
102707791, 0xBBBB, 0087, 0.0000000
102750505, 0xBBBB, 0088, 0.0000000
102957496, 0xBBBB, 0089, 0.0000000
103000750, 0xBBBB, 0090, 0.0000000
103187172, 0xBBBB, 0091, 2.8711376
103251329, 0xBBBB, 0092, 0.0000000
103437328, 0xBBBB, 0093, 0.0000000
103501357, 0xBBBB, 0094, 0.0000000
103687802, 0xBBBB, 0095, 0.0000000
103894290, 0xBBBB, 0096, 0.0000000
103938165, 0xBBBB, 0097, 2.9297322
104002076, 0xBBBB, 0098, 0.0000000
104145877, 0xBBBB, 0099, 0.0000000
104188421, 0xBBBB, 0100, 0.0000000
104375159, 0xBBBB, 0101, 2.9492638
104438814, 0xBBBB, 0102, 0.0000000
104624483, 0xBBBB, 0103, 0.0000000
104689087, 0xBBBB, 0104, 0.0000000
104875171, 0xBBBB, 0105, 2.9883268
104939032, 0xBBBB, 0106, 0.0000000
105125181, 0xBBBB, 0107, 3.0078584
105332775, 0xBBBB, 0108, 0.0000000
105375495, 0xBBBB, 0109, 0.0000000
105582499, 0xBBBB, 0110, 0.0000000
105626155, 0xBBBB, 0111, 3.0469215
105812161, 0xBBBB, 0112, 3.0664530
105876576, 0xBBBB, 0113, 0.0000000
106062185, 0xBBBB, 0114, 3.0859846
106126772, 0xBBBB, 0115, 0.0000000
106312784, 0xBBBB, 0116, 0.0000000
106376846, 0xBBBB, 0117, 0.0000000
106519855, 0xBBBB, 0118, 0.0000000
106562875, 0xBBBB, 0119, 0.0000000
106770569, 0xBBBB, 0120, 0.0000000
106813518, 0xBBBB, 0121, 0.0000000
107000073, 0xBBBB, 0122, 0.0000000
107063813, 0xBBBB, 0123, 0.0000000
107250162, 0xBBBB, 0124, 3.1641108
107313999, 0xBBBB, 0125, 0.0000000
107499626, 0xBBBB, 0126, 0.0000000
107707796, 0xBBBB, 0127, 0.0000000
107750539, 0xBBBB, 0128, 0.0000000
107958248, 0xBBBB, 0129, 0.0000000
108001160, 0xBBBB, 0130, 3.2227054
108187407, 0xBBBB, 0131, 0.0000000
108251374, 0xBBBB, 0132, 0.0000000
108437194, 0xBBBB, 0133, 3.2617685
108501559, 0xBBBB, 0134, 0.0000000
108687179, 0xBBBB, 0135, 3.2813001
108751346, 0xBBBB, 0136, 0.0000000
108937420, 0xBBBB, 0137, 0.0000000
109001740, 0xBBBB, 0138, 0.0000000
109145395, 0xBBBB, 0139, 0.0000000
109189056, 0xBBBB, 0140, 0.0000000
109374504, 0xBBBB, 0141, 0.0000000
109439061, 0xBBBB, 0142, 0.0000000
109624647, 0xBBBB, 0143, 0.0000000
109832796, 0xBBBB, 0144, 0.0000000
109875472, 0xBBBB, 0145, 0.0000000
110082478, 0xBBBB, 0146, 0.0000000
110125623, 0xBBBB, 0147, 0.0000000
110312251, 0xBBBB, 0148, 0.0000000
110376773, 0xBBBB, 0149, 0.0000000
110519839, 0xBBBB, 0150, 0.0000000
110563280, 0xBBBB, 0151, 0.0000000
110770617, 0xBBBB, 0152, 0.0000000
110814046, 0xBBBB, 0153, 0.0000000
111020589, 0xBBBB, 0154, 0.0000000
111063544, 0xBBBB, 0155, 0.0000000
111250179, 0xBBBB, 0156, 3.4766155
111313993, 0xBBBB, 0157, 0.0000000
111500176, 0xBBBB, 0158, 3.4961471
111564208, 0xBBBB, 0159, 3.4961471
111749478, 0xBBBB, 0160, 0.0000000
111814082, 0xBBBB, 0161, 0.0000000
112000164, 0xBBBB, 0162, 3.5352102
112064057, 0xBBBB, 0163, 0.0000000
112250182, 0xBBBB, 0164, 3.5547417
112314281, 0xBBBB, 0165, 0.0000000
112457663, 0xBBBB, 0166, 0.0000000
112500501, 0xBBBB, 0167, 0.0000000
112687169, 0xBBBB, 0168, 3.5938048
112751258, 0xBBBB, 0169, 0.0000000
112937832, 0xBBBB, 0170, 0.0000000
113144211, 0xBBBB, 0171, 3.6133364
113188085, 0xBBBB, 0172, 0.0000000
113252214, 0xBBBB, 0173, 3.6328679
113395627, 0xBBBB, 0174, 0.0000000
113438597, 0xBBBB, 0175, 0.0000000
113645657, 0xBBBB, 0176, 0.0000000
113688517, 0xBBBB, 0177, 0.0000000
113874494, 0xBBBB, 0178, 0.0000000
113939087, 0xBBBB, 0179, 0.0000000
114124624, 0xBBBB, 0180, 0.0000000
114189069, 0xBBBB, 0181, 0.0000000
114375178, 0xBBBB, 0182, 3.7109941
114583521, 0xBBBB, 0183, 0.0000000
114626173, 0xBBBB, 0184, 3.7305257
114812171, 0xBBBB, 0185, 3.7500572
114876375, 0xBBBB, 0186, 0.0000000
115062809, 0xBBBB, 0187, 0.0000000
115269146, 0xBBBB, 0188, 3.7891203
115313134, 0xBBBB, 0189, 3.7891203
115377188, 0xBBBB, 0190, 3.7891203
115519832, 0xBBBB, 0191, 0.0000000
115563469, 0xBBBB, 0192, 0.0000000
115770641, 0xBBBB, 0193, 0.0000000
115813566, 0xBBBB, 0194, 0.0000000
116000162, 0xBBBB, 0195, 3.8477150
116064023, 0xBBBB, 0196, 0.0000000
116250172, 0xBBBB, 0197, 3.8672465
116314271, 0xBBBB, 0198, 0.0000000
116457745, 0xBBBB, 0199, 0.0000000
116500498, 0xBBBB, 0200, 0.0000000
116708073, 0xBBBB, 0201, 0.0000000
116751183, 0xBBBB, 0202, 3.9063096
116937183, 0xBBBB, 0203, 3.9063096
117001597, 0xBBBB, 0204, 0.0000000
117187159, 0xBBBB, 0205, 3.9258412
117251347, 0xBBBB, 0206, 0.0000000
117437846, 0xBBBB, 0207, 0.0000000
117644237, 0xBBBB, 0208, 0.0000000
117688144, 0xBBBB, 0209, 3.9649042
117752080, 0xBBBB, 0210, 0.0000000
117895652, 0xBBBB, 0211, 0.0000000
117938752, 0xBBBB, 0212, 0.0000000
118124481, 0xBBBB, 0213, 0.0000000
118189431, 0xBBBB, 0214, 0.0000000
118375147, 0xBBBB, 0215, 4.0234989
118439034, 0xBBBB, 0216, 0.0000000
118625188, 0xBBBB, 0217, 4.0430304
118832285, 0xBBBB, 0218, 0.0000000
118875594, 0xBBBB, 0219, 0.0000000
119061798, 0xBBBB, 0220, 0.0000000
119126368, 0xBBBB, 0221, 0.0000000
119312813, 0xBBBB, 0222, 0.0000000
119519833, 0xBBBB, 0223, 0.0000000
119563319, 0xBBBB, 0224, 0.0000000
119770610, 0xBBBB, 0225, 0.0000000
119813505, 0xBBBB, 0226, 0.0000000
120000160, 0xBBBB, 0227, 4.1406882
120064022, 0xBBBB, 0228, 0.0000000
120250161, 0xBBBB, 0229, 4.1602197
120314284, 0xBBBB, 0230, 0.0000000
120457768, 0xBBBB, 0231, 0.0000000
120500607, 0xBBBB, 0232, 0.0000000
120687183, 0xBBBB, 0233, 4.1992828
120751343, 0xBBBB, 0234, 0.0000000
120937423, 0xBBBB, 0235, 0.0000000
121001218, 0xBBBB, 0236, 0.0000000
121187840, 0xBBBB, 0237, 0.0000000
121394138, 0xBBBB, 0238, 4.2578775
121438088, 0xBBBB, 0239, 0.0000000
121644833, 0xBBBB, 0240, 0.0000000
121687929, 0xBBBB, 0241, 0.0000000
121895577, 0xBBBB, 0242, 0.0000000
121938490, 0xBBBB, 0243, 0.0000000
122124502, 0xBBBB, 0244, 0.0000000
122189146, 0xBBBB, 0245, 4.3164721
122375188, 0xBBBB, 0246, 4.3360037
122438818, 0xBBBB, 0247, 0.0000000
122624498, 0xBBBB, 0248, 0.0000000
122689081, 0xBBBB, 0249, 0.0000000
122875185, 0xBBBB, 0250, 4.3555352
122939043, 0xBBBB, 0251, 0.0000000
123124669, 0xBBBB, 0252, 0.0000000
123189089, 0xBBBB, 0253, 0.0000000
123374642, 0xBBBB, 0254, 0.0000000
123582811, 0xBBBB, 0255, 0.0000000
123625493, 0xBBBB, 0256, 0.0000000
123832497, 0xBBBB, 0257, 0.0000000
123875725, 0xBBBB, 0258, 0.0000000
124062169, 0xBBBB, 0259, 4.4531930
124126287, 0xBBBB, 0260, 0.0000000
124269455, 0xBBBB, 0261, 0.0000000
124313140, 0xBBBB, 0262, 4.4727245
124499188, 0xBBBB, 0263, 4.4922560
124564055, 0xBBBB, 0264, 0.0000000
124750167, 0xBBBB, 0265, 4.5117876
124814239, 0xBBBB, 0266, 0.0000000
124957761, 0xBBBB, 0267, 0.0000000
125000539, 0xBBBB, 0268, 0.0000000
125187180, 0xBBBB, 0269, 4.5508507
125251280, 0xBBBB, 0270, 0.0000000
125394082, 0xBBBB, 0271, 0.0000000
125438069, 0xBBBB, 0272, 0.0000000
125502083, 0xBBBB, 0273, 0.0000000
125645615, 0xBBBB, 0274, 0.0000000
125688599, 0xBBBB, 0275, 0.0000000
125874508, 0xBBBB, 0276, 0.0000000
125939070, 0xBBBB, 0277, 0.0000000
126125170, 0xBBBB, 0278, 4.6094453
126189198, 0xBBBB, 0279, 4.6094453
126332462, 0xBBBB, 0280, 0.0000000
126375642, 0xBBBB, 0281, 0.0000000
126562175, 0xBBBB, 0282, 4.6485084
126626368, 0xBBBB, 0283, 0.0000000
126812841, 0xBBBB, 0284, 0.0000000
127019855, 0xBBBB, 0285, 0.0000000
127062876, 0xBBBB, 0286, 0.0000000
127249464, 0xBBBB, 0287, 0.0000000
127314046, 0xBBBB, 0288, 0.0000000
127499598, 0xBBBB, 0289, 0.0000000
127707813, 0xBBBB, 0290, 0.0000000
127750491, 0xBBBB, 0291, 0.0000000
127958430, 0xBBBB, 0292, 0.0000000
128001216, 0xBBBB, 0293, 4.7656977
128187340, 0xBBBB, 0294, 0.0000000
128251675, 0xBBBB, 0295, 0.0000000
128394835, 0xBBBB, 0296, 0.0000000
128437911, 0xBBBB, 0297, 0.0000000
128624185, 0xBBBB, 0298, 4.8047608
128689055, 0xBBBB, 0299, 0.0000000
128875493, 0xBBBB, 0300, 0.0000000
129082782, 0xBBBB, 0301, 0.0000000
129125481, 0xBBBB, 0302, 0.0000000
129332485, 0xBBBB, 0303, 0.0000000
129375620, 0xBBBB, 0304, 0.0000000
129562157, 0xBBBB, 0305, 4.8828870
129626349, 0xBBBB, 0306, 0.0000000
129812857, 0xBBBB, 0307, 0.0000000
129876843, 0xBBBB, 0308, 0.0000000
130019856, 0xBBBB, 0309, 0.0000000
130062874, 0xBBBB, 0310, 0.0000000
130271491, 0xBBBB, 0311, 0.0000000
130313586, 0xBBBB, 0312, 0.0000000
130500186, 0xBBBB, 0313, 4.9414817
130563992, 0xBBBB, 0314, 0.0000000
130749528, 0xBBBB, 0315, 0.0000000
130957796, 0xBBBB, 0316, 0.0000000
131000515, 0xBBBB, 0317, 0.0000000
131207486, 0xBBBB, 0318, 0.0000000
131250595, 0xBBBB, 0319, 0.0000000
131437171, 0xBBBB, 0320, 0.0195315
131501357, 0xBBBB, 0321, 0.0000000
131687412, 0xBBBB, 0322, 0.0000000
131751769, 0xBBBB, 0323, 0.0000000
131895422, 0xBBBB, 0324, 0.0000000
131939055, 0xBBBB, 0325, 0.0000000
132124491, 0xBBBB, 0326, 0.0000000
132189072, 0xBBBB, 0327, 0.0000000
132331465, 0xBBBB, 0328, 0.0000000
132375165, 0xBBBB, 0329, 0.0976577
132582791, 0xBBBB, 0330, 0.0000000
132625509, 0xBBBB, 0331, 0.0000000
