date, time, sync, seq, adc
24-07-05, T13:16:50.402055Z, 0xBBBB, 0087, 0.0000000
24-07-05, T13:16:50.464558Z, 0xBBBB, 0088, 0.0000000
24-07-05, T13:16:50.527058Z, 0xBBBB, 0089, 0.0000000
24-07-05, T13:16:50.589555Z, 0xBBBB, 0090, 0.0000000
24-07-05, T13:16:50.652055Z, 0xBBBB, 0091, 0.0000000
24-07-05, T13:16:50.714558Z, 0xBBBB, 0092, 0.0000000
24-07-05, T13:16:50.777061Z, 0xBBBB, 0093, 0.0000000
24-07-05, T13:16:50.839555Z, 0xBBBB, 0094, 0.0000000
24-07-05, T13:16:50.902055Z, 0xBBBB, 0095, 0.0000000
24-07-05, T13:16:50.964558Z, 0xBBBB, 0096, 0.0000000
24-07-05, T13:16:50.027058Z, 0xBBBB, 0097, 0.0000000
24-07-05, T13:16:51.040979Z, 0xBBBB, 0098, 0.0000000
24-07-05, T13:16:51.103479Z, 0xBBBB, 0099, 0.0000000
24-07-05, T13:16:51.165985Z, 0xBBBB, 0100, 0.0000000
24-07-05, T13:16:51.228482Z, 0xBBBB, 0101, 0.0000000
24-07-05, T13:16:51.290980Z, 0xBBBB, 0102, 0.0000000
24-07-05, T13:16:51.353479Z, 0xBBBB, 0103, 0.0000000
24-07-05, T13:16:51.415979Z, 0xBBBB, 0104, 0.0000000
24-07-05, T13:16:51.478481Z, 0xBBBB, 0105, 0.0000000
24-07-05, T13:16:51.540982Z, 0xBBBB, 0106, 0.0000000
24-07-05, T13:16:51.603479Z, 0xBBBB, 0107, 0.0000000
24-07-05, T13:16:51.665982Z, 0xBBBB, 0108, 0.0000000
24-07-05, T13:16:51.728482Z, 0xBBBB, 0109, 0.0000000
24-07-05, T13:16:51.790982Z, 0xBBBB, 0110, 0.0000000
24-07-05, T13:16:51.853479Z, 0xBBBB, 0111, 0.0000000
24-07-05, T13:16:51.915979Z, 0xBBBB, 0112, 0.0000000
24-07-05, T13:16:51.978481Z, 0xBBBB, 0113, 0.0000000
24-07-05, T13:16:51.040982Z, 0xBBBB, 0114, 0.0000000
24-07-05, T13:16:52.054903Z, 0xBBBB, 0115, 0.0000000
24-07-05, T13:16:52.117403Z, 0xBBBB, 0116, 0.0000000
24-07-05, T13:16:52.179906Z, 0xBBBB, 0117, 0.0000000
24-07-05, T13:16:52.242406Z, 0xBBBB, 0118, 0.0000000
24-07-05, T13:16:52.304903Z, 0xBBBB, 0119, 0.0000000
24-07-05, T13:16:52.367403Z, 0xBBBB, 0120, 0.0000000
24-07-05, T13:16:52.429906Z, 0xBBBB, 0121, 0.0000000
24-07-05, T13:16:52.492409Z, 0xBBBB, 0122, 0.0000000
24-07-05, T13:16:52.554903Z, 0xBBBB, 0123, 0.0000000
24-07-05, T13:16:52.617403Z, 0xBBBB, 0124, 0.0000000
24-07-05, T13:16:52.742406Z, 0xBBBB, 0126, 0.0000000
24-07-05, T13:16:52.804903Z, 0xBBBB, 0127, 0.0000000
24-07-05, T13:16:52.867403Z, 0xBBBB, 0128, 0.0000000
24-07-05, T13:16:52.929908Z, 0xBBBB, 0129, 0.0000000
24-07-05, T13:16:52.992406Z, 0xBBBB, 0130, 0.0000000
24-07-05, T13:16:53.006327Z, 0xBBBB, 0131, 0.0000000
24-07-05, T13:16:53.068827Z, 0xBBBB, 0132, 0.0000000
24-07-05, T13:16:53.131327Z, 0xBBBB, 0133, 0.0000000
24-07-05, T13:16:53.193830Z, 0xBBBB, 0134, 0.0000000
24-07-05, T13:16:53.256328Z, 0xBBBB, 0135, 0.0000000
24-07-05, T13:16:53.318827Z, 0xBBBB, 0136, 0.0000000
24-07-05, T13:16:53.381330Z, 0xBBBB, 0137, 0.0000000
24-07-05, T13:16:53.443830Z, 0xBBBB, 0138, 0.0000000
24-07-05, T13:16:53.506330Z, 0xBBBB, 0139, 0.0000000
24-07-05, T13:16:53.568827Z, 0xBBBB, 0140, 0.0000000
24-07-05, T13:16:53.631327Z, 0xBBBB, 0141, 0.0000000
24-07-05, T13:16:53.693830Z, 0xBBBB, 0142, 0.0000000
24-07-05, T13:16:53.756330Z, 0xBBBB, 0143, 0.0000000
24-07-05, T13:16:53.818827Z, 0xBBBB, 0144, 0.0000000
24-07-05, T13:16:53.881327Z, 0xBBBB, 0145, 0.0000000
24-07-05, T13:16:53.943830Z, 0xBBBB, 0146, 0.0000000
24-07-05, T13:16:53.006330Z, 0xBBBB, 0147, 0.0000000
24-07-05, T13:16:54.020251Z, 0xBBBB, 0148, 0.0000000
24-07-05, T13:16:54.082751Z, 0xBBBB, 0149, 0.0000000
24-07-05, T13:16:54.145254Z, 0xBBBB, 0150, 0.0000000
24-07-05, T13:16:54.207755Z, 0xBBBB, 0151, 0.0000000
24-07-05, T13:16:54.270251Z, 0xBBBB, 0152, 0.0000000
24-07-05, T13:16:54.332751Z, 0xBBBB, 0153, 0.0000000
24-07-05, T13:16:54.395254Z, 0xBBBB, 0154, 0.0000000
