11-29-2023, 12:55:56:33, sync, seq, adc
11-29-2023, 12:56:10:362, 0xBBBB, 2052, 3.051
11-29-2023, 12:56:10:453, 0xBBBB, 2053, 3.051
11-29-2023, 12:56:10:548, 0xBBBB, 2054, 3.051
11-29-2023, 12:56:10:650, 0xBBBB, 2055, 3.051
11-29-2023, 12:56:10:747, 0xBBBB, 2056, 3.051
11-29-2023, 12:56:10:846, 0xBBBB, 2057, 3.051
11-29-2023, 12:56:10:940, 0xBBBB, 2058, 3.051
11-29-2023, 12:56:11:30, 0xBBBB, 2059, 3.051
11-29-2023, 12:56:11:155, 0xBBBB, 2060, 3.051
11-29-2023, 12:56:11:256, 0xBBBB, 2061, 3.051
11-29-2023, 12:56:11:353, 0xBBBB, 2062, 3.051
11-29-2023, 12:56:11:453, 0xBBBB, 2063, 3.051
11-29-2023, 12:56:11:548, 0xBBBB, 2064, 3.051
11-29-2023, 12:56:11:762, 0xBBBB, 2065, 3.051
11-29-2023, 12:56:11:828, 0xBBBB, 2067, 3.051
11-29-2023, 12:56:11:927, 0xBBBB, 2068, 3.051
11-29-2023, 12:56:12:58, 0xBBBB, 2069, 3.051
11-29-2023, 12:56:12:155, 0xBBBB, 2070, 3.051
11-29-2023, 12:56:12:247, 0xBBBB, 2071, 3.051
11-29-2023, 12:56:12:341, 0xBBBB, 2072, 3.051
11-29-2023, 12:56:12:441, 0xBBBB, 2073, 3.051
11-29-2023, 12:56:12:536, 0xBBBB, 2074, 3.051
11-29-2023, 12:56:12:634, 0xBBBB, 2075, 3.051
11-29-2023, 12:56:12:734, 0xBBBB, 2076, 3.051
11-29-2023, 12:56:12:825, 0xBBBB, 2077, 3.051
11-29-2023, 12:56:12:952, 0xBBBB, 2078, 3.051
11-29-2023, 12:56:13:52, 0xBBBB, 2079, 3.051
11-29-2023, 12:56:13:147, 0xBBBB, 2080, 3.051
11-29-2023, 12:56:13:245, 0xBBBB, 2081, 3.051
11-29-2023, 12:56:13:342, 0xBBBB, 2082, 3.051
11-29-2023, 12:56:13:433, 0xBBBB, 2083, 3.051
11-29-2023, 12:56:13:527, 0xBBBB, 2084, 3.051
11-29-2023, 12:56:13:624, 0xBBBB, 2085, 3.051
11-29-2023, 12:56:13:723, 0xBBBB, 2086, 3.051
11-29-2023, 12:56:13:852, 0xBBBB, 2087, 3.051
11-29-2023, 12:56:13:953, 0xBBBB, 2088, 3.051
11-29-2023, 12:56:14:44, 0xBBBB, 2089, 3.051
11-29-2023, 12:56:14:137, 0xBBBB, 2090, 3.051
11-29-2023, 12:56:14:238, 0xBBBB, 2091, 3.051
11-29-2023, 12:56:14:336, 0xBBBB, 2092, 3.051
11-29-2023, 12:56:14:431, 0xBBBB, 2093, 3.051
11-29-2023, 12:56:14:530, 0xBBBB, 2094, 3.051
11-29-2023, 12:56:14:621, 0xBBBB, 2095, 3.051
11-29-2023, 12:56:14:744, 0xBBBB, 2096, 3.051
11-29-2023, 12:56:14:845, 0xBBBB, 2097, 3.051
11-29-2023, 12:56:14:943, 0xBBBB, 2098, 3.051
11-29-2023, 12:56:15:39, 0xBBBB, 2099, 3.051
11-29-2023, 12:56:15:138, 0xBBBB, 2100, 3.051
11-29-2023, 12:56:15:232, 0xBBBB, 2101, 3.051
11-29-2023, 12:56:15:323, 0xBBBB, 2102, 3.051
11-29-2023, 12:56:15:423, 0xBBBB, 2103, 3.051
11-29-2023, 12:56:15:524, 0xBBBB, 2104, 3.051
11-29-2023, 12:56:15:651, 0xBBBB, 2105, 3.051
11-29-2023, 12:56:15:716, 0xBBBB, 2106, 3.051
11-29-2023, 12:56:15:813, 0xBBBB, 2107, 3.051
11-29-2023, 12:56:15:936, 0xBBBB, 2108, 3.051
11-29-2023, 12:56:16:32, 0xBBBB, 2109, 3.051
11-29-2023, 12:56:16:132, 0xBBBB, 2110, 3.051
11-29-2023, 12:56:16:226, 0xBBBB, 2111, 3.051
11-29-2023, 12:56:16:325, 0xBBBB, 2112, 3.051
11-29-2023, 12:56:16:422, 0xBBBB, 2113, 3.051
11-29-2023, 12:56:16:515, 0xBBBB, 2114, 3.051
11-29-2023, 12:56:16:614, 0xBBBB, 2115, 3.051
11-29-2023, 12:56:16:711, 0xBBBB, 2116, 3.051
11-29-2023, 12:56:16:804, 0xBBBB, 2117, 3.051
11-29-2023, 12:56:16:937, 0xBBBB, 2118, 3.051
11-29-2023, 12:56:17:31, 0xBBBB, 2119, 3.051
11-29-2023, 12:56:17:124, 0xBBBB, 2120, 3.051
11-29-2023, 12:56:17:222, 0xBBBB, 2121, 3.051
11-29-2023, 12:56:17:322, 0xBBBB, 2122, 3.051
11-29-2023, 12:56:17:417, 0xBBBB, 2123, 3.051
11-29-2023, 12:56:17:515, 0xBBBB, 2124, 3.051
11-29-2023, 12:56:17:611, 0xBBBB, 2125, 3.051
11-29-2023, 12:56:17:706, 0xBBBB, 2126, 3.051
11-29-2023, 12:56:17:837, 0xBBBB, 2127, 3.051
11-29-2023, 12:56:17:936, 0xBBBB, 2128, 3.051
11-29-2023, 12:56:18:31, 0xBBBB, 2129, 3.051
11-29-2023, 12:56:18:128, 0xBBBB, 2130, 3.051
11-29-2023, 12:56:18:222, 0xBBBB, 2131, 3.051
11-29-2023, 12:56:18:313, 0xBBBB, 2132, 3.051
11-29-2023, 12:56:18:409, 0xBBBB, 2133, 3.051
11-29-2023, 12:56:18:507, 0xBBBB, 2134, 3.051
11-29-2023, 12:56:18:603, 0xBBBB, 2135, 3.051
11-29-2023, 12:56:18:736, 0xBBBB, 2136, 3.051
11-29-2023, 12:56:18:829, 0xBBBB, 2137, 3.051
11-29-2023, 12:56:18:919, 0xBBBB, 2138, 3.051
11-29-2023, 12:56:19:14, 0xBBBB, 2139, 3.051
11-29-2023, 12:56:19:133, 0xBBBB, 2140, 3.051
11-29-2023, 12:56:19:229, 0xBBBB, 2141, 3.051
11-29-2023, 12:56:19:328, 0xBBBB, 2142, 3.051
11-29-2023, 12:56:19:422, 0xBBBB, 2143, 3.051
11-29-2023, 12:56:19:513, 0xBBBB, 2144, 3.051
