sync, uptime, seq, adc
0xFFFF, 7749653, 0124, 3.2105745
0xFFFF, 7812201, 0125, 3.2108034
0xFFFF, 7874653, 0126, 3.2105745
0xFFFF, 7937164, 0127, 3.2104982
0xFFFF, 7999654, 0128, 3.2107271
0xFFFF, 8062154, 0129, 3.2103456
0xFFFF, 8124665, 0130, 3.2107271
0xFFFF, 8187203, 0131, 3.2105745
0xFFFF, 8249662, 0132, 3.2106508
0xFFFF, 8312154, 0133, 3.2108797
0xFFFF, 8374664, 0134, 3.2105745
0xFFFF, 8437162, 0135, 3.2107271
0xFFFF, 8499654, 0136, 3.2108034
0xFFFF, 8562203, 0137, 3.2102693
0xFFFF, 8624654, 0138, 3.2104219
0xFFFF, 8687161, 0139, 3.2107271
0xFFFF, 8749653, 0140, 3.2107271
0xFFFF, 8812154, 0141, 3.2108797
0xFFFF, 8874661, 0142, 3.2105745
0xFFFF, 8937212, 0143, 3.2104982
0xFFFF, 8999665, 0144, 3.2105745
0xFFFF, 9062153, 0145, 3.2108034
0xFFFF, 9124654, 0146, 3.2106508
0xFFFF, 9187165, 0147, 3.2107271
0xFFFF, 9249653, 0148, 3.2104982
0xFFFF, 9312211, 0149, 3.2106508
0xFFFF, 9374653, 0150, 3.2106508
0xFFFF, 9437157, 0151, 3.2107271
0xFFFF, 9499662, 0152, 3.2106508
0xFFFF, 9562153, 0153, 3.2105745
0xFFFF, 9624674, 0154, 3.2107271
0xFFFF, 9687211, 0155, 3.2105745
0xFFFF, 9749661, 0156, 3.2106508
0xFFFF, 9812165, 0157, 3.2105745
0xFFFF, 9874653, 0158, 3.2107271
0xFFFF, 9937172, 0159, 3.2105745
0xFFFF, 9999654, 0160, 3.2104982
0xFFFF, 10062202, 0161, 3.2108797
0xFFFF, 10124654, 0162, 3.2108797
0xFFFF, 10187153, 0163, 3.2106508
0xFFFF, 10249675, 0164, 3.2108034
0xFFFF, 10312154, 0165, 3.2107271
0xFFFF, 10374661, 0166, 3.2106508
0xFFFF, 10437208, 0167, 3.2105745
0xFFFF, 10499654, 0168, 3.2106508
0xFFFF, 10562173, 0169, 3.2108797
0xFFFF, 10624654, 0170, 3.2106508
0xFFFF, 10687164, 0171, 3.2106508
0xFFFF, 10749653, 0172, 3.2107271
0xFFFF, 10812201, 0173, 3.2106508
0xFFFF, 10874675, 0174, 3.2105745
0xFFFF, 10937153, 0175, 3.2106508
0xFFFF, 10999663, 0176, 3.2106508
0xFFFF, 11062153, 0177, 3.2106508
0xFFFF, 11124665, 0178, 3.2103456
0xFFFF, 11187211, 0179, 3.2104219
0xFFFF, 11249653, 0180, 3.2108034
0xFFFF, 11312166, 0181, 3.2105745
0xFFFF, 11374653, 0182, 3.2106508
0xFFFF, 11437161, 0183, 3.2106508
0xFFFF, 11499675, 0184, 3.2104982
0xFFFF, 11562212, 0185, 3.2105745
0xFFFF, 11624663, 0186, 3.2105745
0xFFFF, 11687153, 0187, 3.2106508
0xFFFF, 11749664, 0188, 3.2103456
0xFFFF, 11812165, 0189, 3.2107271
0xFFFF, 11874653, 0190, 3.2105745
0xFFFF, 11937203, 0191, 3.2108034
0xFFFF, 11999654, 0192, 3.2106508
0xFFFF, 12062162, 0193, 3.2106508
0xFFFF, 12124664, 0194, 3.2106508
0xFFFF, 12187157, 0195, 3.2107271
0xFFFF, 12249661, 0196, 3.2105745
0xFFFF, 12312202, 0197, 3.2106508
