sync, uptime, seq, adc
0xFFFF, 17624682, 0282, 3.2169070
0xFFFF, 17687174, 0283, 3.2169833
0xFFFF, 17749664, 0284, 3.2166781
0xFFFF, 17812163, 0285, 3.2168307
0xFFFF, 17874663, 0286, 3.2169070
0xFFFF, 17937164, 0287, 3.2170596
0xFFFF, 17999663, 0288, 3.2169070
0xFFFF, 18062164, 0289, 3.2169070
0xFFFF, 18124672, 0290, 3.2171359
0xFFFF, 18187173, 0291, 3.2169070
0xFFFF, 18249673, 0292, 3.2169833
0xFFFF, 18312172, 0293, 3.2169833
0xFFFF, 18374672, 0294, 3.2169070
0xFFFF, 18437176, 0295, 3.2169833
0xFFFF, 18499674, 0296, 3.2169070
0xFFFF, 18562175, 0297, 3.2169833
0xFFFF, 18624674, 0298, 3.2169070
0xFFFF, 18687174, 0299, 3.2172122
0xFFFF, 18749668, 0300, 3.2169833
0xFFFF, 18812163, 0301, 3.2169833
0xFFFF, 18874663, 0302, 3.2170596
0xFFFF, 18937164, 0303, 3.2168307
0xFFFF, 18999663, 0304, 3.2169833
0xFFFF, 19062164, 0305, 3.2169070
0xFFFF, 19124672, 0306, 3.2169833
0xFFFF, 19187172, 0307, 3.2168307
0xFFFF, 19249673, 0308, 3.2171359
0xFFFF, 19312172, 0309, 3.2169070
0xFFFF, 19374672, 0310, 3.2171359
0xFFFF, 19437168, 0311, 3.2170596
0xFFFF, 19499675, 0312, 3.2169833
0xFFFF, 19562176, 0313, 3.2170596
0xFFFF, 19624674, 0314, 3.2169070
0xFFFF, 19687174, 0315, 3.2169070
0xFFFF, 19749675, 0316, 3.2170596
0xFFFF, 19812163, 0317, 3.2169833
0xFFFF, 19874664, 0318, 3.2171359
0xFFFF, 19937164, 0319, 3.2170596
0xFFFF, 19999664, 0320, 3.2169833
0xFFFF, 20062164, 0321, 3.2169833
0xFFFF, 20124663, 0322, 3.2168307
0xFFFF, 20187173, 0323, 3.2169833
0xFFFF, 20249674, 0324, 3.2171359
0xFFFF, 20312172, 0325, 3.2169833
0xFFFF, 20374672, 0326, 3.2169070
0xFFFF, 20437173, 0327, 3.2169833
0xFFFF, 20499674, 0328, 3.2170596
0xFFFF, 20562176, 0329, 3.2168307
0xFFFF, 20624675, 0330, 3.2168307
0xFFFF, 20687174, 0331, 3.2169833
0xFFFF, 20749675, 0332, 3.2172122
0xFFFF, 20812169, 0333, 3.2170596
0xFFFF, 20874663, 0334, 3.2169833
0xFFFF, 20937164, 0335, 3.2170596
0xFFFF, 20999663, 0336, 3.2168307
0xFFFF, 21062164, 0337, 3.2169070
0xFFFF, 21124663, 0338, 3.2169070
0xFFFF, 21187172, 0339, 3.2169070
0xFFFF, 21249674, 0340, 3.2173648
0xFFFF, 21312173, 0341, 3.2169833
0xFFFF, 21374672, 0342, 3.2169833
0xFFFF, 21437173, 0343, 3.2169070
0xFFFF, 21499666, 0344, 3.2169070
0xFFFF, 21562175, 0345, 3.2169070
0xFFFF, 21624674, 0346, 3.2169070
0xFFFF, 21687175, 0347, 3.2172122
0xFFFF, 21749675, 0348, 3.2167544
0xFFFF, 21812174, 0349, 3.2169070
0xFFFF, 21874663, 0350, 3.2169070
0xFFFF, 21937164, 0351, 3.2169070
0xFFFF, 21999663, 0352, 3.2169833
0xFFFF, 22062164, 0353, 3.2169070
0xFFFF, 22124663, 0354, 3.2169070
0xFFFF, 22187163, 0355, 3.2169833
0xFFFF, 22249673, 0356, 3.2169070
0xFFFF, 22312173, 0357, 3.2169070
0xFFFF, 22374672, 0358, 3.2168307
0xFFFF, 22437173, 0359, 3.2169070
0xFFFF, 22499672, 0360, 3.2170596
0xFFFF, 22562176, 0361, 3.2169833
0xFFFF, 22624675, 0362, 3.2169070
0xFFFF, 22687175, 0363, 3.2169833
0xFFFF, 22749675, 0364, 3.2168307
0xFFFF, 22812174, 0365, 3.2167544
0xFFFF, 22874668, 0366, 3.2168307
0xFFFF, 22937164, 0367, 3.2169833
0xFFFF, 22999663, 0368, 3.2169833
0xFFFF, 23062164, 0369, 3.2168307
0xFFFF, 23124663, 0370, 3.2170596
0xFFFF, 23187163, 0371, 3.2168307
0xFFFF, 23249673, 0372, 3.2168307
0xFFFF, 23312172, 0373, 3.2169833
0xFFFF, 23374673, 0374, 3.2169070
0xFFFF, 23437173, 0375, 3.2168307
0xFFFF, 23499672, 0376, 3.2168307
0xFFFF, 23562168, 0377, 3.2162966
0xFFFF, 23624675, 0378, 3.2168307
0xFFFF, 23687175, 0379, 3.2169833
0xFFFF, 23749676, 0380, 3.2168307
0xFFFF, 23812174, 0381, 3.2169833
0xFFFF, 23874674, 0382, 3.2168307
0xFFFF, 23937164, 0383, 3.2169070
0xFFFF, 23999663, 0384, 3.2171359
0xFFFF, 24062164, 0385, 3.2169070
0xFFFF, 24124663, 0386, 3.2168307
0xFFFF, 24187163, 0387, 3.2168307
0xFFFF, 24249664, 0388, 3.2168307
0xFFFF, 24312173, 0389, 3.2169070
0xFFFF, 24374673, 0390, 3.2171359
0xFFFF, 24437173, 0391, 3.2169070
0xFFFF, 24499672, 0392, 3.2169070
0xFFFF, 24562173, 0393, 3.2168307
0xFFFF, 24624674, 0394, 3.2167544
0xFFFF, 24687175, 0395, 3.2171359
0xFFFF, 24749675, 0396, 3.2169070
0xFFFF, 24812174, 0397, 3.2170596
0xFFFF, 24874674, 0398, 3.2169070
0xFFFF, 24937170, 0399, 3.2166781
0xFFFF, 24999664, 0400, 3.2171359
0xFFFF, 25062164, 0401, 3.2166018
0xFFFF, 25124663, 0402, 3.2169833
0xFFFF, 25187163, 0403, 3.2170596
0xFFFF, 25249664, 0404, 3.2167544
0xFFFF, 25312172, 0405, 3.2168307
0xFFFF, 25374673, 0406, 3.2169833
0xFFFF, 25437173, 0407, 3.2168307
0xFFFF, 25499678, 0408, 3.2167544
0xFFFF, 25562173, 0409, 3.2167544
0xFFFF, 25624666, 0410, 3.2170596
0xFFFF, 25687175, 0411, 3.2169070
0xFFFF, 25749676, 0412, 3.2169070
0xFFFF, 25812183, 0413, 3.2167544
0xFFFF, 25874674, 0414, 3.2168307
0xFFFF, 25937175, 0415, 3.2169833
0xFFFF, 25999663, 0416, 3.2168307
0xFFFF, 26062164, 0417, 3.2168307
0xFFFF, 26124674, 0418, 3.2168307
0xFFFF, 26187163, 0419, 3.2168307
0xFFFF, 26249664, 0420, 3.2170596
0xFFFF, 26312163, 0421, 3.2169070
0xFFFF, 26374672, 0422, 3.2167544
0xFFFF, 26437183, 0423, 3.2168307
0xFFFF, 26499672, 0424, 3.2167544
0xFFFF, 26562173, 0425, 3.2168307
0xFFFF, 26624672, 0426, 3.2169070
0xFFFF, 26687174, 0427, 3.2169070
0xFFFF, 26749686, 0428, 3.2167544
0xFFFF, 26812176, 0429, 3.2172122
0xFFFF, 26874674, 0430, 3.2168307
0xFFFF, 26937175, 0431, 3.2167544
0xFFFF, 26999668, 0432, 3.2168307
0xFFFF, 27062175, 0433, 3.2169070
