uptime, sync, seq, adc
12419211, 0xBBBB, 0000, 0.9375143
12481195, 0xBBBB, 0001, 0.9375143
12543618, 0xBBBB, 0002, 0.0000000
12606184, 0xBBBB, 0003, 0.9570459
12668617, 0xBBBB, 0004, 0.0000000
12731201, 0xBBBB, 0005, 0.9570459
12793617, 0xBBBB, 0006, 0.0000000
12856200, 0xBBBB, 0007, 0.9765774
12918661, 0xBBBB, 0008, 0.0000000
12981199, 0xBBBB, 0009, 0.9765774
13043632, 0xBBBB, 0010, 4.9805447
13106204, 0xBBBB, 0011, 0.9961089
13168620, 0xBBBB, 0012, 0.0000000
13231216, 0xBBBB, 0013, 0.0000000
13293623, 0xBBBB, 0014, 0.0000000
13356200, 0xBBBB, 0015, 1.0156405
13418661, 0xBBBB, 0016, 0.0000000
13481199, 0xBBBB, 0017, 1.0156405
13543624, 0xBBBB, 0018, 0.0000000
13606184, 0xBBBB, 0019, 1.0351720
13668616, 0xBBBB, 0020, 0.0000000
13731183, 0xBBBB, 0021, 0.7617304
13793618, 0xBBBB, 0022, 0.0000000
13856205, 0xBBBB, 0023, 1.0547036
13918662, 0xBBBB, 0024, 0.0000000
13981209, 0xBBBB, 0025, 1.0547036
14043643, 0xBBBB, 0026, 0.0000000
14106200, 0xBBBB, 0027, 1.0742351
14168619, 0xBBBB, 0028, 0.0000000
14231188, 0xBBBB, 0029, 1.0742351
14293622, 0xBBBB, 0030, 0.0000000
14356200, 0xBBBB, 0031, 1.0937667
14418661, 0xBBBB, 0032, 0.0000000
14481200, 0xBBBB, 0033, 1.0937667
14543631, 0xBBBB, 0034, 0.0000000
14606184, 0xBBBB, 0035, 1.1132982
14668615, 0xBBBB, 0036, 0.0000000
14731183, 0xBBBB, 0037, 1.1132982
14793630, 0xBBBB, 0038, 0.0000000
14856214, 0xBBBB, 0039, 1.1328298
14918673, 0xBBBB, 0040, 0.0000000
14981214, 0xBBBB, 0041, 1.1328298
15043634, 0xBBBB, 0042, 0.0000000
15106204, 0xBBBB, 0043, 1.1523613
15168619, 0xBBBB, 0044, 0.0000000
15231188, 0xBBBB, 0045, 1.1523613
15293622, 0xBBBB, 0046, 0.0000000
15356199, 0xBBBB, 0047, 1.1523613
15418648, 0xBBBB, 0048, 0.0000000
15481200, 0xBBBB, 0049, 1.1718929
15543633, 0xBBBB, 0050, 0.0000000
15606190, 0xBBBB, 0051, 1.1718929
15668614, 0xBBBB, 0052, 0.0000000
15731197, 0xBBBB, 0053, 1.1914244
15793633, 0xBBBB, 0054, 0.0000000
15856210, 0xBBBB, 0055, 1.1914244
15918676, 0xBBBB, 0056, 0.0000000
15981199, 0xBBBB, 0057, 1.2109560
16043617, 0xBBBB, 0058, 0.0000000
16106194, 0xBBBB, 0059, 1.2109560
16168619, 0xBBBB, 0060, 0.0000000
16231187, 0xBBBB, 0061, 1.2304875
16293621, 0xBBBB, 0062, 0.0000000
16356198, 0xBBBB, 0063, 1.2304875
16418647, 0xBBBB, 0064, 0.0000000
16481200, 0xBBBB, 0065, 1.2500191
16543621, 0xBBBB, 0066, 0.0000000
16606197, 0xBBBB, 0067, 1.2500191
16668626, 0xBBBB, 0068, 0.0000000
16731201, 0xBBBB, 0069, 1.2695506
16793618, 0xBBBB, 0070, 0.0000000
16856213, 0xBBBB, 0071, 1.2695506
16918643, 0xBBBB, 0072, 0.0000000
16981199, 0xBBBB, 0073, 1.2890822
17043617, 0xBBBB, 0074, 0.0000000
17106202, 0xBBBB, 0075, 1.2890822
17168619, 0xBBBB, 0076, 0.0000000
17231187, 0xBBBB, 0077, 1.3086137
