uptime, sync, seq, adc
8687419, 0xBBBB, 0139, 3.2352941
8749911, 0xBBBB, 0140, 3.2352941
8812405, 0xBBBB, 0141, 3.2354467
8874902, 0xBBBB, 0142, 3.2353704
8937402, 0xBBBB, 0143, 3.2352178
8999900, 0xBBBB, 0144, 3.2352178
9062400, 0xBBBB, 0145, 3.2352178
9124913, 0xBBBB, 0146, 3.2352941
9187398, 0xBBBB, 0147, 3.2355230
9249900, 0xBBBB, 0148, 3.2352178
9312403, 0xBBBB, 0149, 3.2350652
9374901, 0xBBBB, 0150, 3.2352941
9437407, 0xBBBB, 0151, 3.2352178
9499902, 0xBBBB, 0152, 3.2354467
9562407, 0xBBBB, 0153, 3.2351415
9624900, 0xBBBB, 0154, 3.2352178
9687399, 0xBBBB, 0155, 3.2352941
9749914, 0xBBBB, 0156, 3.2352941
9812405, 0xBBBB, 0157, 3.2353704
9874900, 0xBBBB, 0158, 3.2352178
9937402, 0xBBBB, 0159, 3.2352178
9999901, 0xBBBB, 0160, 3.2350652
10062407, 0xBBBB, 0161, 3.2352178
10124899, 0xBBBB, 0162, 3.2353704
