11-29-2023, 10:25:03:38, sync, seq, vsense, vrefint, temp1, temp2, temp3, temp4, busvmon, busimon, 2v5mov, 3v3mon, 5vmon, n3v3mon, n5vmon, 15vmon, 5vrefmon, n200vmon, n800vmon
11-29-2023, 10:25:11:856, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:5, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:95, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:246, 0xCCCC , 2094 , 1.607, 1.437, 3976.680, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:366, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:484, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:631, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:721, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:871, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:12:989, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:108, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:227, 0xCCCC , 65032 , 29.262, 41.078, 3840.430, 126.680, 126.680, 3968.180, 1.615, 1.607, 1.461, 0.380, 43.892, 22.511, 46.517, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:346, 0xCCCC , 0344 , 0.258, 0.259, 3994.810, 3971.120, 3977.500, 123.310, 1.656, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:493, 0xCCCC , 0344 , 0.258, 0.259, 3994.810, 3971.120, 3977.500, 123.310, 1.656, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:612, 0xCCCC , 0344 , 0.258, 0.259, 3994.810, 3971.120, 3977.500, 123.310, 1.656, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:731, 0xCCCC , 0344 , 0.258, 0.259, 3994.810, 3971.120, 3977.500, 123.310, 1.656, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:850, 0xCCCC , 0344 , 0.258, 0.259, 3994.810, 3971.120, 3977.500, 123.310, 1.656, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
11-29-2023, 10:25:13:969, 0xCCCC , 39431 , 31.701, 33.763, 4064.430, 4048.430, 3968.500, 3920.500, 26.449, 1.516, 1.497, 1.605, 1.457, 1.614, 1.467, 24.949, 1.601, 1.452, 
