11-28-2023, 19:00:47:304, sync, seq, adc
11-28-2023, 19:00:51:690, , , 
11-28-2023, 19:00:51:794, 0xBBBB, 6832, 3.051
11-28-2023, 19:00:51:900, 0xBBBB, 6833, 3.059
11-28-2023, 19:00:52:5, 0xBBBB, 6834, 3.058
11-28-2023, 19:00:52:111, 0xBBBB, 6835, 3.051
11-28-2023, 19:00:52:184, 0xBBBB, 6836, 3.051
11-28-2023, 19:00:52:292, 0xBBBB, 6837, 3.058
11-28-2023, 19:00:52:396, 0xBBBB, 6838, 3.051
11-28-2023, 19:00:52:505, 0xBBBB, 6839, 3.059
11-28-2023, 19:00:52:611, 0xBBBB, 6840, 3.051
11-28-2023, 19:00:52:685, 0xBBBB, 6841, 3.058
11-28-2023, 19:00:52:796, 0xBBBB, 6842, 3.058
11-28-2023, 19:00:52:901, 0xBBBB, 6843, 3.051
11-28-2023, 19:00:53:5, 0xBBBB, 6844, 3.058
11-28-2023, 19:00:53:110, 0xBBBB, 6845, 3.058
11-28-2023, 19:00:53:182, 0xBBBB, 6846, 3.058
11-28-2023, 19:00:53:288, 0xBBBB, 6847, 3.051
11-28-2023, 19:00:53:395, 0xBBBB, 6848, 3.051
11-28-2023, 19:00:53:501, 0xBBBB, 6849, 3.058
11-28-2023, 19:00:53:605, 0xBBBB, 6850, 3.058
11-28-2023, 19:00:53:676, 0xBBBB, 6851, 3.051
11-28-2023, 19:00:53:778, 0xBBBB, 6852, 3.051
11-28-2023, 19:00:53:884, 0xBBBB, 6853, 3.051
11-28-2023, 19:00:53:995, 0xBBBB, 6854, 3.058
11-28-2023, 19:00:54:104, 0xBBBB, 6855, 3.058
11-28-2023, 19:00:54:178, 0xBBBB, 6856, 3.051
11-28-2023, 19:00:54:279, 0xBBBB, 6857, 3.051
11-28-2023, 19:00:54:382, 0xBBBB, 6858, 3.058
11-28-2023, 19:00:54:492, 0xBBBB, 6859, 3.058
11-28-2023, 19:00:54:601, 0xBBBB, 6860, 3.058
11-28-2023, 19:00:54:674, 0xBBBB, 6861, 3.051
11-28-2023, 19:00:54:777, 0xBBBB, 6862, 3.051
11-28-2023, 19:00:54:883, 0xBBBB, 6863, 3.051
11-28-2023, 19:00:54:988, 0xBBBB, 6864, 3.058
11-28-2023, 19:00:55:92, 0xBBBB, 6865, 3.058
11-28-2023, 19:00:55:164, 0xBBBB, 6866, 3.058
11-28-2023, 19:00:55:270, 0xBBBB, 6866, 3.058
11-28-2023, 19:00:55:376, 0xBBBB, 6868, 3.058
11-28-2023, 19:00:55:481, 0xBBBB, 6869, 3.058
11-28-2023, 19:00:55:586, 0xBBBB, 6870, 3.051
11-28-2023, 19:00:55:691, 0xBBBB, 6871, 3.058
11-28-2023, 19:00:55:796, 0xBBBB, 6872, 3.051
11-28-2023, 19:00:55:870, 0xBBBB, 6873, 3.051
11-28-2023, 19:00:55:973, 0xBBBB, 6874, 3.051
11-28-2023, 19:00:56:76, 0xBBBB, 6875, 3.058
11-28-2023, 19:00:56:180, 0xBBBB, 6876, 3.058
11-28-2023, 19:00:56:283, 0xBBBB, 6877, 3.051
11-28-2023, 19:00:56:358, 0xBBBB, 6878, 3.058
11-28-2023, 19:00:56:466, 0xBBBB, 6879, 3.058
11-28-2023, 19:00:56:567, 0xBBBB, 6880, 3.058
11-28-2023, 19:00:56:669, 0xBBBB, 6881, 3.051
11-28-2023, 19:00:56:774, 0xBBBB, 6882, 3.051
11-28-2023, 19:00:56:879, 0xBBBB, 6883, 3.058
11-28-2023, 19:00:56:984, 0xBBBB, 6884, 3.051
11-28-2023, 19:00:57:94, 0xBBBB, 6885, 3.058
11-28-2023, 19:00:57:164, 0xBBBB, 6886, 3.051
11-28-2023, 19:00:57:265, 0xBBBB, 6887, 3.051
11-28-2023, 19:00:57:370, 0xBBBB, 6888, 3.058
11-28-2023, 19:00:57:475, 0xBBBB, 6889, 3.058
11-28-2023, 19:00:57:581, 0xBBBB, 6890, 3.051
11-28-2023, 19:00:57:656, 0xBBBB, 6891, 3.058
11-28-2023, 19:00:57:760, 0xBBBB, 6892, 3.058
11-28-2023, 19:00:57:896, 0xBBBB, 6893, 3.058
11-28-2023, 19:00:57:966, 0xBBBB, 6894, 3.051
11-28-2023, 19:00:58:74, 0xBBBB, 6895, 3.051
11-28-2023, 19:00:58:182, 0xBBBB, 6896, 3.058
11-28-2023, 19:00:58:253, 0xBBBB, 6897, 3.051
11-28-2023, 19:00:58:359, 0xBBBB, 6897, 3.051
11-28-2023, 19:00:58:465, 0xBBBB, 6899, 3.051
11-28-2023, 19:00:58:571, 0xBBBB, 6900, 3.051
11-28-2023, 19:00:58:677, 0xBBBB, 6901, 3.051
11-28-2023, 19:00:58:784, 0xBBBB, 6902, 3.051
11-28-2023, 19:00:58:859, 0xBBBB, 6903, 3.051
11-28-2023, 19:00:58:969, 0xBBBB, 6904, 3.058
11-28-2023, 19:00:59:78, 0xBBBB, 6905, 3.058
11-28-2023, 19:00:59:185, 0xBBBB, 6906, 3.058
11-28-2023, 19:00:59:257, 0xBBBB, 6907, 3.058
11-28-2023, 19:00:59:365, 0xBBBB, 6908, 3.058
11-28-2023, 19:00:59:471, 0xBBBB, 6909, 3.058
11-28-2023, 19:00:59:543, 0xBBBB, 6910, 3.051
11-28-2023, 19:00:59:684, 0xBBBB, 6911, 3.051
11-28-2023, 19:00:59:753, 0xBBBB, 6911, 3.051
11-28-2023, 19:00:59:857, 0xBBBB, 6913, 3.059
11-28-2023, 19:00:59:969, 0xBBBB, 6914, 3.058
11-28-2023, 19:01:00:77, 0xBBBB, 6915, 3.051
11-28-2023, 19:01:00:184, 0xBBBB, 6916, 3.051
11-28-2023, 19:01:00:253, 0xBBBB, 6917, 3.058
11-28-2023, 19:01:00:359, 0xBBBB, 6918, 3.051
11-28-2023, 19:01:00:462, 0xBBBB, 6919, 3.058
11-28-2023, 19:01:00:564, 0xBBBB, 6920, 3.051
11-28-2023, 19:01:00:672, 0xBBBB, 6921, 3.051
11-28-2023, 19:01:00:777, 0xBBBB, 6922, 3.058
11-28-2023, 19:01:00:841, 0xBBBB, 6923, 3.051
11-28-2023, 19:01:00:980, 0xBBBB, 6924, 3.058
11-28-2023, 19:01:01:46, 0xBBBB, 6925, 3.051
11-28-2023, 19:01:01:154, 0xBBBB, 6926, 3.051
11-28-2023, 19:01:01:261, 0xBBBB, 6927, 3.058
11-28-2023, 19:01:01:367, 0xBBBB, 6928, 3.051
11-28-2023, 19:01:01:471, 0xBBBB, 6929, 3.051
11-28-2023, 19:01:01:572, 0xBBBB, 6930, 3.051
11-28-2023, 19:01:01:640, 0xBBBB, 6931, 3.058
11-28-2023, 19:01:01:742, 0xBBBB, 6932, 3.058
11-28-2023, 19:01:01:848, 0xBBBB, 6933, 3.058
11-28-2023, 19:01:01:945, 0xBBBB, 6934, 3.051
11-28-2023, 19:01:02:46, 0xBBBB, 6935, 3.058
11-28-2023, 19:01:02:154, 0xBBBB, 6936, 3.058
11-28-2023, 19:01:02:256, 0xBBBB, 6937, 3.051
11-28-2023, 19:01:02:364, 0xBBBB, 6938, 3.058
11-28-2023, 19:01:02:538, 0xBBBB, 6939, 3.058
11-28-2023, 19:01:02:642, 0xBBBB, 6941, 3.058
11-28-2023, 19:01:02:749, 0xBBBB, 6942, 3.058
11-28-2023, 19:01:02:855, 0xBBBB, 6943, 3.051
11-28-2023, 19:01:02:959, 0xBBBB, 6944, 3.051
11-28-2023, 19:01:03:61, 0xBBBB, 6945, 3.058
11-28-2023, 19:01:03:166, 0xBBBB, 6946, 3.051
11-28-2023, 19:01:03:238, 0xBBBB, 6947, 3.051
11-28-2023, 19:01:03:340, 0xBBBB, 6948, 3.058
11-28-2023, 19:01:03:437, 0xBBBB, 6949, 3.058
11-28-2023, 19:01:03:543, 0xBBBB, 6950, 3.051
11-28-2023, 19:01:03:649, 0xBBBB, 6951, 3.051
11-28-2023, 19:01:03:751, 0xBBBB, 6952, 3.051
11-28-2023, 19:01:03:860, 0xBBBB, 6953, 3.051
11-28-2023, 19:01:03:934, 0xBBBB, 6954, 3.058
11-28-2023, 19:01:04:41, 0xBBBB, 6955, 3.051
11-28-2023, 19:01:04:150, 0xBBBB, 6956, 3.058
11-28-2023, 19:01:04:264, 0xBBBB, 6957, 3.058
11-28-2023, 19:01:04:333, 0xBBBB, 6958, 3.051
11-28-2023, 19:01:04:441, 0xBBBB, 6959, 3.051
11-28-2023, 19:01:04:551, 0xBBBB, 6960, 3.058
11-28-2023, 19:01:04:656, 0xBBBB, 6961, 3.058
11-28-2023, 19:01:04:727, 0xBBBB, 6962, 3.058
11-28-2023, 19:01:04:837, 0xBBBB, 6963, 3.059
11-28-2023, 19:01:04:938, 0xBBBB, 6964, 3.058
11-28-2023, 19:01:05:40, 0xBBBB, 6965, 3.051
11-28-2023, 19:01:05:146, 0xBBBB, 6966, 3.058
11-28-2023, 19:01:05:254, 0xBBBB, 6967, 3.051
11-28-2023, 19:01:05:356, 0xBBBB, 6968, 3.058
11-28-2023, 19:01:05:463, 0xBBBB, 6969, 3.058
11-28-2023, 19:01:05:532, 0xBBBB, 6970, 3.058
11-28-2023, 19:01:05:636, 0xBBBB, 6971, 3.051
11-28-2023, 19:01:05:741, 0xBBBB, 6972, 3.051
11-28-2023, 19:01:05:849, 0xBBBB, 6973, 3.051
11-28-2023, 19:01:05:964, 0xBBBB, 6974, 3.058
11-28-2023, 19:01:06:36, 0xBBBB, 6975, 3.058
11-28-2023, 19:01:06:140, 0xBBBB, 6976, 3.058
11-28-2023, 19:01:06:243, 0xBBBB, 6977, 3.058
11-28-2023, 19:01:06:346, 0xBBBB, 6978, 3.058
11-28-2023, 19:01:06:451, 0xBBBB, 6979, 3.058
