11-29-2023, 10:25:03:38, sync, seq, endMon, SWPMON, temp1, temp2, adc
11-29-2023, 10:25:20:301, , , , , , , 
11-29-2023, 10:25:20:450, 0xAAAA, , , , , , 
11-29-2023, 10:25:20:569, 0xAAAA, , , , , , 
11-29-2023, 10:25:21:574, 0xAAAA, , , , , , 
11-29-2023, 10:25:21:693, 0xAAAA, , , , , , 
11-29-2023, 10:25:21:811, 0xAAAA, , , , , , 
11-29-2023, 10:25:21:959, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:48, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:196, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:314, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:432, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:549, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:669, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:820, 0xAAAA, , , , , , 
11-29-2023, 10:25:22:939, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:59, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:180, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:299, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:420, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:570, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:661, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:809, 0xAAAA, , , , , , 
11-29-2023, 10:25:23:930, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:49, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:197, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:285, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:433, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:553, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:672, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:792, 0xAAAA, , , , , , 
11-29-2023, 10:25:24:910, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:58, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:176, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:296, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:415, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:537, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:684, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:802, 0xAAAA, , , , , , 
11-29-2023, 10:25:25:921, 0xAAAA, , , , , , 
