date, time, c_pmtOn, c_erpaOn, c_hkOn, c_sysOn, c_3v3, c_5v, c_n3v3, c_n5v, c_15v, c_n150v, c_800v, c_sdn1
05-30-2024, 13:18:37:369, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:38:395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:40:256, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:43:841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:44:651, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:46:516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:47:870, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:50:353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:51:666, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:52:443, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:53:139, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:53:718, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
05-30-2024, 13:18:54:198, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
05-30-2024, 13:18:54:752, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0
05-30-2024, 13:18:55:230, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
05-30-2024, 13:18:55:788, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0
05-30-2024, 13:18:56:256, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
05-30-2024, 13:18:56:897, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0
05-30-2024, 13:18:57:343, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
05-30-2024, 13:18:57:816, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
05-30-2024, 13:18:58:491, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:59:25, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:18:59:587, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-30-2024, 13:19:00:60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
