date, time, c_pmtOn, c_erpaOn, c_hkOn, c_sysOn, c_3v3, c_5v, c_n3v3, c_n5v, c_15v, c_n150v, c_800v, c_sdn1
05-31-2024, 13:08:46:987, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:47:493, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:47:894, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:48:297, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:48:700, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:49:73, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:50:401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:51:487, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:54:279, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:55:351, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:56:512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:57:457, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:58:845, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:08:59:719, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:09:01:83, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:09:01:951, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:09:03:458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
