date, time, c_pmtOn, c_erpaOn, c_hkOn, c_sysOn, c_3v3, c_5v, c_n3v3, c_n5v, c_15v, c_n150v, c_800v, c_sdn1
05-31-2024, 13:35:15:261, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:15:732, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:17:81, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:17:440, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:20:985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:22:943, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:25:81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:26:409, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:27:869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:28:894, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:29:376, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:29:828, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:30:196, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
05-31-2024, 13:35:30:649, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
05-31-2024, 13:35:31:188, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0
05-31-2024, 13:35:31:731, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
05-31-2024, 13:35:32:187, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0
05-31-2024, 13:35:32:437, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
05-31-2024, 13:35:32:890, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0
05-31-2024, 13:35:33:285, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
05-31-2024, 13:35:33:680, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
05-31-2024, 13:35:34:112, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:34:571, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:35:27, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
05-31-2024, 13:35:35:451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
